index,cnf_sha256,proof_sha256,proof_bytes
0,79feaa697be765ef8957140a1e931dd77015be713735b2b64984014aa22e2c30,c67af2495e4a90ba9d89764cd2f41b364f5e66a11ddd0916d2eb627751237e5b,106932
1,41eb7dd0890da14b9191a8ff8cdb7339f90e7fe9c66d58e735fd5f98158a5f28,c15e20bc5cb62a756c7c6df071941cfbe7f828cf6b8ff91042494086b8291c14,195464
2,c3864eb2f79255e7b9c06555eb46f4a855f72d53388633d3b9e0bd03228ba3ff,c86af92fdce9396ea0cf0e25d6106a07d21522cc6282bb7502f9ae094bf3c887,137169
3,2b44af96a67bb64ae236f5fe2b6733a3d79e090d49c2d1c660721380005f93b1,4cf48a7b35759d35337c99a6fdd116406067d664b4d20d6aa83529c50529a3ca,59780
4,dc44997c3ff61f6f3e11fedbcb2856c9462fb95fa9e8a672af5729789d53aa2a,0bfbd9871ecbc128b9b66c388ec1bf81826f1ceff28315b0729fe6e7bcf91e7a,92241
5,a98d63d2e7908a1f2663905b2d6e9b710c735a6bc619563591f51424d9ce6c51,520315eba66e9af0f0035f0912a257109c6b247c7f635804c1a358afd9da2a79,195053
6,dc1671c5d53366fa25cfab34e58fccfa137c7e905491cb4e075ec588ba91b122,3809726915c0e759d8939b592a9889c3b5697705df1b8801eaa81d71a1a57600,142325
7,b34710c2fe04067318ced4f8d3b06c9e3acb321d5e646e753d7377ca9d00beed,e3fe3a3239646ab0e8cd8cea2a125f20bc8d083e51fac4f4316876d8cf4c7de5,141982
8,79ea76e2f2f6dcb87f118bc744417bfa0ec0925332df04899090a5daba1c1aa5,89fc207bac4c11bf5a314de38d919a2e83d8a9aa2a38615e57c8744f042b3ef4,58911
9,d5b061458650034830d06f9eccfebcffb7545c440b2f08bc6e3478e464a933e5,2188421dc890c44a18d8903d0241cefc0e1c024a20f24e15c9c1201b0f03a853,145062
10,0f5824b1812fd1183e2ee13861410f757fff9366435fe9a38317478d6baea02c,7c2cf2c9f4fce583daadfff563d1c25bec792c4022f9d5f6e09b4d6f3d5a974c,150679
11,ce420e9860f1f81a07180533c2678c61f2696b33de34101ce9de41563c9c4d28,412868e8433a2fb52b9143482ffbc3eca935341431c6e158beb4d0b168721b56,172861
12,821daca6e6f6dd7f0ca27495bd575acf7674915da2f13e9c4f515f20a6b05070,dee3c2b7cbeb9af45494d05299cddb586920e90a197004eeaf34330cd7609780,175804
13,808d5c48710c5d6710ad119084b870b3ad6702a7583b7ed929bbce2de42b45b3,2cfab2904dd40fc0bd92e0ede80a9672d7dd834bfa0e2be38d3d2e0acc709dee,99860
14,b0ef67653e3c141c36b2f39a69dd59a8da2942079f0e98dca404cac3ef2b122b,3f9bcc0c9d8363f8df7152cb8b2afe880b8c0fde8cbcae1cc9d24f4626c30341,151465
15,6cd2c82fec99625edf97fadeadba3f9b7006607c81aa0778cfeb89642d5d14a8,a61a727073f7b400e67e0139a2bef05ee851ca0e3c7bb3914cc68615037795ed,142470
16,1ea2b11542e787fefc32efca957b6c401fd46da931334c076607156aefb5ade9,c10f96aa2f7981a370b27fc33c346b51497b8f32ae170e5c1838f656e9452ac1,53907
17,b5045a3428752835b81839735b56a32ec90e875e1cbf02de129aa24f4ac67678,b38cd90728728affb94476558c1281743ca024664c282b97112de793c30ccf09,166552
