word_hex	blocker_count	blockers_zero_based
00003633	4	90,1105,1488,1489
0000535a	4	1181,1192,1193,1437
00006a69	4	3,1257,1386,1534
00009a66	4	3,428,1257,1261
0000a355	4	1193,1430,1436,1437
0000c9cc	4	5,1043,1123,1295
00111e11	3	1041,1516,1643
00112722	3	152,493,1311
00114d44	4	261,1274,1622,1651
00118b88	4	422,1117,1499,1626
0011e111	4	279,291,1042,1524
00122e48	3	19,1510,1610
00124b21	3	411,1039,1373
00127212	2	159,1195
0012d148	2	124,1174
00148741	4	23,257,1033,1508
0014b182	4	291,1174,1252,1627
0014d414	4	211,216,1542,1642
00171442	3	11,67,418
00172281	4	31,145,257,1332
00174818	3	67,215,1499
0018144d	4	0,1508,1526,1610
00184718	4	293,1373,1606,1645
00187124	2	410,1252
001881d4	4	383,500,1302,1423
0018b818	3	0,2,373
0018d281	4	257,460,1550,1580
001b4182	4	480,1259,1612,1651
001d1884	4	163,178,1050,1621
001d2148	4	311,380,1050,1053
001d4421	4	311,1487,1621,1649
001e1111	3	71,1309,1384
001e2822	4	168,1178,1255,1620
00217814	4	8,247,1264,1663
0021b128	4	51,299,453,1582
0021d441	3	453,1553,1643
0021e282	3	135,439,1251
00222d24	4	157,248,1047,1432
00224742	3	33,324,1185
0022481d	4	141,1123,1386,1601
00241e44	3	13,205,1104
00244d11	3	468,1325,1601
00247422	3	353,1195,1613
0024844d	3	130,1295,1436
00248b22	4	197,392,1272,1551
0024b211	4	31,36,264,1542
0024e144	4	144,474,500,1424
00274484	4	135,158,1259,1540
00278248	3	469,1260,1533
00282e12	4	27,160,300,1516
0028444b	4	481,1185,1192,1534
00284b84	3	135,1117,1563
00287248	2	43,1314
00288d48	1	1644
0028b484	3	45,385,1646
0028d112	4	166,235,1046,1479
002b1144	3	82,140,1106
002b2888	4	57,237,1106,1179
002b4211	3	82,99,1486
002d4842	4	190,423,1255,1475
002e2441	3	133,190,1513
002e4128	3	190,344,1325
002e8814	1	251
00300553	3	152,1516,1598
0030055c	2	500,1606
003005ac	3	152,1109,1117
00300a5c	3	1117,1119,1516
003060ca	4	1173,1174,1195,1424
00411b24	3	444,1272,1429
00412d18	4	167,1601,1606,1662
00414781	4	107,293,339,1308
0041481e	4	1119,1123,1192,1277
00418e42	3	9,1104,1628
0041b881	3	51,165,1425
0041d218	3	35,354,1196
0041e424	2	119,207
00421d41	3	33,261,1598
00424e14	4	69,293,442,1119
00427828	3	19,123,1314
00428728	3	263,1109,1298
00428817	4	256,1261,1423,1436
0042b114	3	1,299,1618
0042d482	3	107,413,1479
0042e241	4	23,111,1477,1618
00444447	4	138,1104,1508,1598
004444b8	4	1109,1549,1550,1601
00447284	4	497,1252,1596,1663
00448d84	4	61,1104,1109,1423
0044b448	4	0,35,1623,1655
0044e812	3	105,386,1618
00471188	3	273,1050,1385
00474222	4	378,1256,1307,1487
00478411	3	349,1385,1487
00488b11	3	182,1423,1635
0048e188	3	427,1173,1550
004b1812	4	84,229,378,395
004b2121	3	196,409,1620
004b4448	3	237,1036,1623
004b8284	3	220,332,495
004e1424	4	447,459,1121,1540
004e2218	3	400,1121,1260
0050066a	3	1185,1186,1508
00500695	3	1423,1434,1508
0050069a	2	379,1517
0050099a	3	1186,1190,1423
00503056	3	0,1252,1264
005030a9	4	0,1252,1550,1582
0050c056	3	164,306,500
0050c059	2	0,1550
0050c0a6	4	440,1251,1252,1550
005500c3	4	1050,1475,1487,1612
005a00cc	4	1050,1106,1121,1612
00600c36	4	1104,1271,1272,1601
00605063	4	1314,1477,1479,1619
0060509c	3	211,1314,1479
0060a06c	4	500,1111,1314,1477
0060a093	4	164,291,1477,1479
0060a09c	3	288,385,1646
00660055	4	71,82,1260,1540
00811748	4	1103,1185,1606,1625
00812e84	3	39,300,1434
00814b12	3	258,1190,1551
00818d21	4	64,91,415,1432
0081e848	4	221,1103,1111,1173
00822711	4	346,1373,1434,1598
0082b288	4	35,51,187,1582
0082d811	1	12
0082e122	4	197,384,1251,1509
00842d42	4	33,221,1523,1598
00844724	2	341,1109
0084481b	4	241,1190,1192,1386
00848e18	4	6,415,1119,1579
0084b824	2	269,1111
0084d242	3	449,1033,1619
0084e481	3	48,105,291
00882b28	4	175,223,1373,1664
00884e41	4	205,1501,1579,1610
00888782	4	1049,1302,1551,1597
0088d428	4	64,364,1196,1614
008b2242	4	221,278,1053,1256
008b4824	4	370,447,1256,1621
008d1122	2	1311,1605
008d2811	2	101,1664
008d4288	2	75,358
008d8444	2	75,312
008e1848	3	242,1106,1383
008e2184	4	433,447,1106,1322
008e8221	4	212,447,1383,1486
00900336	4	1271,1272,1302,1373
009003c9	4	1302,1308,1373,1610
00900c39	4	1271,1373,1601,1610
0090506c	4	211,1111,1314,1619
0090a09c	4	211,291,1111,1654
00a00665	4	1185,1432,1434,1508
00a0069a	4	1185,1190,1434,1606
00a0096a	4	1185,1186,1190,1432
00a00995	4	1190,1423,1432,1434
00a03059	3	0,1264,1582
00a0c056	2	1251,1264
00a0c059	3	12,1501,1654
00a0c0a9	4	288,1251,1550,1582
00c0055c	3	1109,1119,1598
00c005a3	4	152,1109,1552,1598
00c00a53	4	1119,1516,1552,1598
00c0603a	4	119,1173,1195,1196
00c30069	4	1256,1383,1385,1533
010111e4	4	428,444,1043,1566
01011e11	2	1041,1643
010124b1	4	403,1340,1389,1590
010228e1	3	179,1312,1566
01024b21	3	411,442,456
0102828d	4	1295,1430,1440,1566
0102d811	4	12,1312,1415,1531
01041471	4	217,282,1525,1657
0104241b	4	275,1335,1389,1482
0104411d	4	468,1123,1437,1543
01048741	2	23,389
010488b4	4	191,464,1123,1261
01082d81	3	96,300,367
010841b1	4	134,337,464,1501
01084817	3	1270,1482,1641
010884e8	4	62,1172,1180,1295
010d2811	3	101,1362,1467
010e1111	4	12,275,1309,1564
01101e11	3	94,1041,1516
01104748	3	339,1295,1534
01110e11	2	1041,1516
0111110e	3	444,1310,1311
0111112c	4	232,444,1310,1311
011111c1	3	114,1566,1576
011111e0	2	444,1311
01111611	4	94,444,1041,1643
01111a11	3	444,1041,1516
01111c11	3	94,1041,1643
01111e01	2	444,1041
01111e10	3	94,444,1041
01116111	4	279,1042,1482,1524
0111c111	3	12,279,1042
0111e101	2	279,1042
0111e110	3	279,1042,1524
0112028d	3	1117,1440,1566
01127082	4	73,86,159,1252
01128072	3	11,306,1303
0112808d	3	1440,1550,1566
01128285	4	257,1430,1440,1566
01128289	3	257,1440,1550
0112828c	3	1117,1295,1440
01128d02	4	11,33,91,488
0114044b	3	1172,1335,1610
01142b04	4	40,115,202,315
0114d404	3	216,1553,1642
01184348	3	779,869,1505
01184648	4	205,830,1295,1505
01184708	2	270,339
0118b041	4	0,373,1397,1456
0118b808	3	2,51,373
011c1111	3	114,1309,1384
011d8082	2	178,1172
011d8202	4	178,212,352,1033
011e1101	2	114,1309
011e1110	2	94,1309
01204d14	4	55,468,1123,1563
01212a48	4	128,202,300,1155
01221445	4	1312,1537,1566,1657
01226448	3	133,225,1534
0122e048	3	225,474,1312
0122e408	3	225,1096,1531
01234211	4	12,99,128,279
01240d14	4	61,468,1241,1537
01244261	4	23,338,1325,1554
0124888c	3	155,1117,1276
01249218	4	36,1101,1159,1316
0124a214	3	36,1233,1297
0124a218	4	36,1136,1193,1389
01252184	4	439,927,1394,1418
012a4214	3	99,1213,1563
012b4201	4	99,128,1421,1462
012d1048	3	140,487,1172
01410487	4	107,138,1104,1566
01421544	4	33,389,428,500
0142402b	3	107,1303,1550
0142b024	3	233,299,1252
0144011d	4	195,1423,1543,1578
01441819	4	0,401,1362,1601
0144211c	3	195,1096,1543
0144e802	4	386,1162,1357,1596
01458418	4	349,1089,1130,1166
0148222a	4	185,1179,1184,1596
01483411	3	0,7,1340
01486418	3	7,1080,1623
01487401	4	7,107,1435,1469
01488468	4	62,1280,1383,1623
01488912	4	182,1235,1237,1490
01488a12	4	182,1154,1261,1357
01494124	4	153,240,869,1421
014d4024	3	118,240,440
01521448	3	0,94,1079
01522811	4	0,40,162,1423
01544211	4	23,1114,1377,1487
01544214	4	240,440,1114,1204
01544218	3	376,1114,1144
01628282	4	149,174,391,1596
01642424	4	74,272,565,1540
01684848	4	60,404,590,1314
01702812	4	40,162,1195,1516
01722011	3	0,40,162
01722810	2	40,162
01748108	4	74,500,1164,1365
01808e44	4	205,1119,1295,1436
0180d811	3	12,1415,1531
018220e1	3	179,1566,1582
01822618	4	94,346,1105,1589
01825811	1	12
01829811	3	12,1312,1415
0182c811	3	12,1312,1531
0182c812	3	12,1154,1188
0182d801	4	12,1312,1415,1531
0182d810	1	12
01831484	4	139,1081,1565,1566
01838148	3	851,1103,1369
01840227	4	49,208,286,1552
01847108	4	421,1162,1372,1543
01852811	3	101,1328,1467
01880e44	3	205,367,1119
01881213	4	12,1462,1486,1580
0188a224	4	129,212,1111,1430
0188e204	4	129,144,1245,1435
01892811	3	101,1328,1664
018c2811	3	101,1362,1664
018c2812	4	101,1136,1322,1523
018d0811	4	101,1328,1362,1467
018d2011	1	101
01921448	4	29,94,1000,1610
01944211	4	12,71,1114,1373
01a11111	4	12,279,1044,1643
01a42424	4	272,282,526,1122
01a84848	3	60,404,1106
01a88414	4	56,1205,1434,1654
01b01884	4	77,211,305,1117
01b08418	2	56,94
01b24024	4	29,398,478,1251
01b41802	4	77,113,1153,1591
01b88401	4	45,56,1570,1591
01c21444	4	508,1256,1391,1425
01c21448	3	94,508,1589
01c42424	4	119,272,282,1109
01d02188	4	37,65,1109,1173
01d44201	4	23,1114,1377,1589
01e02424	3	119,272,1109
01e11101	2	279,1044
01e11110	2	279,1044
01e28082	2	174,1251
01e28202	3	29,174,1305
01e42024	4	119,272,1122,1540
01e42404	3	74,214,272
01e84808	2	60,377
020114d4	4	1263,1301,1340,1602
02012e84	3	10,39,300
020142b4	4	135,313,1292,1507
0201441d	4	477,1318,1329,1606
0201448d	4	1052,1295,1329,1590
0202112d	3	441,477,1118
02021874	2	424,425
020241e8	4	302,1181,1194,1534
02024217	4	69,1437,1488,1666
02027444	4	399,425,1301,1318
02028b44	2	24,425
0204148e	4	68,1118,1283,1301
0204224d	4	208,1318,1376,1520
020424e4	3	44,1520,1581
02044724	3	341,440,1325
0204484b	4	5,241,1192,1473
0204b824	4	269,440,1118,1269
02081d14	4	261,367,396,415
02084474	4	1113,1292,1318,1554
02087124	4	399,410,1246,1414
020881d4	3	220,383,1520
020b4824	4	370,440,1051,1113
020d8444	4	312,1113,1263,1520
021012b2	4	1181,1252,1261,1507
02101d44	4	261,425,428,1043
02108e28	4	3,1117,1180,1521
0211d802	4	234,1163,1225,1651
02120781	4	152,180,257,1332
02138128	4	95,232,1137,1533
02168124	4	24,103,232,440
02178024	3	232,312,440
02178120	1	232
021801d8	4	383,1053,1384,1564
0218022b	3	1373,1521,1522
0218121a	4	1053,1144,1507,1522
0218228a	4	198,1158,1275,1522
02183124	4	410,1246,1252,1524
02183128	3	410,1167,1184
02185124	2	410,440
02186124	4	410,440,1414,1524
02186128	4	410,1195,1349,1534
02187024	4	399,410,440,1252
021880d4	3	220,383,1520
02188154	4	103,383,500,1524
021881c8	4	95,383,1174,1376
02204e41	3	13,69,1516
02210827	3	1432,1491,1514
02211826	4	171,1218,1429,1514
02214c41	4	46,794,1329,1459
02218862	4	79,80,453,1477
0222048b	4	45,152,1194,1332
02222251	4	1037,1513,1516,1564
02222254	4	425,1037,1264,1318
02222292	4	391,1037,1259,1291
022222c4	4	425,1037,1106,1424
02222d20	2	1047,1652
0222c224	4	24,1040,1251,1554
0224024d	4	208,1285,1308,1520
02252224	2	1122,1607
02271011	2	327,1643
0228011e	4	1190,1272,1288,1606
0228414a	4	190,1288,1513,1651
0228418c	4	1065,1106,1288,1563
02284434	4	87,235,313,1646
02284a81	4	45,1386,1563,1660
02284b80	4	175,662,874,1563
0228e011	4	45,206,235,1513
022c2228	3	1136,1607,1653
022d2220	2	1607,1653
022e4048	4	190,1106,1260,1564
02342114	4	78,315,1076,1524
02344824	4	440,1117,1255,1325
02382448	4	83,830,1513,1623
02404272	4	1257,1272,1292,1488
02404d88	4	167,1109,1517,1595
02411454	4	82,301,1263,1602
02411494	3	301,1340,1602
0241a421	4	165,207,1364,1477
0241a424	4	207,312,1096,1269
02420217	2	256,1272
02428017	4	103,256,1269,1483
