word_hex	blocker_count	blockers_zero_based
00127212	2	159,1195
0012d148	2	124,1174
00187124	2	410,1252
00287248	2	43,1314
00288d48	1	1644
002e8814	1	251
0030055c	2	500,1606
0041e424	2	119,207
0050069a	2	379,1517
0050c059	2	0,1550
0082d811	1	12
00844724	2	341,1109
0084b824	2	269,1111
008d1122	2	1311,1605
008d2811	2	101,1664
008d4288	2	75,358
008d8444	2	75,312
00a0c056	2	1251,1264
01011e11	2	1041,1643
01048741	2	23,389
01110e11	2	1041,1516
011111e0	2	444,1311
01111e01	2	444,1041
0111e101	2	279,1042
01184708	2	270,339
011d8082	2	178,1172
011e1101	2	114,1309
011e1110	2	94,1309
01722810	2	40,162
01825811	1	12
0182d810	1	12
018d2011	1	101
01b08418	2	56,94
01e11101	2	279,1044
01e11110	2	279,1044
01e28082	2	174,1251
01e84808	2	60,377
02021874	2	424,425
02028b44	2	24,425
02178120	1	232
02185124	2	410,440
02222d20	2	1047,1652
02252224	2	1122,1607
02271011	2	327,1643
022d2220	2	1607,1653
02420217	2	256,1272
02480742	2	1597,1598
02485841	2	805,1330
02744804	1	440
02744820	2	440,1325
02782408	2	83,1623
02840724	2	341,1109
0284081b	2	241,1190
02844813	1	241
028448d0	2	241,1501
0284b820	2	269,1664
02872408	2	52,314
02882407	2	334,1664
02882446	2	334,1264
0288c448	2	1295,1614
0288d048	1	1614
02d22220	1	1038
03288248	2	402,1564
03481188	2	885,1517
040288d8	2	288,1194
04042788	2	31,63
040444b8	1	1549
04108714	2	6,93
04129148	2	124,1174
0414801e	1	1273
04208d48	1	1644
0421d401	2	1553,1643
0422081d	2	141,1601
04224702	2	324,1321
0422480d	1	141
04224815	2	141,445
0424102b	2	1337,1582
0424e104	2	414,474
04278208	1	469
04287208	2	43,123
04288d40	2	1635,1644
042d4802	2	226,423
044440b8	2	1549,1550
04444498	2	1048,1549
044444b0	2	1048,1549
04444b40	2	348,1527
0444b440	2	1623,1655
0481e840	2	206,221
04b44048	2	47,1035
04b44440	1	1035
04d12401	2	193,1649
04d24802	2	189,226
04d41104	2	396,1633
04d88240	2	132,1635
0603003a	2	1194,1303
060c0035	1	1520
07104184	1	443
07404811	2	102,1656
07804242	2	76,466
07812024	2	106,219
07888880	2	226,1029
08144e80	2	379,1579
08202744	1	157
0821e280	1	135
08240417	2	66,1434
082e1082	2	391,1172
082e1280	1	391
0841401e	2	1277,1303
08414816	2	408,1277
08420b82	2	1291,1552
0842240d	1	432
08422470	1	432
08422b02	1	1291
08447204	2	298,497
084b8204	2	220,495
08788880	1	1030
08878880	1	1031
08887880	2	226,1032
08888780	2	1049,1632
08888870	1	340
088e2024	1	447
08b48204	2	21,1033
08d11082	2	426,1252
09030035	2	1303,1566
090c0035	1	447
090c003a	2	1172,1303
0b101488	2	94,238
0b201124	2	393,1561
0b224802	1	259
0b241024	2	393,1561
0b288208	1	402
0b444440	1	1034
0b801841	2	161,217
0c248821	2	222,791
0d102881	2	16,1575
0d188024	2	455,494
0d222220	2	1653,1658
0d821102	2	271,1575
0d844820	1	294
0e111101	2	1045,1311
0e208821	2	228,1286
0e408418	1	262
0e808144	2	331,342
0e822011	2	416,1045
1001e111	2	279,1042
10027212	1	159
101111e0	2	1311,1651
10111e01	2	1041,1643
10111e10	2	1041,1643
1011e011	2	291,1042
1011e101	2	1042,1651
10148740	2	93,1033
101d4420	2	240,311
101e1101	1	1309
10487401	1	7
10708218	2	100,132
10d44201	2	81,1114
10e02284	2	89,1434
10e11101	2	1044,1643
10e24420	2	14,1509
1102b024	2	233,299
110e1101	2	1044,1309
1110112c	2	444,1310
111011e0	1	1310
11101e10	2	94,1041
1110e101	2	1042,1309
111e0110	2	1042,1309
111e1001	2	1041,1309
111e1010	2	94,1309
111e1100	2	1309,1310
11211828	2	295,1499
11224824	2	295,411
1128002d	2	270,1439
11412828	2	295,1499
11420d40	1	33
11422224	2	149,431
11422228	2	149,432
1142400b	1	107
1142b004	2	233,299
11442148	2	196,1103
11847008	2	421,1647
12021074	2	424,425
12284848	2	190,404
12442444	2	10,1622
1244d100	2	475,1642
12807210	1	108
12882841	2	1513,1664
14040d21	2	18,196
14114218	2	59,1499
14120407	2	109,209
14141218	2	485,1375
141d0408	2	311,380
1420d410	2	1642,1643
14211412	2	1282,1643
14248844	2	310,469
1440e202	2	414,1618
14417080	2	1663,1665
14444441	2	109,1048
14444442	1	1048
14444448	2	1048,1623
14484141	2	357,1635
1480c441	2	109,624
14884828	2	226,1664
14884888	2	226,1499
14884e00	1	226
1488b100	2	2,396
14e04028	2	357,1314
14e20028	1	417
17012208	2	219,280
17812020	2	219,1664
1808e440	1	144
18118412	2	289,1033
18118418	2	289,311
181b0802	2	42,480
18221114	2	363,396
18227100	2	86,363
18242884	2	156,490
18284811	2	362,404
1840b810	2	2,165
18411811	2	165,1643
18422484	2	267,432
18484212	2	293,1573
188100d4	2	486,1566
1a111101	2	1045,1651
1c180284	2	460,848
1d014402	2	53,325
1d400421	2	53,196
1d442100	2	195,196
1e011101	2	1045,1643
1e101101	1	1045
1e110101	2	1045,1651
1e111001	2	1045,1643
1e111010	2	1045,1643
1e280820	2	1286,1664
1e420044	2	249,1262
1e840088	2	34,68
20024217	2	1437,1488
2004d888	2	127,155
2008b484	1	385
201b0411	2	104,1649
202222d0	2	1037,1658
20274480	2	158,481
2028440b	1	481
20284443	2	481,1502
20284470	2	481,1304
2028b404	1	385
202d2220	2	1607,1653
204210e8	2	173,1314
20442074	2	119,431
2044828a	2	1298,1596
20448d04	1	61
20584484	2	255,481
20824216	2	331,390
2082b048	2	187,1111
208480d8	1	1654
20b48204	2	21,1297
20d22220	1	1038
20d84480	2	255,481
21010b48	2	202,1103
21111111	2	114,279
21124814	2	40,1641
21128070	2	40,306
21181218	2	94,177
21221428	2	94,1657
21222228	2	1657,1658
21282442	2	133,481
21284488	2	230,481
21811214	2	139,444
21811218	2	139,1625
21844122	2	478,1543
21848821	1	286
21882224	1	129
21882228	1	129
21d08801	2	151,174
22020217	2	103,425
220222d0	2	425,1037
22022d20	2	1038,1047
2202d220	2	425,1040
22040b11	1	315
2204e401	2	207,474
220d2220	1	1607
22107108	2	86,410
22111188	1	351
22114222	2	201,1651
22121248	2	320,425
22122228	2	425,1038
222022d0	2	1037,1607
22202d20	1	1047
2220d220	1	1040
22212222	1	1607
22212224	1	1607
22212228	2	1606,1607
22218821	2	80,279
22218824	2	80,1276
222202d0	2	425,1037
222220d0	2	1037,1047
2222c220	2	197,1040
2222d200	2	425,1040
22252220	1	1607
22292220	2	1607,1653
222c2220	2	1607,1653
222d0220	1	1607
222d2020	1	1607
22428141	2	103,1635
22470840	2	19,378
22480642	2	479,1597
22480740	2	1597,1635
2248080d	2	1294,1654
22484841	2	1294,1635
22488841	2	1294,1635
22522220	2	425,1038
22710081	1	351
22810071	2	420,1557
22844841	2	217,241
22848188	2	155,433
22881224	2	290,425
22881244	2	290,425
228e0081	2	433,1520
22922220	2	425,1038
22a80842	2	113,340
22b00842	2	113,1516
22b80840	1	113
22c22220	1	1038
22d02220	1	1038
22d20220	2	425,1038
22d22200	2	425,1038
24042588	2	63,1176
24042870	2	142,1304
2404c888	2	127,155
2404d880	2	127,1660
24080b24	2	1551,1563
24087042	2	43,1613
24112212	2	284,372
24112221	2	372,1649
24114118	2	37,1274
24242822	2	142,452
24244424	2	158,1048
24244828	2	127,1304
24411118	2	84,1290
24420e01	2	442,1510
2480841c	2	64,1654
248084d0	2	64,109
24808b20	2	64,1551
24821412	2	41,1613
24844442	2	1048,1613
24848112	2	450,1551
24d80088	2	132,255
24e14200	1	348
25222220	2	1657,1658
27211002	2	28,280
27448004	1	1297
27824040	2	76,331
2801e082	1	457
28048d04	2	21,61
280b8204	2	420,495
28172001	2	145,266
28224888	1	85
28244211	2	147,497
28284441	2	329,481
28407204	2	348,497
2840820b	2	420,1298
28408d04	2	61,495
28412228	2	371,1298
28412881	2	165,1512
28440074	2	245,1298
28440d04	2	61,1512
28444811	2	408,1512
28447004	2	497,1512
2844800b	2	1298,1512
28448218	1	1298
284a0284	2	220,495
284b0204	2	348,495
28704048	2	85,1314
28823048	2	187,331
28824007	2	81,331
288240b0	2	81,331
28824142	2	197,331
28b08204	2	21,420
28b40084	2	21,491
28b40204	2	21,497
2a081288	2	290,1517
2b042880	2	498,1596
2b420011	2	176,1564
2b800422	2	1509,1631
2b808420	2	64,1631
2d022220	1	1658
2d202220	2	1653,1658
2d480802	1	1326
2d480840	2	1326,1635
2e120082	2	359,1194
2e208801	2	359,1660
30412211	2	1504,1617
32404288	2	1299,1595
34444440	2	348,1048
40014127	2	1311,1491
40027828	2	19,123
4008182e	1	32
4008b222	1	292
40114074	2	148,245
4012404e	2	1039,1666
4020d844	2	8,1314
40214027	2	1251,1491
402e0128	1	344
404120e1	2	371,1477
40426828	2	19,123
40427808	2	19,123
40428720	2	263,1630
404444b0	1	1549
40444b40	2	23,1527
4044b440	2	23,1655
404d8808	2	118,155
40782408	2	83,1623
408410e4	2	297,1425
40872408	1	314
40882407	2	112,334
40882a28	2	175,1664
40882b08	2	175,223
4088d408	1	1614
40b44440	2	1034,1035
4101b880	2	51,165
41121414	2	40,94
4140220e	1	1596
41402d01	1	1662
41422848	2	19,179
41424122	2	153,302
41441841	2	23,401
41708140	2	23,500
41710802	1	304
41810702	2	339,346
41814282	2	339,1307
41d21400	1	94
42020e12	2	69,405
42048322	2	429,1170
4208d048	2	111,1614
4208d408	2	83,1614
421d4001	1	407
42208470	2	555,878
42241828	2	155,353
4224800d	2	130,155
42248070	1	155
42248188	2	95,155
42412284	2	220,371
42444824	2	118,440
42802388	2	175,823
42802407	2	334,1332
42802b08	2	19,175
4280d408	2	314,1614
42812184	2	1336,1524
42852408	2	52,314
42872008	2	19,314
42872400	2	314,1332
42882406	2	112,334
4288d008	2	175,1614
4288d400	2	334,1614
42e01240	1	14
43084222	2	466,1051
44010e28	2	64,137
440440b8	2	123,1549
440444b0	2	1549,1645
4408082e	2	32,1279
440b4440	2	1036,1645
44180710	2	437,1645
44188218	2	132,1645
44244481	1	31
444044b0	2	1549,1645
44404b40	2	348,1527
4440b440	2	1623,1655
44414444	2	348,1036
44434440	2	348,1036
44440498	2	1323,1549
444404b0	1	1549
44440b40	2	23,1527
44441442	1	1655
44441444	1	1655
44443440	2	1623,1655
44444038	2	123,1549
44444098	2	1549,1595
444440b0	1	1549
44444142	2	427,1527
44444484	2	1048,1549
444444a0	2	1048,1549
44444940	1	1527
44444b00	1	1527
44449440	2	23,1655
4444b040	2	23,1655
4444b400	1	1655
444b0440	2	1036,1623
444b4040	2	348,1036
444b4400	2	1036,1645
44720280	2	31,239
4482020b	1	38
44820d80	2	248,405
44822228	2	38,123
44824484	1	248
44844421	2	130,1579
448d0280	2	31,75
44b04440	2	1035,1645
44b40440	2	1035,1655
44b44040	2	1035,1527
44b44400	2	1035,1645
44d10120	2	37,1311
45882408	2	112,1623
47084202	2	466,1645
47200844	2	106,205
47840011	2	20,275
4804e018	1	105
48074220	2	1307,1630
4808421c	2	1107,1659
48084922	1	183
48084d02	2	183,1645
48084d20	1	183
48112481	2	461,1332
48142228	2	146,1298
48184224	2	466,1659
481c0484	1	436
48202644	2	157,205
48202740	2	157,1513
482028b0	2	1646,1661
48209844	2	8,1316
4820d840	2	8,1039
48218441	2	194,420
48224118	2	85,363
48228181	2	197,1334
48241814	2	8,117
482800b4	2	323,1646
48284288	2	135,1659
48422121	2	196,1630
48488828	2	118,1298
48811111	1	395
48828828	2	187,398
48848811	2	105,1579
48882428	2	112,223
488b0101	2	395,480
48d02044	2	451,1111
48d80044	2	255,451
49880428	2	112,1003
49882408	2	112,223
4a444440	2	1034,1036
4b081801	2	161,252
4b210021	2	393,1590
4b404440	2	1034,1036
4b440440	2	23,1034
4b444040	2	23,1034
4b444400	1	1034
4b800284	2	116,220
4d024110	1	195
4d082408	2	112,1623
4d124001	2	199,1039
4d802408	1	112
4d880408	1	112
4d882008	2	112,223
62404288	2	220,1595
64224802	2	452,1321
68888880	2	340,1632
70204822	2	369,1321
70224802	1	1321
70401841	2	355,401
70808884	2	192,1632
70842202	2	365,1596
70880884	2	226,1632
70888880	2	226,1632
71022108	1	463
71202180	2	439,1334
71210204	1	388
72404208	1	1595
72404280	2	220,1595
74024802	2	226,1321
74204802	2	226,1321
74220802	2	452,1321
74224800	1	1321
74482004	2	427,431
78088880	1	1632
78240420	1	471
78808880	1	1632
78880880	2	226,1632
78888800	2	340,1632
8001e848	2	234,386
80022147	1	1492
80027444	1	399
8004d242	2	449,1033
80181b02	2	72,422
80212426	1	1282
80224702	1	324
8022480d	2	141,1312
8022b802	2	452,1312
80244854	2	66,468
802d4802	2	259,423
80444047	2	121,1502
80470228	2	212,1298
8048d024	2	54,1314
80742202	2	483,1596
80788880	2	1029,1030
80821c28	2	125,1081
8084228c	2	208,1637
808422b0	1	208
80842d40	2	217,1523
80878880	1	1031
80888780	2	1049,1580
80888870	1	340
808b2240	2	278,1625
80b18102	2	122,307
80d24802	1	189
80e81402	2	60,1519
81141812	1	77
81141818	2	77,94
81218422	2	91,128
81411818	1	229
81441444	2	217,389
81881284	2	444,1580
8202840b	1	11
82028438	2	11,288
820284b0	2	11,288
82112700	2	1524,1606
82128448	2	11,95
82212828	2	326,1652
82270011	2	327,1325
82270101	2	327,1325
8228001e	2	235,1288
82281848	2	58,1288
82403288	2	35,1517
82404207	1	1292
82404243	2	479,1292
82404988	2	167,1595
82404d80	2	107,167
82424118	2	167,1292
82428182	2	11,24
82441841	2	217,1511
82818182	2	1284,1336
828420b0	2	657,983
82882242	2	278,340
82a04288	2	47,135
82b04088	2	47,211
82d81010	2	136,250
83224802	2	259,1312
83482024	2	356,1051
84020722	2	125,324
84024702	2	189,324
8402b802	2	267,452
84047110	2	264,1665
84062421	2	264,1649
84072420	2	566,795
841b8001	2	42,172
84204702	2	324,423
8420480d	2	141,1656
8420b802	1	452
84211844	2	304,1625
84211848	2	304,1625
84224700	2	141,324
8422480c	2	141,267
84224814	2	141,267
84224848	2	141,1312
8422b002	2	324,452
84241224	2	444,499
842d0802	1	423
842d4800	2	423,1656
84472004	1	267
84472020	2	267,1656
8448200b	2	427,1623
84482428	2	1623,1649
84489024	2	54,1118
8448c024	2	54,1656
8448d020	2	54,1656
84710018	2	304,406
84811007	2	1616,1625
84848181	2	257,434
84848184	2	434,1273
84848188	2	434,1273
84924802	2	189,226
84b02024	2	1111,1648
84d20802	2	189,267
84e48001	2	310,1519
85240428	2	336,1110
85808888	2	1029,1568
86240428	2	336,1325
87200428	1	336
87240420	2	336,1325
87808880	1	1029
87888080	2	1029,1580
87888800	2	340,1029
88087880	2	1030,1032
88088870	1	340
881200e4	2	308,1566
88188214	2	352,1049
88212421	2	237,1653
88240407	1	66
88240928	2	392,1325
88241422	1	66
88241424	1	66
882b0420	2	237,1653
88422822	2	267,1291
88424144	2	331,467
88708880	2	1030,1031
88788080	2	1030,1049
88788800	2	340,1030
88808780	1	1049
88808831	1	340
88808852	2	164,340
88808870	1	340
88870880	2	1031,1032
88878080	1	1031
88878800	2	340,1031
88880870	2	223,340
88881128	2	223,1605
88888070	2	223,340
88888812	2	223,340
88888828	2	223,340
88888830	2	223,340
88888844	2	144,340
88888850	2	223,340
88888860	1	340
88d40420	1	343
88e20014	1	1305
89224802	2	259,1312
8a224802	1	259
8b024802	1	259
8b220802	2	259,1312
8b224002	1	259
8b224800	2	259,1312
8b482020	2	356,1653
8c404288	2	135,376
8d280011	2	1650,1653
8d400288	1	376
90444442	2	1048,1265
90481188	2	1168,1517
92810181	2	1336,1592
94210128	2	218,1306
94444440	2	1048,1623
98202844	2	144,490
a0412211	2	1428,1617
a2024112	2	361,1138
a8202844	2	490,1426
b0101248	2	425,1625
