formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_core	original_total	proof_core	proof_total	resolution_steps	rat_core
branch45-d23-f14-g105	10432	183635	3433686	e45356a71420bc201781ac1e01083373768c47349a3d1010fb7960a4bb776580	1052540	9adab16e3807ec37ba518e8543568b5d01238c71ee091cc2f76eab473e2660fb	1475	183635	2724	16611	122173	0
branch45-d23-f14-g113	10432	183635	3433686	a5e7b2dd73fb8762b2dfe018e7369b0c37f3e95986e10349f334a40229c4babf	925660	2a5902b819e40346b2258962d302f9b6e8bb679014f12766afef2be83a57a794	1580	183635	2902	13963	126742	0
branch45-d23-f14-g119	10432	183635	3433687	1f3913be60ea9c745e7f9c754842cc83db8d930989a0fbcb7c383779b0d19ad8	819167	ab67c6af17cafa7344c76ac809671f0cc3a1a2bd9eeb23dc39370d683d9c9143	1115	183635	962	12814	42202	0
branch45-d23-f14-g123	10432	183635	3433687	f604d46e3c010718b7da3d1fc1bc391c04efd24ca96135b9c89594070088a18f	852664	62bc59909ed99048c14f2b1e291760b928d29aea03f8248d382b631007fc9798	1335	183635	1450	14170	61269	0
branch45-d23-f26-g105	10432	183635	3433687	2a413a9e150ca649ce6e355af2b0ffe98a30f9442aa5d90908c82e5ad521dc49	879564	0236941b3f767de85345e84fd1b9fee213673cfa86a6d74fdc9a8475b7a6f08e	1226	183635	1768	13485	72682	0
branch45-d23-f26-g111	10432	183635	3433688	b30d0c5da0b704cce7a3c130ee392538b4f94e7d9d65534c9b6f19dfcfc62983	845558	01c4937648de494cba7529089b977682f8ae309a0db86decbb6f7266c32cf94b	1162	183635	1283	12856	46743	0
branch45-d23-f26-g125	10432	183635	3433688	1e3b0cba29e3982ba0a84558c175b66aae3e7baf156e28410a78ccd1b0335a50	1016912	827291db98c2c42fa3304288c4d8dddf7a3ae80180c6095e6a100e210b433d12	1301	183635	1413	15965	49874	0
branch53-d23-f22-g111	10432	183635	3433687	8da666a69843006b840cb6f7eac7f1b9000f59f9986d45478b299e1f2f6890c4	1145757	c0857a7e84f628eb25c21a9af7440165c950f8fd3fc0eca89a7174b5e1040515	1514	183635	2369	17623	92763	0
branch53-d23-f22-g113	10432	183635	3433686	7b625818a9d16f46007a694d7ce301f785cf70cbb2f73702494bf4dbd5f843c2	2200363	7000a3044290b20211c6e2303bf426ea8cfb377ab4592e53d29dc4e6c8ef12c4	2197	183635	5332	41934	247239	0
branch53-d23-f22-g123	10432	183635	3433687	c5366e3a81f6f08413c525e8f5fd87f14fe0a772afc6d2649e2ecdd2f594264d	944918	341fd01ff7b68a284f3c2d1f1d5804c02474245783cb5f65abab892bc09d9086	1501	183635	2057	14161	77441	0
branch53-d23-f22-g125	10432	183635	3433687	b886ab1a2ef56b68293a3773612af6a9e849dbdb395bf590aff07efb5e8d305e	807733	ecd93b877d596f4de070446649561f0aed718f0686547eecf77b39c51f3bab0a	1368	183635	1387	12711	46243	0
branch53-d23-f28-g111	10432	183635	3433688	d9ea5778296c135128c402076e29ae3d63e60f1415006a48651cc51be4168f6e	785280	585860843cbfb0ed999ec19d545b29dedfb0aa959de4764e5230494c9adff935	969	183635	1153	12317	45324	0
branch53-d23-f28-g113	10432	183635	3433687	42bda1b8ccc88b4648d15bd4b75d43659ef1a343ab74a41e830e3179defe9ee7	2218753	5a63fbb9ab8ff845d44e059dee198cb24c40211d1ebcaa121dc67284b63dd3af	2221	183635	5869	42666	257563	0
branch53-d23-f28-g119	10432	183635	3433688	817c67103a6a32cc9d6b40a8a271ce1c80e4a005b311dcbf29b6d6648bfd95a9	808490	23412a1e0526a96a0cfe6962f50e2159f0f0b22496861cd45fabd6efa6d67390	1213	183635	1451	13469	48421	0
branch53-d23-f28-g123	10432	183635	3433688	152a5fa15982708b1f8c8043fd8402a9ab066896087e2105ad1f44c43514b4c1	819457	d24255e089e806c11f0e583c1272ab3d36590ca2aa9e89047f24c38ed39c8b25	1285	183635	1159	12777	38686	0
branch53-d23-f44-g95	10432	183635	3433684	364962011f690a9783b3f52648edc12cf7f3e9b1a22bb4c347e832301e3cc591	941854	a0171501fbb1073af0ec9fe4a49f95bbeca682fe854d3abd93f264021434da71	1508	183635	2073	13620	84195	0
branch53-d23-f44-g113	10432	183635	3433688	7949193c451734e7452045fe88bc9404d52e0b02cd646891cac3b6223bd1b302	6189581	51c21acea088a46a0957ed957b551494d7c5d8e17f69ae49e53d8f48edc846c1	2228	183635	9579	60292	399564	0
branch53-d23-f44-g119	10432	183635	3433689	3513f34e8623e3c217ac93dd894c0f2cd8b4c3751ebacdab4889ff63746d84d4	798930	d2d3217565f92f79bc6c8a30eec13be4471fa1188d9d0fa81c962bcad908b5f9	1190	183635	1119	11928	39133	0
branch53-d23-f44-g123	10432	183635	3433689	33942cb6534cd51504ec474becc5ced670f78881d6ec9a520388c54a29163c4e	811260	d2e93e9f4af04dbc6b02a4ee62eab9891f59cd25f51870e5966b53fcf0db03c9	1340	183635	1317	12453	42070	0
