formula	cnf_sha256	proof_bytes	drat_sha256	core_lemmas	total_lemmas	resolution_steps
branch70-d25	c15e526b8e8acf4801cfe8d2a14aeeca9183ffa4c873bee9a99d60ea937999bf	210933348	57fb644055dc66a49686e0c3273d360f597c5355ea1a5e0e46f40b9de43bbcdf	852687	1368811	42410328
branch70-exception-f22-g111	0a4c0000003f1c7e5cf049a13216c2aae9c33587306c6c668fe6522f491c8759	826558	4b828c5ef7c16a13cc007cfe4f223ff32da0ceb37ecf7f656e38124916317591	1339	13449	48113
branch70-exception-f22-g113	847c3fc09367edbbf8e2d1de1d4feb319d974f19482f2ed7dc7abad902699c10	1040079	44411f61893b1e01563f6d909b27c29b1b5943816f8f042eee8d1fefff13217e	3458	15058	166294
branch70-exception-f22-g123	7ca66f3410d0623d461e6e3cfb38909a6f28c080298c67250986ab25676ace2e	1046558	bc3210de6d5c95f397e60cc3f22572dd036a161519ab1857fc873b92c9710d1d	924	16117	30686
branch70-exception-f22-g125	8382e9c6bddf5ec89213eb18133b878579d7b765c61360bdef431ed3cbfcabc2	744681	047a71d98cec2b0cd85d37e5c5ea87b42b069d0fab610dc0175436e94e8b840f	685	11863	24368
branch70-exception-f26-g111	6be805a82a114d623f3b795b96cba83c0113c5ee4a09e83b8da1b09dd646cf14	837509	cf45e92799666015d530f631130a8e3a4a4759e5ed3c118e81893eb90eba992f	1141	13167	38434
branch70-exception-f26-g113	4b8f858f95bfb3fae3668bc74a9809b1889300e57b1cc8311b39c1ef1c553d79	1067856	45b937634e0ed50ca8692c2b970b305d0da33225438d05e5a9145cb32e942be9	4006	15355	179860
branch70-exception-f26-g119	93f4380fa90f174129a89f69f526d1f9756447d185e2f982dcb4c861963e24d8	750222	875e80c6a168ae7b1b4eee65e6a991704ee4e7e1b32c3f6cd17a5e6385f6a3dc	786	11063	23643
branch70-exception-f26-g125	94d7c7b5a807394fd501e22eac912102660940c97e35fb15dd76898c7d471574	821406	b2cf1f3ccffcfcaa3caf18f2630ec83e7f2a64c0bb05e7637b4feb74b03d529d	1126	12989	40216
branch70-exception-f42-g95	6e194b43992578ba6016f0ef91eda4fe08c6946f57f795c176f870d0e6bd8258	750447	e6020ac89b07f361e5ffc97408b7a34f199abedd8ddaa8e32a7ccdc81b17922f	786	11183	24675
branch70-exception-f42-g113	8e856c2573b11cc76fa5552b8fceae825904b6ef32553b40c87aa704854f930d	1954330	5d83697bf9093427d5200a167172bbdfc9e5ea86fd8f21ff765ac79af9a82a86	5819	39767	258051
branch70-exception-f42-g119	c8cd21d3b62d4e74b55c38b0a5f9d448a0677e6d3a2cbf37b43f49ac7c5e7157	751014	15349f15384e6b060fc1fca141c6cc84731185c41a9a7a862a036f90ef842624	803	11286	24417
branch70-exception-f42-g125	26a205cc1690d9a384f736f2d961a5c4f54122007673b796f317bd013b11f91e	752687	fc538ae659cdac6b6da1e5bc5cc662aaea317c058ac1daa044e77b5a4eb43719	737	11681	21979
branch70-exception-f63-g70	a19180e80f6ac6c9d84c243f2fc4ced233a8e539516d2272b2ee808b5b286947	744018	15c36d8a326a81851554561c3fd5fbc7f7d2571674ca57d3cab28ba4e69d7de6	644	11094	23485
branch70-exception-f70-g113	a7b4aafbaaa251978492eb5126508c5dd017daf30f02707eaf43316abcb9ca13	2131542	2173b9b37fedfc42ba81af887d2fe17941318c09e4485574a94fe519349d1956	4101	44216	178908
branch70-exception-f70-g123	c322f6842d5e83a58842640bd1726c10f6f0c832b21160bb724ee29fa22ceaa2	759798	22c3e49a7108cf424a9ba97927cf45ac31e6c299a840d311354ee45abb562d31	936	12255	35022
branch70-exception-f70-g125	e8feca32017925d3684e8f30bc58c421f85b4e1d061ec2a74ce53b5f436186d7	823386	258bc61474deb83cb98a123b3cdbe0369495003a4fe8648ed713cf40a17eb0cf	973	13083	31625
branch71-d25	9975be3ae30866bfa171a27a86cc7ada85f3282dedf1781d93d0c80b1f9f1bf2	139994770	80c23b3fbe7124842a6c4139a92c6368515e94ebe34851c79948504a8f829e28	572791	918255	32043956
branch71-exception-f14-g113	67ba4e4bb778fbcf0cf9bdcd92511f0e2c7f2cdb411407d7590254aeb7e86e7c	1040801	8cfb40fd09032fc8be48847ba13e138eff2763af6271b2152286957c3b8e5f1e	3402	15610	157035
branch71-exception-f14-g119	5ce17d5eb8b66961c9d6f01b51d38784bf530dc63351298b543110aed63743bd	782997	05241df6c5ec9088b63205a1e4ab14fb3c51835dfc697e9056b66a46695d5cb4	992	11834	32937
branch71-exception-f14-g123	2ebcffd198a038dfec4e97610681138edb13193292d8e102cac6185aeda44b29	770888	b842e007c50f3542c6f7d1b7d67edc0e3a43e3327da4b1292bf1efa10f114fff	577	11766	22486
branch71-exception-f14-g125	e26ddda51690b0e7be59c01eb0161a0dc1102c0257a7f79c0756deebff711789	744730	9d6dee9c615ba766d3070062dda1a304b73c2d80486a1e582ed40d3beed7783f	798	11126	27172
branch71-exception-f28-g111	396cea64b6b1bf2be1ef5c6d24557cb7704021d99fb08b6e3bf366585954242d	858503	4b5d54fa9d1a57185e89e835d181be103abbc3b3045c88131bb6838d10e77205	923	12372	28613
branch71-exception-f28-g113	3ac4d77b3b0b1ac9b6adc7dadcd205a630254a393e8c40f9cad08f6c2f7aaeca	1075163	03ee9f877fd618dedf1bc8881b0900f981d81b738bbab3a8259aca8daf0cc846	3344	14928	151072
branch71-exception-f28-g119	b9625d1252ffcb7948e9e3bb65e27fb723f01ac45a77bc94f09bceeab99a3f1a	753660	e96f89d5eba01cc3a285a925bad4fc39992c05773df5b45eff3e3086307ba14c	806	11344	27590
branch71-exception-f28-g123	dd421e61e1d2802c7567f10a47962ed589adfded3b0f34788cb56f7205634036	791425	eeeb108bfa7f480de5eae8b1cbfc4b0295a72c36754231727ac24daaedd31572	734	11774	23515
branch71-exception-f42-g95	a3e685c3f5aa735d868e64e5c2c6dc1bbca343985c4445e9b1495a744abec233	734660	d9bc6b784c7d8f6126b8bc7a845ff635ca653cc37c8a09dfeab1c35471e47811	729	10639	23947
branch71-exception-f42-g113	20df3adfb0838be590f245afe31abf3e81e4fe7f5965e8d2c7b82bdaa6b500ad	1609631	57951f0f97b4cf90b13f3691b9d4f903f1456b4de021a102ef5e95ab71920888	2306	23301	93363
branch71-exception-f42-g119	7824c54618478aa592423716dc3edb6263c5662fcbf99a8e519b3902416b2d43	832935	1ac01208abff9cb8a01caf6e5e8373b9ac00b479e31a688c665fb0f3a6b1c2ea	1091	12897	42385
branch71-exception-f42-g125	1ee89b6970678bad2c09b260a855d545d14c26b0ae214afdd2ef48afa3093f4c	1033467	6cd1b65ed2fcdd4573cb3cd156f08bd3d10452217c4b9af133676a5b43b30231	750	16031	26640
branch71-exception-f63-g70	b6c92e47dcbfa5dd6dfd2bacc7d061cf9ae7cb33a9121660a26866b646dbb28f	738361	1966be51b364883567e13f68fe2c835ee772b392d78daf4decd404d9a51b41f6	628	10663	26971
branch71-exception-f70-g113	44b4977a11a432af3f5bd7559fe2c6eda9d7d803231fbab3a65d1d2c87f88c7a	1358890	da95582555cfadb5308927fcece718e6b415127900a73fccaa64f30fdfeee94e	3858	24039	178128
branch71-exception-f70-g123	6c043d89e34d978bd1ce180fac51c0b1a0485ddef41b399f33b14ff87ac1e328	849141	10ec878daa50caf6e42109d6be446a70239f465521b77d4fe9ebc000043b8918	695	12434	17638
branch71-exception-f70-g125	47a16475dbff49a182a1e24c77fa6de7238d3dd4a0b565262dd5912a2638a05a	841819	cb86b88a8c3c621cf7898b1b12ce285c98bf21b5ae890c9953325e8ee0039dbb	1265	13336	43440
