formula	cnf_sha256	proof_bytes	proof_sha256	core_clauses	core_lemmas	total_lemmas	resolution_steps
branch44-d23-center14	3772b39a620cc7f994550b433e6b650375211a9695324aed9c8b63baa7032abf	52812901	b7feb635c829846cfa3b1f42ffb4b8305d13babb5bacf85ebda9a651cb49ce5e	3584	246097	452248	10231511
branch44-d23-center26	57f99411657fe59877318b54aff7cefb0e4263ad9634537b731e2d7df4a2f521	56393457	daa9fefbfadcbd50ec378bb0501ebd7b138a0809ee21206009d1719e26467c5e	3652	269896	480535	10808701
branch44-d23-center53	91c2258de96cface16dda092333fbd8e6fb5bf3bd4cf73fae10b4fdf2044aaf7	8399452	38fc06e3e6f1be7ac39473438e28099d9d5aee0c65d94108f87db6ae9369a9a4	2473	16583	75632	708465
branch44-d23-center63	b1fed1daedb0444133876b21fa8d6baa9be1fb3ce520c842f2d4e5b548b9fd80	12289709	bf74f2871f0815a0f94c60fcc166ffd871d7aed7d1599b7e82cdade5824ac808	2834	45710	124307	1907433
branch44-d23-center77	dc35344312971a0a901dedddaf87048aa595c45449efea22d851b4be7433a244	8067917	7efcec22e1dea7a65394fa117976c037981b2fe7c4ad22c52f509bb804c87015	2671	18852	74961	897323
branch44-d23-center85	723dbc6e77dd6cb2bf936b528d328b1a41bbbb58e2aea33ac651fed55d921cef	13256833	c43abf016f4f4a33a39e27b468706b999284fb604cc6232195931104e5a22ccd	2871	49103	128686	2058047
branch44-d23-center89	44d39a62a8d7751d84ea16accf983b1360bddbe8b4367d62a78a181f1fa3d020	7578143	1a02cb8f08a082f35b3745df661a142e9692109c03a36de7b02cc64b501b044e	2596	16038	73078	712566
branch44-d23-center95	4cb6eae7a5711520df0039e90281fa2a94a1be0fb69b0a0aa1b618134c12dd8d	10768793	1288d0b110f8ff57a24ea0e6f98d93c996b33dc02ac80c57da3dae2b9dd61208	2859	35678	108116	1474577
branch44-d23-center113	a8e66b79abf28a1a74fd190299912a467e1c04c979b5e8a8b8afbe5c1c2575ba	15198187	90b7158ef8798bc4bec7540b6a0e1f7a071e1a0d18ad9114e04c764e4003bd78	3038	56309	144684	2407829
branch44-d23-center116	6afee6f917743b9a68a77bfc8b0a8018364a23590208603d3e73e54c3b83bd60	8507529	fcb839824be6c0bb3fb121bced912cca393f662d3251ef7759f7394d25c63a51	2674	20542	79259	884784
branch44-d23-center119	998fce37c3287dd1f6b1964c24cc32e00d174a6463ef24b611513ed4f475fef2	8457363	68f8fe9ebfbba900553b136dab65b7d847d9d3918305e2aeb161e0286ce1c84b	2591	20060	84265	801025
branch44-d23-center125	59679238c5094f706d44b9a9edc9077ff5f0692ee633c04b11737eea9465e0a0	6375386	db1a5877f53901656eb4ef6d3c95b92aa23e03f7fbc6a6d7db0d8ac6535cec88	2391	10991	62458	494552
branch44-d23-center126	4d878f8ab14b0caafd419536d61ffa97e4624cf9dc955520d36c22fc1fffcc76	11897660	080de9b1345f73059dc570e2d206cb00fd53d9fcdc952ee7ad086cc1a29a80e0	2797	40653	123113	1619007
branch44-d23-center127	73a631605fc1b7799eb8545a0696011c717d181d52207052016dbf09170170d7	7323393	6d086cc9755d0c63a0a67014e49d51420c0531eabae08aeba7117af498207d5e	2327	13611	75361	615781
branch47-d23-center26	ba2e5864c5aff7c919e2c6f55955493c36ac2b54c09a5197593dd9c36945b684	42212842	09a2485e7f873c179d46402ce7c406086baa5e7dffbed426cadb29e5247f6518	3445	180675	335683	8044338
branch47-d23-center28	5dc9ad79e2b611a230f7d180fc0ed7c718337f15a94d2c81ee4a6ba64b2c683d	40244774	a6378a61cef837b899b9dd41f712ada5fafd226b9c4ca98687b2591b73ae99db	3430	174727	323990	7994588
branch47-d23-center57	82f8c8822d2fecc973eecacc4d0b36bc1c9633ca85bc3ba7010c1bfdaec737d6	8176396	d10c811c84a70ff2420e82cd928d0e9dceadf02344b2408dbafcfc904810958f	2495	18150	75140	821070
branch47-d23-center63	ea0e10a866791b11581aaa57c21de257d3a257c753b0e0f12f62daab49770035	10143032	0dc2361b31018d6b87e8f3ed527d011fe17d357465fd4a2859f2f248992ccaf5	2666	24207	103703	981845
branch47-d23-center71	c3423fdb97ad859e81daec6a32564681a5731b510fc4e12258c3958d61d3908b	10111365	981507bf50bc134145e85c57caaf9ff889a99e15e747666478b92af67533b45c	2784	28155	98609	1290394
branch47-d23-center77	b62ebee7b5afc9afc1d24f856bd510d29f1086d3038168ace3f1d1c18749db1c	7754551	52c0c6893c6ee65485623eaa949ea40c86da03e81d83df3d4e4192a8009277db	2580	17591	72467	794585
branch47-d23-center89	7ab3fe8252fcaf8068c765eb148d47eb3918e52ae2676e1746de36b3990513d8	7081842	645f50f1b9b86e787e208ec1b7b47cdf2a73f42bd25ba3268f0633f161032406	2400	13255	67628	579070
branch47-d23-center95	9a1a17523859774643bf1fe7273a4d9ca4dd483327af8319dcc27d8f386502a5	9044428	9f367f49e80c91d9a1d4f862bfd725f834e3088d8d8340509b2b64bf27de6bdb	2890	23859	93212	1030812
branch47-d23-center101	575ac7c51fc25a5eec2dd3b0f5f5a77586c90228948e140ae94b4b33d55df493	7963122	5f01f3a7dbc15c34beb5edbf5ab8fde816a059464b2efb99a2c083e899f64a5e	2526	16942	72791	654156
branch47-d23-center105	2e129bd65c5e153d2fca3c159281370c4599bce379b35bd6405b34b10f311d72	14836254	6f06f4dba8245b293bc99ee37779806e180cf48a1d50c5f0c1c5502866de39db	2968	59019	152837	2283907
branch47-d23-center111	202fd5257b12720aadc92b6e34b77a9e0e16e6bb41c74feedd9fad5c0b67d9a2	7947377	2143c7ea80e6eb3445ed4667210e82ac7f6dffb424347d5cc24f41dcb04386da	2506	16234	79142	612165
branch47-d23-center120	ebe104b2f3a01b92db757df1a263ab98c56ada8350f8edf58f784d5e320b752d	8813888	32e8d3df89de1a487cf450b237a3bb7a58b2c388e72465d6adb9057c88fb9ac2	2774	24043	90479	1113591
branch47-d23-center123	07a77fc077c3d6d53a164b749fac29a20e7a8e353e57089017ac1162b512f00b	6314720	b952b15ef337e0d1535f24398f21ebb939e7fed4152efba66b776010feb9d625	2422	11865	61801	476819
branch47-d23-center125	a407ccfa151185164af7feadfd8100f26ca99c28e2e68ad10538b0f34e6a8fd9	6228776	d9d1718a9d71cfce5ba835b22d591c70f59e47f9385fa405b331eca601278cc0	2408	12461	68480	539901
branch47-d23-center126	2be313a315693b84a879744e3bf69d503768c9de9d4726dd17e0291c6d205952	8975327	4e8ea7aa034165ada77de0556d63a609295253bb8e99589657a04c7fbc3db4f7	2622	22639	90485	861049
branch47-d23-center127	606d11a96590b2c8fcd550412665943c7dda59c158c9be4e9711d1e5f5eadcc7	6272481	6f1d48045e49dbab080fa1ae26c721b3472fb730785b25d51d512cda50979509	2198	12207	60814	580237
branch50-d23-center38	c891f9c4dde3e6c34d9ed148c1ca75628e8ec16baf9534ffff61fb9f6b7bb19d	39294298	5a1f6e811ecf2a88c60865f0940f9bf3f5db6098cde6e36d6160fd6303dd6186	3450	177203	330945	7890563
branch50-d23-center43	b9aee95f5455ee7782e4262360de0a3f6b6ef297613eedf59b0117a43b18904a	8888197	71a46505ad2766bedcc3f183b607fadf0a5f8b9681cc79a0ae41cd0717db857b	2664	22396	85860	1017647
branch50-d23-center57	3bb824751ec29a716ab5730fe14ec82258b0aa60c1e1daec86277a8fdc7bf81a	8000350	e89a06eef61ba7cb050906f4e38adda9095c8dfa0b5d07b0fa79c3f32eaf33d9	2433	18025	75544	830808
branch50-d23-center63	461d52890dfa76555ec72a2e7fad008f1ebe23d9bfb2fa86ebbe77391e1364d3	12240853	58894dc0d0b302d8877d0e346ad6fd0571656572128591fa842919deb2b58c45	2968	39987	123320	1694811
branch50-d23-center105	90d779bdfd564b5943fbe4758633edc37a985d8d65bd67ffcce5c7e2da171c1b	14856139	28258791d82854017a7abc645a68196997bddaeee6be1fcda69d25a77a016a24	3052	62201	155022	2660619
branch50-d23-center111	a6045c18202bf71535657b09f6b87ca88c83edd816fd25f9e6f0263837b9e78d	10733314	7754ce8fdd1801a67207d11b676d87f61572140146b94f18c48b3efe507bf1b4	2798	32249	109921	1338775
branch50-d23-center120	b870b87f361297e24752696aa6d5d79c57db2716b16e19cedd8de2f47274fa47	9734339	dfcfb17fba5f72360711aaa60df1837070369bc55634032c112523aad04725ff	2724	26743	93765	1341459
branch50-d23-center123	5589ba234d858776e99dea1bbef5f14f97783cfe0e5d99259c4d2278d5266448	7754535	9c3437626653da8b2cd952f6bb9f8f253ac66dc6c78766d81295d650faa990f9	2401	15905	77695	690533
branch50-d23-center126	e667c19c824194267687786ec1938d280e36b782b8c041f7eedd2b34388a5aee	11960054	f78d5f7f0266d471dda49c0e3afa36b3216fbeaf0eb8f72f16e9da5abb15fdfb	2856	42621	123126	1750177
branch50-d23-center127	f38b13438ba7c099c7be37b6c88c8f98e0d393be956987e6dfe031d8c9ec0fce	7764457	8bd66997a484b2a1bda14255fb49bf9f3d67b7a1a021eac651368b08b6f4d4e8	2332	14912	77810	630428
branch52-d23-center22	d62d61c1a44b8702e3a5672930f2f78d6ab00605533a22277613bf7e0207f171	62406454	bbd5914a61b1897232bfca99171ed654aef768beeec4a2a66ed2e3c9892db672	3692	272108	523863	11494683
branch52-d23-center51	c932fd5c514c5f40050f1331823932202fd9dc2e2b0a3e3c122a7fae7ab3ceea	10389932	2ce7197b0b1e31a735ee4eb31eef44a6100555b22c55effef6c0f05e94edc7ff	2689	30830	98837	1357641
branch52-d23-center63	5399206e05c7c56bb4646e710c9078bbeea0db655393ddc207aa1e34442ed7ce	14805175	3334af29027603e2f87f5aab846780018d661053e373868c6f66abd5d7d8ad38	2911	52864	144336	2225876
