orbit	orbit_size	partition	representative	support	max_abs_multiplier	rhs	max_box_lhs	gap	rounding_scale
0	10	6	0,0,0,0,0,0,0,0,0,0,6	615	1000	2671	829	1842	1000
1	40	5+1	0,0,0,0,0,0,0,0,0,1,5	610	1000	1431	281	1150	1000
2	40	4+2	0,0,0,0,0,0,0,0,0,2,4	603	10000	6056	462	5594	10000
3	20	3+3	0,0,0,0,0,0,0,0,0,3,3	584	10000	1284	302	982	10000
4	10	5+1	0,0,0,0,0,0,0,0,1,0,5	594	1000	1278	1094	184	1000
7	10	4+2	0,0,0,0,0,0,0,0,2,0,4	584	100000	14378	250	14128	100000
10	10	3+3	0,0,0,0,0,0,0,0,3,0,3	524	100000	4685	36	4649	100000
12	10	4+2	0,0,0,0,0,0,0,0,4,0,2	548	1000	412	4	408	1000
13	20	4+1+1	0,0,0,0,0,0,0,0,4,1,1	580	10000	2536	474	2062	10000
14	10	5+1	0,0,0,0,0,0,0,0,5,0,1	584	1000	1571	814	757	1000
15	1	6	0,0,0,0,0,0,0,0,6,0,0	567	100	208	8	200	100
16	60	4+1+1	0,0,0,0,0,0,0,1,0,1,4	620	10000	1181	125	1056	10000
19	120	4+1+1	0,0,0,0,0,0,0,1,0,4,1	610	10000	444	218	226	10000
20	40	5+1	0,0,0,0,0,0,0,1,0,5,0	587	1000	1227	697	530	1000
30	20	4+1+1	0,0,0,0,0,0,0,1,4,1,0	539	10000	2093	690	1403	10000
33	40	4+2	0,0,0,0,0,0,0,2,0,4,0	582	10000	4921	314	4607	10000
37	20	3+3	0,0,0,0,0,0,0,3,0,3,0	621	100000	385	307	78	100000
67	40	4+1+1	0,0,0,0,1,1,0,0,0,0,4	608	10000	486	47	439	10000
75	5	4+1+1	0,0,0,0,1,1,0,0,4,0,0	571	10000	1780	896	884	10000
110	10	5+1	0,0,0,0,1,5,0,0,0,0,0	692	1000	814	166	648	1000
