case	orbit	high_set	vars	clauses	bytes	sha256	status
e0	-	-	172235	280727	5028236	b3b6d31f7906bb6c865f3aa98fc1895ce6bb700a2f0efb1d93e6b5c5c095980e	OPEN
e1	0	2,3,4,5,6,7	521587	1470258	27577499	ac5dfce2c134e82a740372bcd32343121ec898024c1e7608ea5c2a3dc091d387	OPEN
e1	1	2,3,4,5,6,10	522275	1472164	27614665	e37f2eb55d5b6d7cc826f32dd636f5c94da1df1c12e1da6721d7f26f0d6d32ec	OPEN
e1	2	2,3,4,5,6,12	522547	1473339	27637674	7b9573f60f8df2d4bf7806fae11d0b677e2681b364c1261af4baac2a4e5dc9e1	OPEN
e1	3	2,3,4,5,7,8	521267	1469231	27557466	b80849961adf1b1391770621a938242310aeae374e71232e13b7f81c23b261cd	OPEN
e1	4	2,3,4,5,7,10	521635	1470110	27574566	a59b8d036623af23abf9b6d451e85eba7434f22a638edc0fa3cbec711495b16e	OPEN
e1	5	2,3,4,5,8,9	521587	1470258	27577542	439b20b4ccef3901087789676f6cfd8c87402c420272acc37c9eac9c9c6a3df0	OPEN
e1	6	2,3,4,5,8,10	521955	1471137	27594636	af4524ad56e52d997fdb787bdb71fb0dc8927e55035f7bba270bafb65732ad9c	OPEN
e1	7	2,3,4,5,8,12	521907	1471285	27597606	67269e9a0ed4ae03a1ab7297f01fd774fb57dd490ce7fae67f9d7e07d5e86653	OPEN
e1	8	2,3,4,5,10,12	522595	1473191	27634751	e955aa94e311939fd35f25fc379c173285c87f3bc3570cebac3d37eb285a5497	OPEN
e1	9	2,3,4,8,10,11	522275	1472164	27614726	2c0044898cafc2f3a0b19efc917daeb8035ebfd169242bff684cb3334f03f721	OPEN
e1	10	2,3,4,8,11,12	521907	1471285	27597655	be75874e0c49465c3761b9033f556ad8c5a680d386e615db67f0fe1f309d9fef	OPEN
e1	11	2,4,5,6,10,12	523555	1476272	27695250	d4e20674ebd7b381e19075c6e0b4c2b71f66ad30c0f84bc0fce610755ebb511c	OPEN
