orbit	high	orbit_size	case	rows	nonzeros	support	max_multiplier	rhs	max_box_lhs	gap	scale
0	2-3-4-5-6-7	40	empty	457	23954	175	1000	582	40	542	1000
1	2-3-4-5-6-10	10	empty	457	23954	174	1000	731	30	701	1000
2	2-3-4-5-6-12	10	empty	457	23954	186	1000	391	362	29	1000
3	2-3-4-5-7-8	30	empty	457	23954	177	1000	907	366	541	1000
4	2-3-4-5-7-10	20	empty	457	23954	174	100	82	26	56	100
5	2-3-4-5-8-9	60	empty	457	23954	172	1000	763	93	670	1000
6	2-3-4-5-8-10	120	empty	457	23954	175	1000	748	74	674	1000
7	2-3-4-5-8-12	60	empty	457	23954	172	100	25	13	12	100
8	2-3-4-5-10-12	40	empty	457	23954	168	100	52	26	26	100
9	2-3-4-8-10-11	60	empty	457	23954	181	1000	570	104	466	1000
10	2-3-4-8-11-12	10	empty	457	23954	176	1000	542	93	449	1000
11	2-4-5-6-10-12	2	blocked-alternatives	458	23975	201	10000	163	113	50	10000
