edges	graphs	fallbacks	maximum_signature	first_maximizer	sha256
12	1	1	0	K??ED@OI?g@_	69e1cbfc8d31ceca5371d1ba81b3556d8f88dd2b9075d0ab8f9ffd260c2eda30
13	33	12	1	K?AA@AOQ@g@W	2532bd5b261edb6fe99f2bde1541b5096405b9369f7d8b1df5c69b36de84e567
14	787	135	1	K??CE?oBBCF_	fef39e0b8e1e66d97d6d5430f257faefdf7a9c0cc2f51c14ef11aebc2ff1c935
15	9868	1389	1	K??CE?oB@wLO	1e46011de17d6c27fa04887681511a14bcb7fce38012ccf82f60986813afd5fe
16	79764	8530	1	K??CB?[FF?Bo	6fe4a28c0e38c58de9dadb13986f74590363cb1c749cf6ecffe3d4fce0d82a53
17	471338	35186	1	K??CE?wP`wF_	5c7e7e01b27e12f84198038edcfd4c7c969ff2a9b852229408ec18b794788e07
18	2189608	115439	0	K???E?oBd[^_	97a6231df1e89da99c9eef1ebf9eddc2358ee6b68d9811c5ba041487a51de00b
19	8378029	310110	1	K??EFB_F@wBo	19943d158cbd1f7256385b86b939079b341795788ef569437c978a35badb26c8
20	27260833	765502	0	K???E?{w`{Ro	b56c13ceb6fd2978fab3ef01e93e224b53023e740d3467c138d2eba86f168413
21	77175579	1510480	-1	K???CBoZa{Fw	dbba8ca10ef26ec1cd1b5f7c20177f49036ea73605a5b0a6655957d40ef44287
22	193347558	2607613	0	K?ACKLo]BoPw	515c45ee92bf4951e27ada0621b860438b422a3efefe3e63d0d7af894b194dff
