G8_CORNERS degree=3 profile_size=11
TARGET 00000000 profile=7238,11037,11087,18351,19924,20509,32283,33606,33883,38881,40089
TARGET 00000003 profile=7043,12165,14569,19411,20509,23064,25286,26819,30465,34586,35161
TARGET 00000030 profile=486,7147,7192,12549,17272,20487,25417,26634,29137,34155,35407
TARGET 00000033 profile=736,747,9072,12112,18698,19269,20467,24090,26446,29556,36685
TARGET 00000300 profile=7020,11037,12592,14628,18549,20509,28825,28880,35378,38235,38906
TARGET 00000303 profile=16189,18347,19069,19962,23040,23064,25326,30866,32282,32352,39114
TARGET 00000330 profile=746,1843,11025,12546,19669,22755,25958,26446,30121,39912,40178
TARGET 00000333 profile=3003,7500,17995,18203,19671,23064,29154,29525,30417,32316,35406
TARGET 00003000 profile=11037,12283,20016,20384,25236,26795,32104,33818,33866,36059,36675
TARGET 00003003 profile=487,6041,7030,19168,19431,24558,25348,27096,29755,30419,30458
TARGET 00003030 profile=486,994,3019,6999,7510,14586,20136,20151,23376,33609,33818
TARGET 00003033 profile=8766,11007,14584,19411,20487,22777,22875,25322,26440,35284,39703
TARGET 00003300 profile=9001,9122,11085,14574,18354,20131,20467,25058,25322,32139,38890
TARGET 00003303 profile=733,6995,8472,12578,14618,18490,20450,22771,24458,38881,39538
TARGET 00003330 profile=486,1843,9072,11075,11085,17746,18544,20388,29407,35634,40188
TARGET 00003333 profile=24,732,2964,14569,17971,19195,22771,26446,27286,32115,36330
TARGET 00030000 profile=747,906,2532,7150,14628,14832,19235,20138,25178,29115,36430
TARGET 00030003 profile=1546,3006,6814,7524,12183,30562,32110,32352,34186,38646,38882
TARGET 00030030 profile=1327,9819,11087,14580,18640,19267,20545,22777,32049,33865,34440
TARGET 00030033 profile=744,746,8868,19915,22890,26243,27096,32890,33874,36456,38694
TARGET 00030300 profile=746,6707,20011,22933,25058,25325,25362,26436,32282,32316,38602
TARGET 00030303 profile=723,1376,7534,17241,19411,20499,23520,26435,29137,29546,32316
TARGET 00030330 profile=1084,1842,7232,8805,14579,14760,20018,22795,24240,29737,33709
TARGET 00030333 profile=948,7632,11075,12109,12600,22771,26446,30562,34450,35315,36421
TARGET 00033000 profile=193,906,1879,6041,9062,11871,23035,25100,27096,36474,40207
TARGET 00033003 profile=740,3000,7534,8641,12819,19030,22777,27276,33609,35167,36431
TARGET 00033030 profile=1835,7150,7527,11078,20314,25178,26985,29530,32139,33866,35378
TARGET 00033033 profile=480,746,6041,12399,17755,19965,20487,24380,25423,34177,39091
TARGET 00033300 profile=7555,10967,19924,20028,23048,23074,23802,27280,28920,32139,35406
TARGET 00033303 profile=1004,11081,17878,19624,20463,25328,26243,27096,30370,34560,39114
TARGET 00033330 profile=42,278,10953,10955,19054,20467,23035,23529,27286,35982,39097
TARGET 00033333 profile=4450,10953,11001,20136,20463,22771,23232,23794,26440,27242,35770
TARGET 00300000 profile=7023,11747,19269,20018,20285,24964,25323,25417,30515,36636,38778
TARGET 00300003 profile=205,5973,7072,11871,20458,24459,26790,30400,32282,38890,40178
TARGET 00300030 profile=486,14555,18645,19049,20131,23065,27280,33198,33865,35284,35529
TARGET 00300033 profile=7150,9008,11826,11921,14404,19340,20193,24250,25363,32372,34440
TARGET 00300300 profile=5925,11757,18551,19966,20509,23048,27243,30456,33606,35785,39624
TARGET 00300303 profile=16,2118,14577,17731,18201,20544,25957,31990,32280,36690,39578
TARGET 00300330 profile=2003,6790,9000,11757,12180,14404,18578,20619,25058,27286,28801
TARGET 00300333 profile=954,10953,18203,18550,19337,23530,23647,25323,26436,35322,36456
TARGET 00303000 profile=749,7019,8641,11449,17737,19155,19965,27114,33609,38905,39702
