G8_CORNERS degree=4 profile_size=14
TARGET 00000000 profile=940,1004,5997,7198,11045,22888,22901,25418,26446,29530,32032,33606,36675,39487
TARGET 00000004 profile=1326,7030,7079,7534,12109,12591,25237,25326,27276,32355,33183,33874,35378,40178
TARGET 00000040 profile=745,3098,7688,11037,11757,19266,19312,20130,23065,29539,29754,30419,32130,36371
TARGET 00000044 profile=8868,11013,12549,19269,19298,19418,20282,20467,25203,25418,32130,33606,35344,36675
TARGET 00000400 profile=1326,2130,6922,7069,11085,12848,20018,23065,25327,29754,32032,32370,33609,36675
TARGET 00000404 profile=1882,6033,12578,16432,19418,19965,23064,26412,27286,30364,30458,32136,38643,38646
TARGET 00000440 profile=1900,7005,11073,11927,20458,23036,23376,25363,28825,29539,32352,33198,36424,39626
TARGET 00000444 profile=6923,7504,11012,12546,19411,20466,24963,25363,26446,29143,30458,33153,33865,35406
TARGET 00004000 profile=1324,5244,7192,9114,11087,19024,20136,20324,20458,25178,26436,27242,32107,39487
TARGET 00004004 profile=733,7688,11003,11013,20324,22795,22916,25236,27018,32110,34177,34663,35596,36690
TARGET 00004040 profile=200,749,6045,8808,12549,20138,23643,25363,28686,31984,33182,34186,36349,40207
TARGET 00004044 profile=732,1327,7752,8817,18347,19411,22891,23643,26817,29521,30419,32051,34120,35321
TARGET 00004400 profile=2058,11037,11086,14568,18201,20018,23011,23082,24966,26402,29130,30272,33155,38899
TARGET 00004404 profile=733,949,1882,6920,6995,7504,11339,14768,23011,23074,23586,33740,35161,39097
TARGET 00004440 profile=994,2117,7238,8817,11003,14564,17755,22794,23071,27286,29130,30366,38890,39487
TARGET 00004444 profile=720,11003,12840,19298,22771,23064,26241,27286,28802,32049,33609,36057,36672,37924
TARGET 00040000 profile=748,1813,5198,8805,11027,14832,22915,23035,25418,26985,33183,36456,40201,40266
TARGET 00040004 profile=196,747,7072,12155,17874,18350,22768,23795,25326,25418,26446,35167,36636,38780
TARGET 00040040 profile=1442,7558,14407,14579,18604,19915,20487,23065,26401,26805,29730,32049,34194,39626
TARGET 00040044 profile=739,7001,7528,8868,12279,19266,19873,23529,23682,25418,26817,30562,35138,35407
TARGET 00040400 profile=7005,12201,14406,14760,17834,18698,20509,23526,26985,30367,33606,36459,38899,39002
TARGET 00040404 profile=936,7534,7681,8868,18546,19073,19411,20532,23011,26820,27312,28843,35400,38882
TARGET 00040440 profile=1842,3049,8805,11027,11075,18698,19269,20450,23571,23643,29730,30458,38640,39626
TARGET 00040444 profile=1327,7005,10953,11040,18640,20532,22768,23035,25323,29407,29522,30563,32355,36450
TARGET 00044000 profile=725,3007,7524,12284,17195,17994,19195,22888,26826,32352,33864,36602,38899,39090
TARGET 00044004 profile=948,1321,7752,10107,11080,12588,18642,19269,20198,22915,24458,26440,33818,39482
TARGET 00044040 profile=278,4440,6993,11087,12595,17995,19270,20487,24249,25321,26830,29539,29754,36602
TARGET 00044044 profile=158,3006,7510,7524,11079,11826,12203,12274,24255,24491,32355,34446,35167,35184
TARGET 00044400 profile=749,1604,6832,7632,11084,12274,19416,23035,26352,27241,29154,32139,36304,39703
TARGET 00044404 profile=180,7681,11073,11315,14768,18549,19625,22915,24380,24963,25206,25418,30419,39486
TARGET 00044440 profile=28,874,937,7500,9731,10955,19144,22777,25058,26819,29407,30562,34170,39106
TARGET 00044444 profile=744,6807,7069,11079,12912,23011,23616,23823,25362,26436,29146,30399,35406,37924
TARGET 00400000 profile=1324,2881,7192,7232,11013,11747,19024,19873,28416,30395,30562,39106,40178,40207
TARGET 00400004 profile=13,10967,11012,19269,19624,23048,26440,29832,30405,33091,33155,33882,35339,38905
TARGET 00400040 profile=1664,10959,14565,18646,19168,20198,23644,25325,26805,32049,33841,35636,36690,39626
TARGET 00400044 profile=732,736,17731,17962,19259,19630,23052,25417,26801,30562,32130,34177,36636,38161
