G8_CORNERS degree=5 profile_size=17
TARGET 00000000 profile=1004,7192,7558,9008,12165,19266,20138,23065,24541,25205,27276,30406,32352,32370,33606,36898,38899
TARGET 00000005 profile=196,747,7043,7241,11003,12578,19266,19891,19966,23064,27286,32355,33609,33883,35136,36602,38906
TARGET 00000050 profile=11,746,7192,7527,12274,12549,14628,14768,19210,19269,20131,24246,29530,29539,30746,36690,40178
TARGET 00000055 profile=205,7528,8817,11013,12568,14569,19411,23048,23646,25363,26801,28843,30562,33153,35339,39097,39915
TARGET 00000500 profile=22,7549,8809,11075,12164,18490,19966,20018,23065,25002,25237,27242,32352,32355,33183,38646,39487
TARGET 00000505 profile=196,747,748,9011,12165,12180,12203,19397,19410,23002,23064,26446,28843,29130,29137,29407,36369
TARGET 00000550 profile=6995,7189,11075,14406,18490,18549,18645,23041,25325,27312,30127,30417,33153,33182,35406,36690,38644
TARGET 00000555 profile=196,907,11013,11073,12165,18347,19882,20450,20544,22770,25274,28843,29407,33666,34447,36369,39912
TARGET 00005000 profile=749,1878,7041,8647,11087,12232,12696,14565,17995,22993,23074,26436,33183,35167,35325,39114,39703
TARGET 00005005 profile=747,2002,7558,8819,11003,14628,17676,19418,19966,23074,23643,25202,32051,32136,33740,34177,38906
TARGET 00005050 profile=1900,7020,7023,8826,11987,12598,14628,18698,23074,23646,24491,25327,32104,33864,33866,36371,39640
TARGET 00005055 profile=26,204,746,9072,12912,18201,18698,19298,22888,24966,26799,30419,33153,34186,36636,36664,38646
TARGET 00005500 profile=200,748,3097,10965,12591,12840,19195,19672,22993,23035,26436,27286,29086,30121,30367,33155,38890
TARGET 00005505 profile=1812,8819,11013,11073,14628,19030,19962,23011,23529,24489,25202,25326,29059,33155,33818,35785,36369
TARGET 00005550 profile=745,7010,12274,18201,18544,18698,19672,22993,23065,23376,26402,27286,30367,32130,35401,39487,39792
TARGET 00005555 profile=193,3002,7552,8826,9001,11013,11826,12841,18645,20458,22770,22771,25363,28843,29143,29407,33698
TARGET 00050000 profile=937,944,6047,7144,8868,19418,19918,20138,23052,24491,25327,27276,27279,32370,33153,33866,36459
TARGET 00050005 profile=181,723,948,7688,8805,10354,11081,18203,19210,22901,22915,32370,34186,36474,38646,38858,38882
TARGET 00050050 profile=739,7524,9006,11027,12549,14761,14768,18604,18698,19914,24249,24338,27276,29746,30745,33866,35339
TARGET 00050055 profile=746,2002,2953,7527,11079,11985,14760,19072,19210,19882,20510,24246,24336,26446,34447,35407,36474
TARGET 00050500 profile=747,1813,7552,11075,14569,14832,17728,18345,19965,22993,23794,25324,28843,30244,38682,40100,40207
TARGET 00050505 profile=27,1813,8805,10961,11073,14784,19891,20509,22768,22901,25237,27280,28843,30402,35138,38906,39090
TARGET 00050550 profile=744,994,1326,7005,7150,11075,14768,18546,19269,20501,22794,27280,28825,29538,29730,33606,38780
TARGET 00050555 profile=272,7632,8808,11073,12183,18550,19298,22755,25326,26435,27276,30400,35138,35305,35407,38221,38738
TARGET 00055000 profile=747,8795,10967,12284,14579,17848,20136,20138,20324,23738,23847,24491,25327,26402,26446,36371,40206
TARGET 00055005 profile=4636,7534,7681,9008,10959,11868,12574,14569,14832,19264,23035,24380,25320,26402,28834,35167,35339
TARGET 00055050 profile=2002,8641,8793,10959,14407,14761,18345,20138,22795,23035,23074,23643,24250,25207,26394,30746,36636
TARGET 00055055 profile=746,1327,3006,6039,6808,6921,12201,20138,23064,23825,24249,24963,29736,32104,32139,34186,35315
TARGET 00055500 profile=724,2002,11009,12153,14577,20509,23011,23034,23586,24541,25274,25327,26795,30367,32154,36459,39096
TARGET 00055505 profile=1004,1842,6814,7503,11085,19030,19960,20450,23530,24966,25326,26436,32110,32316,34578,35166,35406
TARGET 00055550 profile=4,745,2116,7510,7688,11075,19269,22795,23643,24250,26985,27096,28825,32110,33459,36600,38906
TARGET 00055555 profile=747,1812,1882,7504,11079,11085,11829,11987,17775,24306,24457,25274,29406,29546,32051,36450,38169
TARGET 00500000 profile=1813,8647,9001,11027,11826,12165,19264,19891,20131,23832,25325,25417,32154,36371,36459,38905,40248
TARGET 00500005 profile=739,1813,1900,5963,7072,12153,14569,17875,19264,24306,25323,26472,30395,32370,35167,36352,38239
TARGET 00500050 profile=205,725,944,2002,6993,11027,12154,12546,17754,26626,29545,29754,33183,33606,34176,36352,40178
TARGET 00500055 profile=1843,7023,11012,11013,12274,16403,17953,19410,23643,23793,24338,26401,29545,30364,33882,34186,35407
TARGET 00500500 profile=1843,7030,11025,12840,12912,14553,19672,19915,19965,20450,25325,28824,29137,30405,33198,38898,39792
TARGET 00500505 profile=949,1320,3006,6784,7072,8644,12112,17706,19030,19624,24966,26436,28825,29146,32355,35138,35320
TARGET 00500550 profile=5985,7010,8640,8868,11987,14568,17755,18546,19891,23051,23074,25325,29538,33183,34194,38905,39624
TARGET 00500555 profile=720,1900,8868,11829,14553,18546,18549,19270,19672,20546,23048,23618,25203,33606,34584,36672,38905
TARGET 00505000 profile=192,200,884,8819,10965,14565,14628,19264,19411,19965,23074,24551,25100,25321,33864,39114,40200
TARGET 00505005 profile=196,481,940,3002,9008,11003,11829,14401,17971,19194,19264,22915,26437,27276,33818,35166,39090
TARGET 00505050 profile=725,732,6838,11987,12841,17737,18645,19269,20458,24922,27241,30360,32130,33198,33840,36690,40206
TARGET 00505055 profile=12,192,7041,11003,11871,14401,16384,17731,17875,24250,25323,27276,29538,32049,33183,39114,39703
TARGET 00505500 profile=193,748,1324,6838,10955,17962,17971,18201,20457,25363,26807,32136,33155,33666,38898,39106,39486
TARGET 00505505 profile=936,1812,6832,7232,11003,11013,17715,18544,25322,29800,30395,31990,32154,33740,35337,38881,39114
TARGET 00505550 profile=1878,1900,6832,9001,10955,11085,12696,14565,19195,23832,24489,25363,27241,29736,30126,31984,33183
TARGET 00505555 profile=480,1882,6921,7144,8640,11002,11003,12848,18646,20508,22771,23586,25362,28842,29545,32154,33698
TARGET 00550000 profile=193,725,906,7150,7558,14568,19914,19915,23065,26404,26985,32032,32051,34170,34176,36459,38904
TARGET 00550005 profile=723,1899,7005,8795,14569,14586,17715,17861,19411,19630,25320,25324,25326,32355,34194,35160,38682
TARGET 00550050 profile=906,1828,11037,11079,12155,14401,17746,18645,19901,24240,24246,24250,29530,29538,32136,33865,36371
TARGET 00550055 profile=196,1882,3000,7528,10959,11013,12183,23793,23823,24336,25324,29544,29746,32032,34176,36310,38213
TARGET 00550500 profile=7692,11027,11871,14400,14760,17971,19966,20138,20450,24240,25324,28842,30364,32704,36369,38904,39106
TARGET 00550505 profile=3,720,6814,12183,14768,17875,18550,19960,19965,20534,23526,25323,25416,32280,32316,35167,36450
TARGET 00550550 profile=1842,6832,8793,12696,14553,18698,18711,19630,20450,23838,24240,25324,27312,29136,30405,35400,36672
TARGET 00550555 profile=0,8644,11073,12696,17835,19624,19960,20199,20487,25324,26801,27280,29136,29406,32032,34584,38221
TARGET 00555000 profile=158,884,6804,10967,11878,14586,17953,19264,19960,24966,25237,25321,31866,32049,36460,40206,40207
