G8_CORNERS degree=6 profile_size=20
TARGET 00000000 profile=22,152,7043,8868,11013,12284,12546,12591,14628,19210,19672,20117,20487,23048,23065,39114,40207,40207,40207,40207
TARGET 00000006 profile=196,948,7043,7069,8868,12574,14577,18347,19672,22777,23064,23064,23065,30419,32051,34186,35167,35167,35167,35325
TARGET 00000060 profile=749,6993,7147,11037,11037,12274,18642,18698,19270,23065,23065,25418,29539,32355,33153,33183,34177,34441,36371,36690
TARGET 00000066 profile=486,1813,1843,6993,7043,8646,11079,11085,11987,12274,18802,22890,25362,27276,35138,35138,35138,35138,35138,35339
TARGET 00000600 profile=742,949,8794,11075,14568,14628,18490,18550,19411,19962,23034,23065,23065,28826,28826,32370,35337,36690,38221,39106
TARGET 00000606 profile=13,181,272,936,12588,12591,14628,18490,18549,19965,19966,23048,26446,26817,30367,35138,35138,35138,35138,35406
TARGET 00000660 profile=907,7503,12546,14577,18203,18347,19962,20463,23048,25363,26807,29746,33606,33606,33606,35280,38171,39626,39626,39626
TARGET 00000666 profile=7189,8868,9000,9008,12274,14577,14832,18546,18578,18578,22770,23529,24966,25323,25323,25323,29737,32104,32352,36371
TARGET 00006000 profile=749,749,749,7558,12912,14628,19168,19962,19965,20138,20487,26440,26472,27096,30360,32110,33609,35761,36352,40178
TARGET 00006006 profile=13,1004,7534,7534,7534,10961,12841,19155,19171,19924,23064,25363,27286,30367,32051,32139,34177,34186,35770,39114
TARGET 00006060 profile=192,742,7558,7558,7558,7558,12064,12274,14628,19264,23376,24541,25417,26987,29539,30126,30417,33153,33866,34186
TARGET 00006066 profile=948,3002,6045,7020,7023,8646,11081,11081,19298,19298,20458,20487,23646,29539,29746,32130,32139,33609,35138,35326
TARGET 00006600 profile=721,949,1004,1324,7041,7552,7552,7552,12284,12848,18347,18549,25236,32110,33606,33666,33818,36676,39481,39487
TARGET 00006606 profile=13,180,272,8819,11003,12852,14568,18203,18347,18490,18578,20324,23002,23529,30367,33818,33818,33818,38906,39106
TARGET 00006660 profile=1324,1900,7510,7510,11003,12592,17971,18347,20463,23376,25236,26402,26987,27096,29754,30366,30366,32139,35378,40178
TARGET 00006666 profile=744,744,744,949,7527,9072,11036,12274,18347,18490,19024,22770,22777,26440,29146,33818,33818,33818,35320,39096
TARGET 00060000 profile=937,1004,1327,3007,6047,7150,7150,8809,12180,17731,23035,23035,25325,26446,30562,32370,34177,34186,38171,39090
TARGET 00060006 profile=906,944,2886,7534,7534,7534,7534,11013,14586,19072,19915,20487,26436,27312,30402,32355,33883,34176,38644,38906
TARGET 00060060 profile=205,749,1327,2002,7189,11027,11027,11079,12549,20467,22777,22888,23643,26446,27280,30121,30400,33874,38858,38858
TARGET 00060066 profile=272,7752,8809,11027,11848,12170,14832,19298,19298,19298,19298,20487,23064,23232,26446,27280,33883,35407,36456,38171
TARGET 00060600 profile=26,937,3098,6807,7150,7150,14628,14760,14768,14832,20018,20018,20018,22993,23526,23526,26402,29146,32051,39090
TARGET 00060606 profile=744,944,6814,6923,7005,19891,20450,22915,23040,26352,27280,28834,32029,32051,32282,32316,36424,38906,38906,38906
TARGET 00060660 profile=205,487,721,3042,7524,7527,11027,11985,12550,14628,19891,19891,20467,23232,29146,29546,30127,30127,32370,38221
TARGET 00060666 profile=736,7688,8808,11073,17851,18490,19960,22768,23232,23520,26243,27312,29546,29546,32032,32355,33874,35406,35406,36369
TARGET 00066000 profile=2884,7752,9001,12588,12841,14407,14586,17835,17995,17995,17995,19418,19962,25327,25327,26440,28826,32154,36371,36636
TARGET 00066006 profile=1004,1842,6808,6995,8819,8826,11087,12284,14761,17848,17874,20487,22915,25320,26352,28843,35167,35167,35785,36474
TARGET 00066060 profile=722,994,6047,7238,11826,11985,14579,17995,19630,22795,23376,23823,25100,26446,29530,33866,33866,33866,35326,36636
TARGET 00066066 profile=278,720,2002,7534,7534,11079,11079,11848,11985,12588,20450,23643,23823,24250,33874,34170,35785,36602,39106,40206
TARGET 00066600 profile=936,8818,10965,10965,12284,14586,17835,19962,22888,22915,23065,24541,25178,25236,26352,27276,30246,35320,39487,39487
TARGET 00066606 profile=936,1842,5921,7552,9001,11073,12284,12578,17962,18201,18549,20192,23586,24458,24458,25326,30458,35167,35167,38890
TARGET 00066660 profile=25,193,7680,11085,11085,18201,19270,20463,22777,22786,23082,23823,25178,25362,26795,29137,29746,38906,39624,39624
TARGET 00066666 profile=3006,6780,7558,7680,10953,12274,17746,18203,18544,19030,20463,24458,24960,25274,25362,27242,27280,34586,34586,34586
TARGET 00600000 profile=940,2116,8644,11037,11037,11037,19915,19915,19966,23526,23823,24250,25274,26795,27096,32139,34186,35322,35325,38881
TARGET 00600006 profile=196,736,736,948,7043,8808,11081,18347,19195,19195,19672,19915,23232,24964,27240,28842,32139,34186,35160,38238
TARGET 00600060 profile=480,2002,6835,7043,11829,12232,14404,18640,18698,20131,23065,23065,23065,26446,32130,33874,33882,35401,36636,36675
TARGET 00600066 profile=1900,2002,6039,7024,7024,7024,8868,14404,14586,17835,18550,20554,25324,26401,30400,32032,32130,35166,38646,38646
TARGET 00600600 profile=152,944,949,1843,7192,7192,7192,7232,10965,14577,14768,19024,26436,27312,31990,33201,35136,39486,39486,39486
TARGET 00600606 profile=1326,1882,2116,5973,7144,9008,11002,12203,17728,19072,19195,23052,23064,26400,29154,32355,35166,35400,36450,38905
TARGET 00600660 profile=907,1812,6790,6790,6790,12165,14832,17715,20131,20458,26807,27241,28801,29154,30364,30417,34186,35404,36636,38644
TARGET 00600666 profile=736,1320,5925,11073,17728,18347,18645,19270,19411,20450,20528,23232,25273,29146,29545,29545,33609,34584,34584,36672
TARGET 00606000 profile=725,725,725,725,1812,2002,2882,6838,14565,17962,17971,19168,20131,27286,29746,32110,32154,34170,36690,39114
TARGET 00606006 profile=723,723,723,2002,6814,6814,12070,12203,14565,19027,19168,24964,25363,26402,26440,33183,33698,35326,38738,39106
TARGET 00606060 profile=5,200,10955,12165,12841,18201,18347,20117,20138,23643,23644,23646,27276,32049,33153,33864,33864,33864,36352,36600
TARGET 00606066 profile=192,7030,8641,10959,10959,11826,11854,19298,20509,23646,25323,27275,28824,33153,33183,34170,34186,35325,35596,36474
TARGET 00606600 profile=12,6921,8641,11037,12912,14565,17971,17971,17971,17971,20509,25321,26472,27241,27286,30367,32316,33201,35596,38898
TARGET 00606606 profile=733,733,733,733,6921,8795,14553,17730,17971,18549,19962,20458,23586,25236,28834,32139,33818,38238,39090,39106
TARGET 00606660 profile=481,724,3005,6790,6790,7024,11987,12165,18544,19168,20467,25058,25058,25417,27276,27286,30247,30393,32130,35596
TARGET 00606666 profile=25,720,720,1813,1842,1882,9072,11001,14553,17737,18645,19024,19966,25002,26799,29130,32280,33818,33818,33818
TARGET 00660000 profile=948,6995,8809,8868,14401,14555,17995,17995,17995,19813,19914,23232,25324,25324,25324,27096,33874,34186,34586,36675
TARGET 00660006 profile=158,723,723,723,11013,12190,14761,19298,19960,19965,23823,24458,24458,25362,26243,26401,29146,32355,36310,38644
TARGET 00660060 profile=6993,7150,7150,11878,14761,14768,18645,20314,20487,22777,24306,25362,27273,29736,30360,33865,33865,33865,35401,36459
TARGET 00660066 profile=944,7005,7238,7680,10959,18645,19270,20450,23823,24338,25323,25362,26817,32032,34176,34440,35401,35401,36310,38738
TARGET 00660600 profile=739,936,6790,11871,11872,12201,14400,17953,18203,19965,20544,24246,24246,25237,32352,33883,36371,36459,39486,39486
TARGET 00660606 profile=196,736,6784,7144,7681,8644,12180,12284,14406,17715,17875,17875,18550,24378,26446,27280,28834,29146,38904,38904
TARGET 00660660 profile=944,6807,11036,12696,14568,17737,18645,19630,22795,23738,23738,25320,25324,25324,26446,30244,30400,30562,32352,36304
TARGET 00660666 profile=720,720,720,6804,6923,12284,14586,19072,19269,19891,22771,23232,25273,26985,29136,29520,34446,35138,36456,38221
TARGET 00666000 profile=723,2002,6838,6838,6838,6838,7192,11871,12284,12696,14401,19264,23795,24556,25418,27280,32139,33840,33874,39486
TARGET 00666006 profile=5973,6994,7681,10967,12848,14401,17875,17875,17953,19264,24250,25320,25320,25320,29407,32051,33874,36371,36459,39096
TARGET 00666060 profile=204,480,906,6838,6993,8808,11829,12848,17755,17981,18345,23041,24249,24306,25321,34186,35401,36430,40206,40206
TARGET 00666066 profile=204,7688,11001,11854,17731,17995,20487,24306,25326,25362,26401,26440,26793,31984,32049,35322,35401,35401,36310,39090
TARGET 00666600 profile=884,936,6832,10967,10967,10967,10967,12912,17728,20463,20509,24491,26435,28826,28842,30126,30562,33816,35596,39090
TARGET 00666606 profile=884,1843,6814,6814,6814,6814,12284,12912,14553,17971,20463,23529,25272,26073,26446,29130,30406,32280,35166,35406
TARGET 00666660 profile=1812,3042,6780,7041,10965,10965,11829,18640,19030,20509,23376,23736,23823,24246,25274,27276,29544,39624,39624,39624
TARGET 00666666 profile=723,2116,5913,6808,6808,6808,12912,14578,17731,18347,20463,23529,23586,25272,26446,27096,30393,30406,35400,39486
TARGET 06000000 profile=204,940,7558,8817,12203,12229,14628,18203,19072,22755,23040,23041,23041,30405,35339,36371,39106,40201,40201,40201
TARGET 06000006 profile=736,874,5997,7238,7500,7527,8868,12203,14628,19072,19396,19924,20509,23040,23074,34194,35161,35161,35161,35161
TARGET 06000060 profile=192,739,907,994,7524,7527,8868,18604,18645,19269,19270,23074,26099,27286,30246,35287,40176,40176,40176,40176
TARGET 06000066 profile=16,205,6033,8808,8868,14554,18604,18646,19266,20130,22915,23040,23040,29522,29522,30417,32370,33183,34186,36690
TARGET 06000600 profile=1326,1813,1843,6039,6045,6923,7232,12153,12203,14406,19516,23011,25236,26436,30419,40176,40176,40176,40176,40176
TARGET 06000606 profile=27,5973,5973,7232,12067,12153,18546,18576,19966,23040,23040,25274,28843,32051,32370,36675,38169,38221,39097,39487
TARGET 06000660 profile=7232,8817,9072,12109,14628,14760,14768,18642,18696,18696,22795,23643,24240,25205,25205,25205,29137,32051,36424,36672
