order_index	vertex	status	vertices_after
0	510	UNKNOWN	630
1	511	UNKNOWN	630
2	512	UNKNOWN	630
3	513	UNKNOWN	630
4	515	UNKNOWN	630
5	519	UNSAT_PROVISIONAL	629
6	520	UNKNOWN	629
7	521	UNKNOWN	629
8	522	UNSAT_PROVISIONAL	628
9	523	UNKNOWN	628
10	524	UNKNOWN	628
11	525	UNSAT_PROVISIONAL	627
12	526	UNKNOWN	627
13	535	UNKNOWN	627
14	536	UNSAT_PROVISIONAL	626
15	537	UNSAT_PROVISIONAL	625
16	543	UNSAT_PROVISIONAL	624
17	544	UNSAT_PROVISIONAL	623
18	545	UNSAT_PROVISIONAL	622
19	546	UNSAT_PROVISIONAL	621
20	560	UNSAT_PROVISIONAL	620
21	561	UNSAT_PROVISIONAL	619
22	572	UNSAT_PROVISIONAL	618
23	573	UNSAT_PROVISIONAL	617
24	575	UNSAT_PROVISIONAL	616
25	576	UNSAT_PROVISIONAL	615
26	581	UNSAT_PROVISIONAL	614
27	582	UNSAT_PROVISIONAL	613
28	583	UNSAT_PROVISIONAL	612
29	584	UNSAT_PROVISIONAL	611
30	598	UNSAT_PROVISIONAL	610
31	602	UNSAT_PROVISIONAL	609
32	603	UNSAT_PROVISIONAL	608
33	604	UNKNOWN	608
34	617	UNSAT_PROVISIONAL	607
35	618	UNSAT_PROVISIONAL	606
36	619	UNSAT_PROVISIONAL	605
37	621	UNSAT_PROVISIONAL	604
38	622	UNSAT_PROVISIONAL	603
39	625	UNSAT_PROVISIONAL	602
40	626	UNSAT_PROVISIONAL	601
41	627	UNSAT_PROVISIONAL	600
42	628	UNSAT_PROVISIONAL	599
43	629	UNSAT_PROVISIONAL	598
44	630	UNSAT_PROVISIONAL	597
45	631	UNSAT_PROVISIONAL	596
46	514	UNSAT_PROVISIONAL	595
47	547	UNSAT_PROVISIONAL	594
48	549	UNSAT_PROVISIONAL	593
49	551	UNKNOWN	593
50	552	UNSAT_PROVISIONAL	592
51	555	UNKNOWN	592
52	556	UNSAT_PROVISIONAL	591
53	562	UNSAT_PROVISIONAL	590
54	563	UNSAT_PROVISIONAL	589
55	564	UNSAT_PROVISIONAL	588
56	567	UNKNOWN	588
57	568	UNSAT_PROVISIONAL	587
58	569	UNKNOWN	587
59	570	UNKNOWN	587
60	574	UNKNOWN	587
61	577	UNKNOWN	587
62	578	UNKNOWN	587
63	587	UNSAT_PROVISIONAL	586
64	590	UNKNOWN	586
65	591	UNKNOWN	586
66	592	UNKNOWN	586
67	593	UNSAT_PROVISIONAL	585
68	620	UNSAT_PROVISIONAL	584
69	527	UNKNOWN	584
70	528	UNSAT_PROVISIONAL	583
71	529	UNKNOWN	583
72	532	UNSAT_PROVISIONAL	582
73	534	UNSAT_PROVISIONAL	581
74	539	UNKNOWN	581
75	541	UNKNOWN	581
76	542	UNKNOWN	581
77	550	UNKNOWN	581
78	553	UNSAT_PROVISIONAL	580
79	554	UNSAT_PROVISIONAL	579
80	557	UNSAT_PROVISIONAL	578
81	559	UNSAT_PROVISIONAL	577
82	571	UNKNOWN	577
83	580	UNKNOWN	577
84	588	UNSAT_PROVISIONAL	576
85	589	UNSAT_PROVISIONAL	575
86	594	UNKNOWN	575
87	595	UNKNOWN	575
88	597	UNKNOWN	575
89	600	UNSAT_PROVISIONAL	574
90	607	UNKNOWN	574
91	610	UNKNOWN	574
92	611	UNKNOWN	574
93	615	UNKNOWN	574
94	616	UNSAT_PROVISIONAL	573
95	623	UNSAT_PROVISIONAL	572
96	624	UNKNOWN	572
97	518	UNKNOWN	572
98	530	UNKNOWN	572
99	531	UNSAT_PROVISIONAL	571
100	533	UNSAT_PROVISIONAL	570
101	540	UNSAT_PROVISIONAL	569
102	548	UNSAT_PROVISIONAL	568
103	565	UNKNOWN	568
104	566	UNSAT_PROVISIONAL	567
105	579	UNSAT_PROVISIONAL	566
106	585	UNSAT_PROVISIONAL	565
107	606	UNSAT_PROVISIONAL	564
108	608	SAT_VERIFIED	564
109	609	UNKNOWN	564
110	613	UNKNOWN	564
111	614	UNKNOWN	564
112	516	SAT_VERIFIED	564
113	538	UNKNOWN	564
114	586	UNKNOWN	564
115	601	UNSAT_PROVISIONAL	563
116	605	UNSAT_PROVISIONAL	562
117	517	SAT_VERIFIED	562
118	599	UNSAT_PROVISIONAL	561
119	558	SAT_VERIFIED	561
120	596	UNKNOWN	561
121	612	UNKNOWN	561
122	102	SAT_VERIFIED	561
123	293	POSITIVE_COVER	561
124	302	SAT_VERIFIED	561
