# orientation_index first_overlap second_overlap
0 11642 19350
0 4526 11610
0 1942 15010
0 11691 26466
0 11644 24830
0 19367 24767
0 158 24819
0 11284 26603
0 1222 24713
0 1150 11260
0 38172 38321
0 14975 17327
0 3452 3754
0 270 24831
0 5300 26615
0 3030 3550
0 14363 14454
0 3166 3414
0 3415 3686
0 3405 3692
0 3417 3677
0 11203 24155
0 3346 3613
0 14357 14466
0 13924 14830
0 3479 3706
0 3180 3703
0 205 10587
0 3178 3429
0 3424 3676
0 3183 3696
0 3487 3729
0 3356 3641
0 3089 3638
0 3007 3546
0 1335 18808
0 3023 3543
0 19224 24085
0 3016 3610
0 2998 3555
0 4116 11741
0 4204 25519
0 18819 24221
0 3205 3430
0 10607 27013
0 3215 3775
0 3108 3606
0 3051 3578
0 14429 17187
0 3995 24217
0 3160 3408
0 3141 3412
0 3138 3683
0 10557 18260
0 3154 3747
0 10546 18269
0 3053 3360
0 3294 3585
0 3068 3292
0 13781 13946
0 3137 3416
0 3202 3752
0 614 10724
0 3276 3573
0 11092 18817
0 10552 23738
0 4071 25928
0 3008 3308
0 1744 18674
0 37913 38035
0 1805 14462
0 703 23735
0 18271 23675
0 4673 10722
0 1653 23596
0 1679 23570
1 11232 26564
1 11685 26464
1 19358 24861
1 11680 26428
1 182 24791
1 152 24825
1 1216 24707
1 19769 24730
1 4117 11697
1 4081 24686
1 14873 17037
1 11745 25469
1 14938 17049
1 13873 14894
1 3491 3714
1 3165 3684
1 3408 3695
1 10521 24803
1 3344 3610
1 3038 3554
1 3308 3621
1 3285 3543
1 3008 3545
1 3476 3700
1 3407 3675
1 19905 40307
1 3460 3715
1 3339 3562
1 3000 3568
1 1955 14940
1 10481 27000
1 19221 24182
1 3080 3576
1 563 24138
1 14501 25196
1 3147 3406
1 3202 3424
1 3146 3676
1 3213 3479
1 3135 3431
1 3137 3706
1 5083 10485
1 668 24159
1 11791 25504
1 13739 14485
1 3138 3415
1 3141 3686
1 3079 3321
1 3288 3591
1 3016 3268
1 2996 3538
1 3295 3588
1 3071 3298
1 1683 11779
1 14335 14495
1 3134 3422
1 3152 3727
1 3132 3402
1 3162 3453
1 18901 25957
1 3009 3269
1 44667 45515
1 3006 3574
1 3070 3347
1 770 18289
1 11095 18823
1 3142 3438
1 10522 26966
1 4077 25934
1 599 25993
1 1729 18694
1 13922 17038
1 700 23729
1 11149 25924
1 4626 23590
1 10705 18687
1 1685 18634
1 13789 17174
1 702 11066
1 11069 23719
1 18262 23714
1 27935 43000
2 13380 35124
2 4524 11563
2 1143 26537
2 1133 24657
2 32884 49957
2 11639 19367
2 24724 26644
2 1212 24703
2 19765 24726
2 1107 24682
2 14879 15039
2 14283 15029
2 4621 26478
2 11249 19231
2 3300 3546
2 14576 14698
2 3485 3751
2 3164 3682
2 1246 11610
2 3406 3694
2 3419 3678
2 11205 26558
2 3047 3560
2 3044 3567
2 3474 3696
2 24323 26515
2 3173 3698
2 3442 3731
2 3343 3570
2 3077 3580
2 3351 3593
2 3079 3639
2 3002 3547
2 14333 17310
2 3414 3710
2 27287 45328
2 641 19238
2 3342 3619
2 3066 3616
2 14086 14765
2 3404 3674
2 10597 27008
2 18806 24258
2 1244 24273
2 3210 3477
2 18818 24321
2 1314 18833
2 3045 3298
2 3030 3278
2 3020 3311
2 14466 17174
2 3162 3409
2 3142 3413
2 3139 3684
2 3157 3476
2 3156 3748
2 10547 18271
2 16653 18047
2 3087 3325
2 2994 3268
2 3024 3272
2 3069 3294
2 3132 3418
2 3136 3401
2 11066 25878
2 3158 3449
2 3203 3753
2 4626 10661
2 3001 3280
2 3005 3276
2 741 28225
2 3140 3437
2 10703 26048
2 595 10691
2 3010 3310
2 1760 23619
2 13806 14417
2 696 23737
2 3995 11029
