restart	seed	initial	best	best_step	steps_done	bits
0	202609061	1770	138	13460	25000	10110100100000110001111000011100101110101100001011000010110010100101100011110110100111000000001011100110001000010101101011101110100100100101111001111000110111010101000101011110001000110011010110001000011110010110111100110011000110100101010010110011011001010110100111111101010100111010010
1	202609062	1797	144	16877	25000	01010001010100011011010111111000110001100101011001000010110000010111011111011011000110100110111011001101110010100101110100000101011100100111000000101101111010000010010000001110111010101011110000101011101010010111010101010111110011010010110011101010001110010011011010101100100011111010010
2	202609063	2379	141	1561	25000	01001100110111001101100010000110001011100011001111000001010101001101001111101010010100010011011001011011110001101011000111110000101010011010111000000110010100001101011010010000000111001010001100100110111101110001010111111010101101000110110110111101111010101101000101000110110111000111000
3	202609064	1554	141	5961	25000	01100000101101111000111000111100001110011011011000000100100001000111011101010100001101100110101101001011010101111000100101111100100100010010001011110110000001001001111011100001000100110001100011100001110110000001011010011011010111011010101011011110100110101110111011010101101001111010100
4	202609065	1668	144	7649	25000	10100101010011010000100011101100100010110111010001111001101001001100010001001010000100111000111111010011011000100110000011101011011010010111010001000111100001111000100010100100011101011110011101110100111010010110101000111011010100101110111001110011011001001110010011010001111011001100001
5	202609066	3774	153	5604	25000	00100111011000100011011011010110000000100001101101101011110001001001101101111010110111000011100100011011001010000001001110100000111010101100100010010100111000000111101001101011101101010100011000001111011110011000111001011110000110100001101111001110001111010001111101000111110111110001000
6	202609067	1938	135	16408	25000	01001100001100101011000111011011001110110110110001100110101001000000110111111001100011010111000101100000110011001100001001001011111010100100101001011100000101101001001101110010000111100000100010110101111111010010001111101000101101110010100111101110101110100111010010001011011101110000010
7	202609068	2106	153	22483	25000	10101000101000100011010101001101100001100101100000110100001011110101000101111001100100110100011011001110010010110101001110001000010011110010011001111100001011000101000001101101111110111000010011101101000001111011001100110010011011111000110001010100101001011011001011111111011111110000000
8	202609069	1284	147	10439	25000	10010110010101000100010001101001100111100010110010011001000010111011110100010100000100110101110100100001111000111000001001110011101001110101001011110010111010010111011000110110000010111101111011100001110100010111111110011011001010100101101001010011101010001110111100101000111101110000010
9	202609070	2100	141	19818	25000	11010011010110000001101000110100101100000100000100011010101110111101011000100001110000111011101100011001101001100100110010110101100110111101011001001011101010000010010101100111001011101101000011100001101101011001011001111000111101010010010111010001110011000110011110110100110101011001010
10	202609071	1557	150	17705	25000	00110010010000101111001101001100001101100111000100000101010111000101101110001110110110111001101000001010001100001001011100111011010110010010101000110111101110101100000101101001011000111111010100011100101100011000101110100011010010010110101011101001110100110110010111011101111101010001100
11	202609072	1701	123	18172	25000	10111010100100001001100111101000010101010110100010101101011001010101000101100101100010010101101000011100101110010011000011111001001100000010111011101101110010001010001110100010111101000110010010100010000101011110001010111010110010001101101100111000110111111010101110101111110010111000110
12	202609073	1482	144	8358	25000	00110000100100010100011001100011111011001100010110110001001101101100000010100100001110011111000001101100100101000110001100010110111001111110101001010010101011110101111000101001001011011110000110110001101011110011111001110100101011110100100110001110010001100101101001110011011110010000001
13	202609074	2799	153	5718	25000	01111010001010001111101101110000001000000110010100110011000101011110000101001110100010100011101010001010010000010100011000100011011011001101111001101100101011000110000101100101100011101011000100001001001111101100101010101001110111101101111000111011010111110110100101000111111110110000001
14	202609075	1998	141	7105	25000	11010110010001000100111100101100010100100100110000101111110110101010000001010100010100011100000111101011001100111000110110110010000111101001001011010000101001110111101101011000011111010010000000111110111011100010101100000110001111000101001111010011101011111010101110011110011001111000100
15	202609076	3861	150	12026	25000	00010101010001010011001111001100101111001110001010100110100101001110111100110001011011001010000011100100011001110001101100110101001100101011000010101011011000010011101100011001001011010111011110011000001001100100100110000111111111011011111000101111110010001111001001011010000111110100100
