kind	index	score	phases
cube	0	288	0000010211111101211120200101120002210120000100110120010210112100000222121010
cube	1	264	1000010211111101211120200101120002210120000100110120010210112100000222121010
cube	2	282	2000010211111101211120200101120002210120000100110120010210112100000222121010
cube	3	315	0100010211111101211120200101120002210120000100110120010210112100000222121010
cube	4	294	1100010211111101211120200101120002210120000100110120010210112100000222121010
cube	5	318	2100010211111101211120200101120002210120000100110120010210112100000222121010
cube	6	312	0200010211111101211120200101120002210120000100110120010210112100000222121010
cube	7	291	1200010211111101211120200101120002210120000100110120010210112100000222121010
cube	8	309	2200010211111101211120200101120002210120000100110120010210112100000222121010
cube	9	240	0010010211111101211120200101120002210120000100110120010210112100000222121010
cube	10	210	1010010211111101211120200101120002210120000100110120010210112100000222121010
cube	11	222	2010010211111101211120200101120002210120000100110120010210112100000222121010
cube	12	246	0110010211111101211120200101120002210120000100110120010210112100000222121010
cube	13	222	1110010211111101211120200101120002210120000100110120010210112100000222121010
cube	14	237	2110010211111101211120200101120002210120000100110120010210112100000222121010
cube	15	258	0210010211111101211120200101120002210120000100110120010210112100000222121010
cube	16	231	1210010211111101211120200101120002210120000100110120010210112100000222121010
cube	17	237	2210010211111101211120200101120002210120000100110120010210112100000222121010
cube	18	258	0020010211111101211120200101120002210120000100110120010210112100000222121010
cube	19	246	1020010211111101211120200101120002210120000100110120010210112100000222121010
cube	20	255	2020010211111101211120200101120002210120000100110120010210112100000222121010
cube	21	258	0120010211111101211120200101120002210120000100110120010210112100000222121010
cube	22	246	1120010211111101211120200101120002210120000100110120010210112100000222121010
cube	23	258	2120010211111101211120200101120002210120000100110120010210112100000222121010
cube	24	258	0220010211111101211120200101120002210120000100110120010210112100000222121010
cube	25	243	1220010211111101211120200101120002210120000100110120010210112100000222121010
cube	26	252	2220010211111101211120200101120002210120000100110120010210112100000222121010
cube	27	306	0001010211111101211120200101120002210120000100110120010210112100000222121010
cube	28	297	1001010211111101211120200101120002210120000100110120010210112100000222121010
cube	29	312	2001010211111101211120200101120002210120000100110120010210112100000222121010
cube	30	330	0101010211111101211120200101120002210120000100110120010210112100000222121010
cube	31	318	1101010211111101211120200101120002210120000100110120010210112100000222121010
cube	32	342	2101010211111101211120200101120002210120000100110120010210112100000222121010
cube	33	327	0201010211111101211120200101120002210120000100110120010210112100000222121010
cube	34	321	1201010211111101211120200101120002210120000100110120010210112100000222121010
cube	35	339	2201010211111101211120200101120002210120000100110120010210112100000222121010
cube	36	279	0011010211111101211120200101120002210120000100110120010210112100000222121010
cube	37	264	1011010211111101211120200101120002210120000100110120010210112100000222121010
cube	38	279	2011010211111101211120200101120002210120000100110120010210112100000222121010
cube	39	276	0111010211111101211120200101120002210120000100110120010210112100000222121010
cube	40	261	1111010211111101211120200101120002210120000100110120010210112100000222121010
cube	41	282	2111010211111101211120200101120002210120000100110120010210112100000222121010
cube	42	294	0211010211111101211120200101120002210120000100110120010210112100000222121010
cube	43	282	1211010211111101211120200101120002210120000100110120010210112100000222121010
cube	44	294	2211010211111101211120200101120002210120000100110120010210112100000222121010
cube	45	297	0021010211111101211120200101120002210120000100110120010210112100000222121010
cube	46	297	1021010211111101211120200101120002210120000100110120010210112100000222121010
cube	47	312	2021010211111101211120200101120002210120000100110120010210112100000222121010
cube	48	291	0121010211111101211120200101120002210120000100110120010210112100000222121010
cube	49	285	1121010211111101211120200101120002210120000100110120010210112100000222121010
cube	50	306	2121010211111101211120200101120002210120000100110120010210112100000222121010
cube	51	294	0221010211111101211120200101120002210120000100110120010210112100000222121010
cube	52	291	1221010211111101211120200101120002210120000100110120010210112100000222121010
cube	53	309	2221010211111101211120200101120002210120000100110120010210112100000222121010
cube	54	270	0002010211111101211120200101120002210120000100110120010210112100000222121010
cube	55	249	1002010211111101211120200101120002210120000100110120010210112100000222121010
cube	56	276	2002010211111101211120200101120002210120000100110120010210112100000222121010
cube	57	297	0102010211111101211120200101120002210120000100110120010210112100000222121010
cube	58	279	1102010211111101211120200101120002210120000100110120010210112100000222121010
cube	59	315	2102010211111101211120200101120002210120000100110120010210112100000222121010
cube	60	300	0202010211111101211120200101120002210120000100110120010210112100000222121010
cube	61	282	1202010211111101211120200101120002210120000100110120010210112100000222121010
cube	62	312	2202010211111101211120200101120002210120000100110120010210112100000222121010
cube	63	219	0012010211111101211120200101120002210120000100110120010210112100000222121010
cube	64	198	1012010211111101211120200101120002210120000100110120010210112100000222121010
cube	65	222	2012010211111101211120200101120002210120000100110120010210112100000222121010
cube	66	219	0112010211111101211120200101120002210120000100110120010210112100000222121010
cube	67	204	1112010211111101211120200101120002210120000100110120010210112100000222121010
cube	68	234	2112010211111101211120200101120002210120000100110120010210112100000222121010
cube	69	243	0212010211111101211120200101120002210120000100110120010210112100000222121010
cube	70	225	1212010211111101211120200101120002210120000100110120010210112100000222121010
cube	71	246	2212010211111101211120200101120002210120000100110120010210112100000222121010
cube	72	258	0022010211111101211120200101120002210120000100110120010210112100000222121010
cube	73	252	1022010211111101211120200101120002210120000100110120010210112100000222121010
cube	74	270	2022010211111101211120200101120002210120000100110120010210112100000222121010
cube	75	252	0122010211111101211120200101120002210120000100110120010210112100000222121010
cube	76	246	1122010211111101211120200101120002210120000100110120010210112100000222121010
cube	77	270	2122010211111101211120200101120002210120000100110120010210112100000222121010
cube	78	264	0222010211111101211120200101120002210120000100110120010210112100000222121010
cube	79	255	1222010211111101211120200101120002210120000100110120010210112100000222121010
cube	80	276	2222010211111101211120200101120002210120000100110120010210112100000222121010
cube	81	279	0000110211111101211120200101120002210120000100110120010210112100000222121010
cube	82	261	1000110211111101211120200101120002210120000100110120010210112100000222121010
cube	83	285	2000110211111101211120200101120002210120000100110120010210112100000222121010
cube	84	300	0100110211111101211120200101120002210120000100110120010210112100000222121010
cube	85	282	1100110211111101211120200101120002210120000100110120010210112100000222121010
cube	86	315	2100110211111101211120200101120002210120000100110120010210112100000222121010
cube	87	303	0200110211111101211120200101120002210120000100110120010210112100000222121010
cube	88	288	1200110211111101211120200101120002210120000100110120010210112100000222121010
cube	89	315	2200110211111101211120200101120002210120000100110120010210112100000222121010
cube	90	243	0010110211111101211120200101120002210120000100110120010210112100000222121010
cube	91	222	1010110211111101211120200101120002210120000100110120010210112100000222121010
cube	92	234	2010110211111101211120200101120002210120000100110120010210112100000222121010
cube	93	246	0110110211111101211120200101120002210120000100110120010210112100000222121010
cube	94	228	1110110211111101211120200101120002210120000100110120010210112100000222121010
cube	95	246	2110110211111101211120200101120002210120000100110120010210112100000222121010
cube	96	270	0210110211111101211120200101120002210120000100110120010210112100000222121010
cube	97	252	1210110211111101211120200101120002210120000100110120010210112100000222121010
cube	98	261	2210110211111101211120200101120002210120000100110120010210112100000222121010
cube	99	246	0020110211111101211120200101120002210120000100110120010210112100000222121010
cube	100	240	1020110211111101211120200101120002210120000100110120010210112100000222121010
cube	101	249	2020110211111101211120200101120002210120000100110120010210112100000222121010
cube	102	246	0120110211111101211120200101120002210120000100110120010210112100000222121010
cube	103	237	1120110211111101211120200101120002210120000100110120010210112100000222121010
cube	104	252	2120110211111101211120200101120002210120000100110120010210112100000222121010
cube	105	249	0220110211111101211120200101120002210120000100110120010210112100000222121010
