restart	seed	initial	best	best_step	steps_done	phases
0	2026090621	186	177	1	25000	1112220211111101211120200101120002210120000100110120010210112100000222121010
1	2026090622	807	177	1079	25000	1221021100122202110010212110202101121000100112101202102101020221000011021111
2	2026090623	780	177	1071	25000	0201000102212010022002202200010212121100112200012221102100000201120112121201
3	2026090624	870	177	2034	25000	0102110210102120120211021021200020100100010210202022002201012020100221201021
4	2026090625	846	177	5039	25000	0122021122220011200012000222201201210222111212110120101021112102222122121010
5	2026090626	732	177	2489	25000	0100202122102212021201000211020102110111212001022201001001100001010001122211
6	2026090627	735	177	125	25000	2222201212022022221011112012111110111220210101211200210000101102102102200210
7	2026090628	747	177	3027	25000	2201221201120012200102201010002201121021112120220021020200222010011212020120
8	2026090629	780	177	1114	25000	1112212222222112000221121220021222200200221122012002200022001012212010202001
9	2026090630	870	177	443	25000	2220021110211121020000202112000001002111122202122000100201201200110100120101
10	2026090631	735	177	862	25000	2020011221002102222201012201120221120222111221101012100110110002221111111111
11	2026090632	822	177	370	25000	2001120212222220100220201212212000020101110021221112010120111210021021212102
12	2026090633	855	177	383	25000	1201121222201021000021201012210221012221000201020210022010110122222011212020
13	2026090634	714	177	5198	25000	0020010101021021022120012122220221200221221221012012021110001111102210000011
14	2026090635	717	177	279	25000	2012021220020121121201011011020012122220212022120201111102210212122112102110
15	2026090636	663	177	4599	25000	1220222121100122210110121100202212221101212200022221112101100201012001021201
