parent	edge_1	edge_2	edge_3	target_kind	target_index
0	0,1	22,31	31,39	base	128
0	0,1	22,31	38,39	base	131
0	0,1	31,39	38,39	base	126
0	0,1	4,5	22,31	base	168
0	0,1	4,5	31,39	base	118
0	0,1	4,5	38,39	base	169
0	0,1	4,5	6,7	base	89
0	0,1	6,7	22,31	base	80
0	0,1	6,7	31,39	base	86
0	0,1	6,7	38,39	base	78
0	22,31	31,39	38,39	base	12
0	4,5	22,31	31,39	base	19
0	4,5	22,31	38,39	base	11
0	4,5	31,39	38,39	base	17
0	4,5	6,7	22,31	base	10
0	4,5	6,7	31,39	base	1
0	4,5	6,7	38,39	base	8
0	6,7	22,31	31,39	base	5
0	6,7	22,31	38,39	base	22
0	6,7	31,39	38,39	base	3
1	18,22	18,32	32,39	base	2
1	18,22	21,23	18,32	base	20
1	18,22	21,23	32,39	base	24
1	19,20	18,22	18,32	base	6
1	19,20	18,22	21,23	base	15
1	19,20	18,22	32,39	base	21
1	19,20	18,32	32,39	base	4
1	19,20	21,23	18,32	base	0
1	19,20	21,23	32,39	base	13
1	2,3	18,22	18,32	base	94
1	2,3	18,22	21,23	base	167
1	2,3	18,22	32,39	base	132
1	2,3	18,32	32,39	base	95
1	2,3	19,20	18,22	base	79
1	2,3	19,20	18,32	base	85
1	2,3	19,20	21,23	base	130
1	2,3	19,20	32,39	base	77
1	2,3	21,23	18,32	base	187
1	2,3	21,23	32,39	base	166
1	21,23	18,32	32,39	base	18
2	18,19	20,21	22,36	base	16
2	18,19	20,21	36,39	base	12
2	18,19	20,21	38,39	base	14
2	18,19	22,36	36,39	base	5
2	18,19	22,36	38,39	base	22
2	18,19	36,39	38,39	base	3
2	2,3	18,19	20,21	base	131
2	2,3	18,19	22,36	base	80
2	2,3	18,19	36,39	base	86
2	2,3	18,19	38,39	base	78
2	2,3	20,21	22,36	base	168
2	2,3	20,21	36,39	base	118
2	2,3	20,21	38,39	base	169
2	2,3	22,36	36,39	base	93
2	2,3	22,36	38,39	base	89
2	2,3	36,39	38,39	base	92
2	20,21	22,36	36,39	base	19
2	20,21	22,36	38,39	base	11
2	20,21	36,39	38,39	base	17
2	22,36	36,39	38,39	base	1
3	2,3	20,21	20,22	base	85
3	2,3	20,21	21,23	base	85
3	2,3	20,21	24,25	base	127
3	2,3	20,22	21,23	base	79
3	2,3	20,22	24,25	base	130
3	2,3	21,23	24,25	base	130
3	2,3	4,5	20,21	base	95
3	2,3	4,5	20,22	base	132
3	2,3	4,5	21,23	base	132
3	2,3	4,5	24,25	base	166
3	20,21	20,22	21,23	base	6
3	20,21	20,22	24,25	base	0
3	20,21	21,23	24,25	base	0
3	20,22	21,23	24,25	base	15
3	4,5	20,21	20,22	base	2
3	4,5	20,21	21,23	base	2
3	4,5	20,21	24,25	base	18
3	4,5	20,22	21,23	base	9
3	4,5	20,22	24,25	base	24
3	4,5	21,23	24,25	base	24
4	2,3	20,34	21,35	base	80
4	2,3	20,34	34,35	base	86
4	2,3	21,35	34,35	base	86
4	2,3	22,23	20,34	base	131
4	2,3	22,23	21,35	base	131
4	2,3	22,23	34,35	base	126
4	2,3	4,5	20,34	base	89
4	2,3	4,5	21,35	base	89
4	2,3	4,5	22,23	base	169
4	2,3	4,5	34,35	base	92
4	20,34	21,35	34,35	base	5
4	22,23	20,34	21,35	base	16
4	22,23	20,34	34,35	base	12
4	22,23	21,35	34,35	base	12
4	4,5	20,34	21,35	base	10
4	4,5	20,34	34,35	base	1
4	4,5	21,35	34,35	base	1
4	4,5	22,23	20,34	base	11
4	4,5	22,23	21,35	base	11
4	4,5	22,23	34,35	base	17
5	2,3	20,21	32,33	base	129
5	2,3	20,21	32,36	base	130
5	2,3	20,21	33,37	base	130
5	2,3	32,33	32,36	base	85
5	2,3	32,33	33,37	base	85
5	2,3	32,36	33,37	base	77
5	2,3	4,5	20,21	base	167
5	2,3	4,5	32,33	base	94
5	2,3	4,5	32,36	base	132
5	2,3	4,5	33,37	base	132
5	20,21	32,33	32,36	base	0
5	20,21	32,33	33,37	base	0
5	20,21	32,36	33,37	base	13
5	32,33	32,36	33,37	base	4
5	4,5	20,21	32,33	base	20
5	4,5	20,21	32,36	base	24
5	4,5	20,21	33,37	base	24
5	4,5	32,33	32,36	base	2
5	4,5	32,33	33,37	base	2
5	4,5	32,36	33,37	base	7
6	2,3	20,21	34,38	base	131
6	2,3	20,21	35,39	base	131
6	2,3	20,21	38,39	base	128
6	2,3	34,38	35,39	base	78
