parent	edge_1	edge_2	edge_3	edge_4	target_kind	target_index
0	0,1	22,31	31,39	38,39	base	130
0	0,1	4,5	22,31	31,39	base	167
0	0,1	4,5	22,31	38,39	base	187
0	0,1	4,5	31,39	38,39	base	166
0	0,1	4,5	6,7	22,31	base	94
0	0,1	4,5	6,7	31,39	base	132
0	0,1	4,5	6,7	38,39	base	95
0	0,1	6,7	22,31	31,39	base	79
0	0,1	6,7	22,31	38,39	base	85
0	0,1	6,7	31,39	38,39	base	77
0	4,17	3,25	35,37	20,38	base	123
0	4,5	22,31	31,39	38,39	base	24
0	4,5	6,7	22,31	31,39	base	9
0	4,5	6,7	22,31	38,39	base	2
0	4,5	6,7	31,39	38,39	base	7
0	6,7	22,31	31,39	38,39	base	21
1	12,19	0,28	29,38	15,39	base	28
1	18,22	21,23	18,32	32,39	base	11
1	19,20	18,22	18,32	32,39	base	22
1	19,20	18,22	21,23	18,32	base	16
1	19,20	18,22	21,23	32,39	base	12
1	19,20	21,23	18,32	32,39	base	14
1	2,3	18,22	18,32	32,39	base	89
1	2,3	18,22	21,23	18,32	base	168
1	2,3	18,22	21,23	32,39	base	118
1	2,3	19,20	18,22	18,32	base	80
1	2,3	19,20	18,22	21,23	base	128
1	2,3	19,20	18,22	32,39	base	86
1	2,3	19,20	18,32	32,39	base	78
1	2,3	19,20	21,23	18,32	base	131
1	2,3	19,20	21,23	32,39	base	126
1	2,3	21,23	18,32	32,39	base	169
2	12,18	0,27	28,37	15,38	base	47
2	18,19	20,21	22,36	36,39	base	15
2	18,19	20,21	22,36	38,39	base	0
2	18,19	20,21	36,39	38,39	base	13
2	18,19	22,36	36,39	38,39	base	21
2	2,3	18,19	20,21	22,36	base	129
2	2,3	18,19	20,21	36,39	base	130
2	2,3	18,19	20,21	38,39	base	127
2	2,3	18,19	22,36	36,39	base	79
2	2,3	18,19	22,36	38,39	base	85
2	2,3	18,19	36,39	38,39	base	77
2	2,3	20,21	22,36	36,39	base	167
2	2,3	20,21	22,36	38,39	base	187
2	2,3	20,21	36,39	38,39	base	166
2	2,3	22,36	36,39	38,39	base	132
2	20,21	22,36	36,39	38,39	base	24
3	2,3	20,21	20,22	21,23	base	80
3	2,3	20,21	20,22	24,25	base	131
3	2,3	20,21	21,23	24,25	base	131
3	2,3	20,22	21,23	24,25	base	128
3	2,3	4,5	20,21	20,22	base	89
3	2,3	4,5	20,21	21,23	base	89
3	2,3	4,5	20,21	24,25	base	169
3	2,3	4,5	20,22	21,23	base	93
3	2,3	4,5	20,22	24,25	base	118
3	2,3	4,5	21,23	24,25	base	118
3	20,21	20,22	21,23	24,25	base	16
3	4,5	20,21	20,22	21,23	base	10
3	4,5	20,21	20,22	24,25	base	11
3	4,5	20,21	21,23	24,25	base	11
3	4,5	20,22	21,23	24,25	base	19
4	2,3	20,34	21,35	34,35	base	79
4	2,3	22,23	20,34	21,35	base	129
4	2,3	22,23	20,34	34,35	base	130
4	2,3	22,23	21,35	34,35	base	130
4	2,3	4,5	20,34	21,35	base	94
4	2,3	4,5	20,34	34,35	base	132
4	2,3	4,5	21,35	34,35	base	132
4	2,3	4,5	22,23	20,34	base	187
4	2,3	4,5	22,23	21,35	base	187
4	2,3	4,5	22,23	34,35	base	166
4	22,23	20,34	21,35	34,35	base	15
4	4,5	20,34	21,35	34,35	base	9
4	4,5	22,23	20,34	21,35	base	20
4	4,5	22,23	20,34	34,35	base	24
4	4,5	22,23	21,35	34,35	base	24
5	2,3	20,21	32,33	32,36	base	131
5	2,3	20,21	32,33	33,37	base	131
5	2,3	20,21	32,36	33,37	base	126
5	2,3	32,33	32,36	33,37	base	78
5	2,3	4,5	20,21	32,33	base	168
5	2,3	4,5	20,21	32,36	base	118
5	2,3	4,5	20,21	33,37	base	118
5	2,3	4,5	32,33	32,36	base	89
5	2,3	4,5	32,33	33,37	base	89
5	2,3	4,5	32,36	33,37	base	92
5	20,21	32,33	32,36	33,37	base	14
5	4,17	1,25	19,36	34,39	base	33
5	4,5	20,21	32,33	32,36	base	11
5	4,5	20,21	32,33	33,37	base	11
5	4,5	20,21	32,36	33,37	base	17
5	4,5	32,33	32,36	33,37	base	8
5	5,16	0,24	18,37	35,38	base	33
6	2,3	20,21	34,38	35,39	base	127
6	2,3	20,21	34,38	38,39	base	130
6	2,3	20,21	35,39	38,39	base	130
6	2,3	34,38	35,39	38,39	base	77
6	2,3	4,5	20,21	34,38	base	187
6	2,3	4,5	20,21	35,39	base	187
6	2,3	4,5	20,21	38,39	base	167
6	2,3	4,5	34,38	35,39	base	95
6	2,3	4,5	34,38	38,39	base	132
6	2,3	4,5	35,39	38,39	base	132
6	20,21	34,38	35,39	38,39	base	13
6	4,17	1,25	19,34	32,37	base	61
6	4,5	20,21	34,38	35,39	base	18
6	4,5	20,21	34,38	38,39	base	24
6	4,5	20,21	35,39	38,39	base	24
6	4,5	34,38	35,39	38,39	base	7
6	5,16	0,24	18,35	33,36	base	61
7	18,19	18,22	19,23	24,25	base	20
7	18,19	20,21	18,22	19,23	base	6
7	18,19	20,21	18,22	24,25	base	0
7	18,19	20,21	19,23	24,25	base	0
7	2,3	18,19	18,22	19,23	base	94
7	2,3	18,19	18,22	24,25	base	187
7	2,3	18,19	19,23	24,25	base	187
7	2,3	18,19	20,21	18,22	base	85
7	2,3	18,19	20,21	19,23	base	85
7	2,3	18,19	20,21	24,25	base	127
7	2,3	18,22	19,23	24,25	base	167
7	2,3	20,21	18,22	19,23	base	79
7	2,3	20,21	18,22	24,25	base	130
7	2,3	20,21	19,23	24,25	base	130
7	20,21	18,22	19,23	24,25	base	15
8	18,19	20,21	22,38	23,39	base	16
8	18,19	20,21	22,38	38,39	base	12
8	18,19	20,21	23,39	38,39	base	12
8	18,19	22,38	23,39	38,39	base	5
8	2,3	18,19	20,21	22,38	base	131
8	2,3	18,19	20,21	23,39	base	131
8	2,3	18,19	20,21	38,39	base	126
8	2,3	18,19	22,38	23,39	base	80
8	2,3	18,19	22,38	38,39	base	86
8	2,3	18,19	23,39	38,39	base	86
8	2,3	20,21	22,38	23,39	base	168
8	2,3	20,21	22,38	38,39	base	118
8	2,3	20,21	23,39	38,39	base	118
8	2,3	22,38	23,39	38,39	base	93
8	20,21	22,38	23,39	38,39	base	19
9	10,19	0,28	27,32	14,39	base	30
9	11,18	1,29	26,33	15,38	base	30
9	18,19	20,21	36,37	36,38	base	0
9	18,19	20,21	36,37	37,39	base	0
9	18,19	20,21	36,38	37,39	base	13
