parent	edge_1	edge_2	edge_3	edge_4	edge_5	target_kind	target_index
0	0,1	4,17	3,25	35,37	20,38	base	154
0	0,1	4,5	22,31	31,39	38,39	base	118
0	0,1	4,5	6,7	22,31	31,39	base	93
0	0,1	4,5	6,7	22,31	38,39	base	89
0	0,1	4,5	6,7	31,39	38,39	base	92
0	0,1	6,7	22,31	31,39	38,39	base	86
0	4,17	3,25	22,31	35,37	20,38	base	125
0	4,17	3,25	23,29	35,37	20,38	base	223
0	4,17	3,25	35,37	20,38	22,38	base	122
0	4,17	3,25	35,37	20,38	31,39	base	227
0	4,5	4,17	3,25	35,37	20,38	base	59
0	4,5	6,7	22,31	31,39	38,39	base	1
0	5,18	21,22	2,26	22,31	34,36	base	125
0	6,7	4,17	3,25	35,37	20,38	base	49
1	10,20	16,22	18,22	1,30	31,36	base	30
1	12,19	0,28	18,32	29,38	15,39	base	47
1	12,19	0,28	25,35	29,38	15,39	base	27
1	12,19	0,28	29,38	15,39	22,39	base	26
1	12,19	18,22	0,28	29,38	15,39	base	30
1	12,19	19,20	0,28	29,38	15,39	base	51
1	12,19	21,23	0,28	29,38	15,39	base	57
1	19,20	18,22	21,23	18,32	32,39	base	0
1	2,3	12,19	0,28	29,38	15,39	base	136
1	2,3	18,22	21,23	18,32	32,39	base	187
1	2,3	19,20	18,22	18,32	32,39	base	85
1	2,3	19,20	18,22	21,23	18,32	base	129
1	2,3	19,20	18,22	21,23	32,39	base	130
1	2,3	19,20	21,23	18,32	32,39	base	127
2	10,19	16,22	1,29	30,34	22,36	base	44
2	12,18	0,27	22,36	28,37	15,38	base	44
2	12,18	0,27	24,33	28,37	15,38	base	46
2	12,18	0,27	28,37	15,38	22,38	base	48
2	12,18	0,27	28,37	15,38	36,39	base	28
2	12,18	18,19	0,27	28,37	15,38	base	49
2	12,18	20,21	0,27	28,37	15,38	base	59
2	18,19	20,21	22,36	36,39	38,39	base	12
2	2,3	12,18	0,27	28,37	15,38	base	141
2	2,3	18,19	20,21	22,36	36,39	base	128
2	2,3	18,19	20,21	22,36	38,39	base	131
2	2,3	18,19	20,21	36,39	38,39	base	126
2	2,3	18,19	22,36	36,39	38,39	base	86
2	2,3	20,21	22,36	36,39	38,39	base	118
3	2,3	20,21	20,22	21,23	24,25	base	129
3	2,3	4,5	20,21	20,22	21,23	base	94
3	2,3	4,5	20,21	20,22	24,25	base	187
3	2,3	4,5	20,21	21,23	24,25	base	187
3	2,3	4,5	20,22	21,23	24,25	base	167
3	4,17	19,22	20,22	1,29	36,39	base	51
3	4,5	20,21	20,22	21,23	24,25	base	20
3	5,16	18,23	21,23	0,28	37,38	base	51
4	2,3	22,23	20,34	21,35	34,35	base	128
4	2,3	4,5	20,34	21,35	34,35	base	93
4	2,3	4,5	22,23	20,34	21,35	base	168
4	2,3	4,5	22,23	20,34	34,35	base	118
4	2,3	4,5	22,23	21,35	34,35	base	118
4	4,17	19,20	1,27	20,34	36,39	base	49
4	4,5	22,23	20,34	21,35	34,35	base	19
4	5,16	18,21	0,26	21,35	37,38	base	49
5	2,3	20,21	32,33	32,36	33,37	base	127
5	2,3	4,17	1,25	19,36	34,39	base	158
5	2,3	4,5	20,21	32,33	32,36	base	187
5	2,3	4,5	20,21	32,33	33,37	base	187
5	2,3	4,5	20,21	32,36	33,37	base	166
5	2,3	4,5	32,33	32,36	33,37	base	95
5	2,3	5,16	0,24	18,37	35,38	base	158
5	4,17	1,25	19,36	33,37	34,39	base	51
5	4,17	1,25	19,36	36,37	34,39	base	219
5	4,17	1,25	22,28	19,36	34,39	base	50
5	4,17	1,25	32,33	19,36	34,39	base	61
5	4,17	20,21	1,25	19,36	34,39	base	124
5	4,5	20,21	32,33	32,36	33,37	base	18
5	4,5	4,17	1,25	19,36	34,39	base	30
5	4,5	5,16	0,24	18,37	35,38	base	30
5	5,16	0,24	18,37	36,37	35,38	base	219
5	5,16	0,24	23,29	18,37	35,38	base	50
5	5,16	0,24	32,33	18,37	35,38	base	61
5	5,16	0,24	32,36	18,37	35,38	base	51
5	5,16	20,21	0,24	18,37	35,38	base	124
6	2,3	20,21	34,38	35,39	38,39	base	126
6	2,3	4,17	1,25	19,34	32,37	base	159
6	2,3	4,5	20,21	34,38	35,39	base	169
6	2,3	4,5	20,21	34,38	38,39	base	118
6	2,3	4,5	20,21	35,39	38,39	base	118
6	2,3	4,5	34,38	35,39	38,39	base	92
6	2,3	5,16	0,24	18,35	33,36	base	159
6	4,17	1,25	19,34	32,37	35,39	base	49
6	4,17	1,25	19,34	32,37	38,39	base	33
6	4,17	1,25	19,34	34,35	32,37	base	120
6	4,17	1,25	22,28	19,34	32,37	base	31
6	4,17	20,21	1,25	19,34	32,37	base	125
6	4,5	20,21	34,38	35,39	38,39	base	17
6	4,5	4,17	1,25	19,34	32,37	base	44
6	4,5	5,16	0,24	18,35	33,36	base	44
6	5,16	0,24	18,35	33,36	34,38	base	49
6	5,16	0,24	18,35	33,36	38,39	base	33
6	5,16	0,24	18,35	34,35	33,36	base	120
6	5,16	0,24	23,29	18,35	33,36	base	31
6	5,16	20,21	0,24	18,35	33,36	base	125
7	10,21	14,23	19,23	0,32	31,38	base	28
7	11,20	15,22	18,22	1,33	30,39	base	28
