parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
0	0,1	4,17	3,25	22,31	35,37	20,38	base	184
0	0,1	4,17	3,25	23,29	35,37	20,38	base	115
0	0,1	4,17	3,25	35,37	20,38	22,38	base	185
0	0,1	4,17	3,25	35,37	20,38	31,39	base	113
0	0,1	4,5	4,17	3,25	35,37	20,38	base	68
0	0,1	4,5	6,7	22,31	31,39	38,39	base	132
0	0,1	5,18	21,22	2,26	22,31	34,36	base	184
0	0,1	6,7	4,17	3,25	35,37	20,38	base	157
0	4,17	3,25	22,31	35,37	20,38	22,38	base	82
0	4,17	3,25	22,31	35,37	20,38	31,39	base	124
0	4,17	3,25	23,29	22,31	35,37	20,38	base	228
0	4,17	3,25	23,29	35,37	20,38	22,38	base	222
0	4,17	3,25	23,29	35,37	20,38	31,39	base	221
0	4,17	3,25	35,37	20,38	22,38	31,39	base	226
0	4,5	4,17	3,25	22,31	35,37	20,38	base	63
0	4,5	4,17	3,25	23,29	35,37	20,38	base	58
0	4,5	4,17	3,25	35,37	20,38	22,38	base	65
0	4,5	4,17	3,25	35,37	20,38	31,39	base	57
0	4,5	5,18	21,22	2,26	22,31	34,36	base	63
0	4,5	6,7	4,17	3,25	35,37	20,38	base	47
0	5,18	21,22	2,26	22,31	34,36	22,38	base	82
0	5,18	21,22	2,26	22,31	34,36	31,39	base	124
0	5,18	21,22	2,26	22,31	34,36	38,39	base	123
0	5,18	21,22	2,26	24,30	22,31	34,36	base	228
0	6,7	4,17	3,25	22,31	35,37	20,38	base	61
0	6,7	4,17	3,25	23,29	35,37	20,38	base	35
0	6,7	4,17	3,25	35,37	20,38	22,38	base	36
0	6,7	4,17	3,25	35,37	20,38	31,39	base	51
0	6,7	5,18	21,22	2,26	22,31	34,36	base	61
1	10,20	16,22	18,22	1,30	18,32	31,36	base	44
1	10,20	16,22	18,22	1,30	24,33	31,36	base	29
1	10,20	16,22	18,22	1,30	31,36	22,39	base	217
1	10,20	16,22	18,22	1,30	31,36	32,39	base	28
1	10,20	16,22	18,22	21,23	1,30	31,36	base	53
1	10,20	19,20	16,22	18,22	1,30	31,36	base	33
1	12,19	0,28	18,32	25,35	29,38	15,39	base	46
1	12,19	0,28	18,32	29,38	15,39	22,39	base	48
1	12,19	0,28	25,35	29,38	15,39	22,39	base	25
1	12,19	18,22	0,28	18,32	29,38	15,39	base	44
1	12,19	18,22	0,28	25,35	29,38	15,39	base	29
1	12,19	18,22	0,28	29,38	15,39	22,39	base	217
1	12,19	18,22	21,23	0,28	29,38	15,39	base	53
1	12,19	19,20	0,28	18,32	29,38	15,39	base	49
1	12,19	19,20	0,28	25,35	29,38	15,39	base	38
1	12,19	19,20	0,28	29,38	15,39	22,39	base	32
1	12,19	19,20	18,22	0,28	29,38	15,39	base	33
1	12,19	19,20	21,23	0,28	29,38	15,39	base	227
1	12,19	21,23	0,28	18,32	29,38	15,39	base	59
1	12,19	21,23	0,28	25,35	29,38	15,39	base	55
1	12,19	21,23	0,28	29,38	15,39	22,39	base	56
1	2,3	10,20	16,22	18,22	1,30	31,36	base	87
1	2,3	12,19	0,28	18,32	29,38	15,39	base	141
1	2,3	12,19	0,28	25,35	29,38	15,39	base	139
1	2,3	12,19	0,28	29,38	15,39	22,39	base	137
1	2,3	12,19	18,22	0,28	29,38	15,39	base	87
1	2,3	12,19	19,20	0,28	29,38	15,39	base	156
1	2,3	12,19	21,23	0,28	29,38	15,39	base	71
1	2,3	19,20	18,22	21,23	18,32	32,39	base	131
2	10,19	16,22	1,29	23,31	30,34	22,36	base	60
2	10,19	16,22	1,29	30,34	22,36	22,38	base	43
2	10,19	16,22	1,29	30,34	22,36	36,39	base	30
2	10,19	16,22	1,29	30,34	22,36	38,39	base	47
2	10,19	18,19	16,22	1,29	30,34	22,36	base	61
2	10,19	20,21	16,22	1,29	30,34	22,36	base	63
2	12,18	0,27	22,36	28,37	15,38	22,38	base	43
2	12,18	0,27	22,36	28,37	15,38	36,39	base	30
2	12,18	0,27	24,33	22,36	28,37	15,38	base	60
2	12,18	0,27	24,33	28,37	15,38	22,38	base	45
2	12,18	0,27	24,33	28,37	15,38	36,39	base	27
2	12,18	0,27	28,37	15,38	22,38	36,39	base	26
2	12,18	18,19	0,27	22,36	28,37	15,38	base	61
2	12,18	18,19	0,27	24,33	28,37	15,38	base	35
2	12,18	18,19	0,27	28,37	15,38	22,38	base	36
2	12,18	18,19	0,27	28,37	15,38	36,39	base	51
2	12,18	18,19	20,21	0,27	28,37	15,38	base	123
2	12,18	20,21	0,27	22,36	28,37	15,38	base	63
2	12,18	20,21	0,27	24,33	28,37	15,38	base	58
2	12,18	20,21	0,27	28,37	15,38	22,38	base	65
2	12,18	20,21	0,27	28,37	15,38	36,39	base	57
2	2,3	10,19	16,22	1,29	30,34	22,36	base	134
2	2,3	12,18	0,27	22,36	28,37	15,38	base	134
2	2,3	12,18	0,27	24,33	28,37	15,38	base	142
2	2,3	12,18	0,27	28,37	15,38	22,38	base	88
2	2,3	12,18	0,27	28,37	15,38	36,39	base	136
2	2,3	12,18	18,19	0,27	28,37	15,38	base	157
2	2,3	12,18	20,21	0,27	28,37	15,38	base	68
2	2,3	18,19	20,21	22,36	36,39	38,39	base	130
3	2,3	4,17	19,22	20,22	1,29	36,39	base	156
3	2,3	4,5	20,21	20,22	21,23	24,25	base	168
3	2,3	5,16	18,23	21,23	0,28	37,38	base	156
3	4,17	19,22	20,22	1,29	26,32	36,39	base	38
3	4,17	19,22	20,22	21,23	1,29	36,39	base	33
3	4,17	19,22	20,22	22,23	1,29	36,39	base	32
3	4,17	19,22	20,22	24,25	1,29	36,39	base	227
3	4,17	20,21	19,22	20,22	1,29	36,39	base	49
3	4,5	4,17	19,22	20,22	1,29	36,39	base	28
3	4,5	5,16	18,23	21,23	0,28	37,38	base	28
3	5,16	18,23	21,23	0,28	27,33	37,38	base	38
3	5,16	18,23	21,23	22,23	0,28	37,38	base	32
3	5,16	18,23	21,23	24,25	0,28	37,38	base	227
3	5,16	20,21	18,23	21,23	0,28	37,38	base	49
3	5,16	20,22	18,23	21,23	0,28	37,38	base	33
4	2,3	4,17	19,20	1,27	20,34	36,39	base	157
4	2,3	4,5	22,23	20,34	21,35	34,35	base	167
4	2,3	5,16	18,21	0,26	21,35	37,38	base	157
4	4,17	19,20	1,27	20,34	21,35	36,39	base	61
4	4,17	19,20	1,27	20,34	34,35	36,39	base	51
4	4,17	19,20	1,27	24,30	20,34	36,39	base	35
4	4,17	19,20	20,21	1,27	20,34	36,39	base	36
4	4,17	19,20	22,23	1,27	20,34	36,39	base	123
4	4,5	4,17	19,20	1,27	20,34	36,39	base	47
4	4,5	5,16	18,21	0,26	21,35	37,38	base	47
4	5,16	18,21	0,26	20,34	21,35	37,38	base	61
4	5,16	18,21	0,26	21,35	34,35	37,38	base	51
4	5,16	18,21	0,26	25,31	21,35	37,38	base	35
4	5,16	18,21	20,21	0,26	21,35	37,38	base	36
4	5,16	18,21	22,23	0,26	21,35	37,38	base	123
5	2,3	4,17	1,25	19,36	33,37	34,39	base	156
5	2,3	4,17	1,25	19,36	36,37	34,39	base	101
5	2,3	4,17	1,25	22,28	19,36	34,39	base	162
5	2,3	4,17	1,25	32,33	19,36	34,39	base	159
5	2,3	4,17	20,21	1,25	19,36	34,39	base	155
5	2,3	4,5	20,21	32,33	32,36	33,37	base	169
5	2,3	4,5	4,17	1,25	19,36	34,39	base	87
5	2,3	4,5	5,16	0,24	18,37	35,38	base	87
5	2,3	5,16	0,24	18,37	36,37	35,38	base	101
5	2,3	5,16	0,24	23,29	18,37	35,38	base	162
5	2,3	5,16	0,24	32,33	18,37	35,38	base	159
5	2,3	5,16	0,24	32,36	18,37	35,38	base	156
5	2,3	5,16	20,21	0,24	18,37	35,38	base	155
5	4,17	1,25	19,36	33,37	36,37	34,39	base	32
5	4,17	1,25	22,28	19,36	33,37	34,39	base	38
5	4,17	1,25	22,28	19,36	36,37	34,39	base	218
5	4,17	1,25	22,28	32,33	19,36	34,39	base	31
5	4,17	1,25	32,33	19,36	33,37	34,39	base	49
5	4,17	1,25	32,33	19,36	36,37	34,39	base	120
5	4,17	20,21	1,25	19,36	33,37	34,39	base	227
5	4,17	20,21	1,25	19,36	36,37	34,39	base	81
5	4,17	20,21	1,25	22,28	19,36	34,39	base	224
5	4,17	20,21	1,25	32,33	19,36	34,39	base	125
5	4,5	4,17	1,25	19,36	33,37	34,39	base	28
5	4,5	4,17	1,25	19,36	36,37	34,39	base	217
5	4,5	4,17	1,25	22,28	19,36	34,39	base	29
5	4,5	4,17	1,25	32,33	19,36	34,39	base	44
5	4,5	4,17	20,21	1,25	19,36	34,39	base	53
5	4,5	5,16	0,24	18,37	36,37	35,38	base	217
5	4,5	5,16	0,24	23,29	18,37	35,38	base	29
5	4,5	5,16	0,24	32,33	18,37	35,38	base	44
5	4,5	5,16	0,24	32,36	18,37	35,38	base	28
