parent	radius	flips	target_kind	target_index
0	1	0,1	base	131
0	1	4,5	base	11
0	1	6,7	base	22
0	1	22,31	base	16
0	1	31,39	base	12
0	1	38,39	base	14
0	4	4,17;3,25;35,37;20,38	base	123
1	1	2,3	base	132
1	1	19,20	base	21
1	1	18,22	base	9
1	1	21,23	base	24
1	1	18,32	base	2
1	1	32,39	base	7
1	4	12,19;0,28;29,38;15,39	base	28
2	1	2,3	base	89
2	1	18,19	base	22
2	1	20,21	base	11
2	1	22,36	base	10
2	1	36,39	base	1
2	1	38,39	base	8
2	4	12,18;0,27;28,37;15,38	base	47
3	1	2,3	base	77
3	1	4,5	base	7
3	1	20,21	base	4
3	1	20,22	base	21
3	1	21,23	base	21
3	1	24,25	base	13
4	1	2,3	base	78
4	1	4,5	base	8
4	1	22,23	base	14
4	1	20,34	base	22
4	1	21,35	base	22
4	1	34,35	base	3
5	1	2,3	base	79
5	1	4,5	base	9
5	1	20,21	base	15
5	1	32,33	base	6
5	1	32,36	base	21
5	1	33,37	base	21
5	4	5,16;0,24;18,37;35,38	base	33
5	4	4,17;1,25;19,36;34,39	base	33
6	1	2,3	base	80
6	1	4,5	base	10
6	1	20,21	base	16
6	1	34,38	base	22
6	1	35,39	base	22
6	1	38,39	base	5
6	4	5,16;0,24;18,35;33,36	base	61
6	4	4,17;1,25;19,34;32,37	base	61
7	1	2,3	base	92
7	1	18,19	base	8
7	1	20,21	base	3
7	1	18,22	base	1
7	1	19,23	base	1
7	1	24,25	base	17
8	1	2,3	base	95
8	1	18,19	base	4
8	1	20,21	base	18
8	1	22,38	base	2
8	1	23,39	base	2
8	1	38,39	base	7
9	1	2,3	base	93
9	1	18,19	base	5
9	1	20,21	base	19
9	1	36,37	base	10
9	1	36,38	base	1
9	1	37,39	base	1
9	4	11,18;1,29;26,33;15,38	base	30
9	4	10,19;0,28;27,32;14,39	base	30
10	1	2,3	base	94
10	1	18,19	base	6
10	1	20,21	base	20
10	1	36,40	base	2
10	1	37,41	base	2
10	1	40,41	base	9
10	4	11,18;1,29;26,33;15,36	base	44
10	4	10,19;0,28;27,32;14,37	base	44
11	1	0,1	base	187
11	1	5,7	base	2
11	1	20,21	base	0
11	1	24,30	base	20
11	1	30,39	base	24
11	1	38,39	base	18
11	4	15,20;3,27;31,33;16,38	base	59
12	1	0,1	base	130
12	1	4,5	base	24
12	1	6,7	base	21
12	1	19,23	base	15
12	1	19,32	base	0
12	1	32,38	base	13
12	4	5,17;2,28;22,38;34,39	base	227
13	1	0,1	base	126
13	1	4,5	base	17
13	1	6,7	base	3
13	1	20,21	base	14
13	1	20,24	base	12
13	1	21,25	base	12
14	1	0,1	base	127
14	1	4,5	base	18
14	1	6,7	base	4
14	1	22,32	base	0
14	1	23,33	base	0
14	1	32,33	base	13
15	1	0,1	base	128
15	1	4,5	base	19
15	1	6,7	base	5
15	1	30,31	base	16
15	1	30,38	base	12
15	1	31,39	base	12
15	4	5,16;2,24;32,37;20,39	base	124
15	4	4,17;3,25;33,36;21,38	base	124
16	1	0,1	base	129
16	1	4,5	base	20
16	1	6,7	base	6
16	1	36,38	base	0
16	1	37,39	base	0
16	1	38,39	base	15
16	4	5,16;2,24;30,35;20,37	base	125
16	4	4,17;3,25;31,34;21,36	base	125
17	1	0,1	base	166
17	1	6,7	base	7
17	1	14,15	base	18
17	1	22,23	base	13
17	1	14,24	base	24
17	1	15,25	base	24
18	1	0,1	base	169
18	1	6,7	base	8
18	1	20,21	base	14
18	1	22,28	base	11
18	1	23,29	base	11
18	1	28,29	base	17
19	1	0,1	base	167
19	1	6,7	base	9
19	1	20,21	base	15
19	1	26,27	base	20
19	1	26,38	base	24
19	1	27,39	base	24
19	4	15,20;3,29;31,32;19,38	base	53
19	4	14,21;2,28;30,33;18,39	base	53
20	1	0,1	base	168
20	1	6,7	base	10
20	1	20,21	base	16
20	1	36,38	base	11
20	1	37,39	base	11
20	1	38,39	base	19
20	4	15,20;3,27;29,30;19,36	base	63
20	4	14,21;2,26;28,31;18,37	base	63
21	1	0,3	base	86
21	1	4,5	base	1
21	1	20,21	base	5
21	1	22,23	base	12
21	1	20,36	base	22
21	1	36,37	base	3
21	4	5,14;1,27;19,37;35,38	base	51
22	1	0,3	base	85
22	1	4,5	base	2
22	1	21,22	base	0
22	1	20,33	base	6
22	1	33,39	base	21
22	1	36,39	base	4
22	4	5,14;1,26;19,36;35,37	base	49
23	1	0,1	complement	214
23	1	6,7	complement	213
23	1	8,9	complement	211
23	1	7,14	complement	215
23	1	6,15	complement	215
23	1	14,15	complement	203
23	1	30,31	complement	147
23	1	32,33	complement	252
24	1	0,1	base	118
24	1	4,7	base	1
24	1	21,22	base	12
24	1	15,25	base	19
24	1	15,28	base	11
24	1	28,39	base	17
24	4	16,21;3,29;32,35;17,39	base	57
25	1	0,2	base	140
25	1	18,22	base	54
25	1	17,29	base	45
25	1	21,34	base	37
25	1	17,37	base	121
25	1	35,37	base	27
25	1	36,40	base	26
26	1	0,2	base	137
26	1	18,23	base	56
26	1	17,30	base	48
26	1	21,35	base	32
26	1	22,36	base	25
26	1	17,38	base	217
26	1	37,38	base	28
27	1	0,2	base	139
27	1	17,23	base	29
27	1	20,23	base	25
27	1	18,24	base	55
27	1	17,31	base	46
27	1	22,36	base	38
27	1	37,40	base	28
28	1	0,2	base	136
28	1	17,24	base	30
28	1	20,24	base	26
28	1	18,25	base	57
28	1	17,32	base	47
28	1	22,37	base	51
28	1	23,38	base	27
28	4	3,20;10,21;33,37;13,40	base	1
29	1	0,2	base	138
29	1	17,22	base	52
29	1	21,34	base	50
29	1	29,35	base	60
29	1	19,37	base	121
29	1	35,37	base	27
29	1	36,40	base	30
30	1	0,2	base	87
30	1	17,23	base	53
30	1	21,35	base	33
30	1	22,36	base	29
30	1	30,37	base	44
30	1	19,38	base	217
30	1	37,38	base	28
30	4	3,19;10,20;31,35;13,40	base	9
31	1	0,2	base	160
31	1	6,17	base	60
31	1	19,23	base	228
31	1	20,35	base	119
31	1	34,38	base	61
31	1	35,39	base	35
31	1	37,39	base	50
31	4	6,12;1,27;28,31;16,35	base	186
32	1	0,1	base	104
32	1	6,14	base	26
32	1	20,24	base	226
32	1	19,33	base	36
32	1	22,35	base	37
32	1	19,38	base	219
32	1	37,38	base	51
33	1	0,1	base	158
33	1	6,14	base	30
33	1	19,24	base	124
33	1	22,35	base	50
33	1	33,37	base	61
33	1	21,38	base	219
33	1	37,38	base	51
33	4	6,12;2,29;28,34;16,38	base	303
33	4	3,21;17,23;14,36;13,39	base	5
34	1	0,2	base	164
34	1	6,17	base	45
34	1	19,22	base	222
34	1	33,36	base	119
34	1	34,36	base	35
34	1	33,38	base	37
34	1	35,39	base	36
35	1	0,2	base	161
35	1	6,17	base	46
35	1	20,23	base	34
35	1	19,24	base	223
35	1	23,35	base	31
35	1	35,38	base	38
35	1	36,39	base	49
36	1	0,2	base	102
36	1	6,17	base	48
36	1	19,23	base	122
36	1	21,33	base	34
36	1	35,37	base	120
36	1	36,37	base	49
36	1	35,39	base	32
37	1	0,2	base	165
37	1	6,17	base	25
37	1	20,23	base	220
37	1	19,33	base	34
37	1	19,37	base	218
37	1	35,37	base	38
37	1	36,39	base	32
38	1	0,2	base	163
38	1	6,17	base	27
38	1	19,24	base	50
38	1	21,24	base	37
38	1	20,25	base	221
38	1	19,35	base	35
38	1	37,39	base	51
39	1	6,15	base	171
39	1	25,39	base	254
39	1	17,40	base	305
39	1	39,41	base	188
40	1	0,5	complement	91
40	1	0,6	complement	143
40	1	3,14	complement	90
40	1	6,16	complement	133
40	1	18,31	complement	100
40	1	27,35	complement	42
40	1	34,36	complement	97
41	1	7,31	base	171
41	1	22,32	base	254
41	1	23,40	base	271
42	1	0,3	complement	40
42	1	17,20	base	74
42	1	21,32	base	119
42	1	34,37	base	43
42	1	35,39	base	121
