parent	cnf_clauses	core_clauses	core_bytes	proof_bytes	cnf_sha256	core_sha256	proof_sha256
0	102776	4544	79781	172157	6b9364ccc144e22db2fddebde67531c79202b83ab36c9e8d185d4f24aa016864	18687d009ec09d8fbfded5e90881723576361274c34cee307f3f5d1333e19da5	336a698fc1eeecd07caa335194d566b20abfb13e2197c8c4ed1e93e19ad89dbb
1	102725	4511	80126	171662	268e45bc39c23da7e7c09e591e73937e4d10112d4d909f5ed77779e02d4d1555	96b35a50b748747745c34396426f2f995c91701b3a3338ba3047e44beae9ad0b	f7c0576c1813dc19a75701b23577662b47afeb9064ea2354b6ef5d94fade52c5
2	102604	3258	57104	117385	101dcf14193e391241edc8db46d496af7634d50f68c836acb78be33841559673	c8c6265e17e911aaf89053df973d8ccb0f8a4901658f5b50cdd2a0eae96bef88	0a515e316b25a0cd0f7a4682c534c7aea1332a75973bcf16195a5ea169c39c76
3	102919	4460	78565	161973	f2a253824f2b725b2833a9eb5c7f7c293051a2fb90fdc88086d4b6aee7285989	dfa2c4cd5669cddd25fecf88406394e0b27497e2a7affd0feb6e82ad72b1b487	8bbbb1398f3a7bdd516b326f7fe82b8851299c142cd5e3b195d5305509ea14cf
4	102641	4653	81965	176648	fe52b28557b35d5acf4717b26bcbcf506ab3af88828c3a6a9e579534acb3f8f6	e4d8d4a449b246551cbf07ca4d035bda54a2f7b6203facbdd612065f2ae80a93	4bdd9b836c1553bfe0849987e091f1234af68b0a086073e13d95b6ddae821b9e
5	102527	4405	77300	161279	a2e7a54fc01a2432265b4dcff92954e4648e211292c628f3ee7f3ec2e6bc32db	f63af35cb1ba96865ca17ac2ab028c101d43931650b62b251199f4418a731594	797074b8ae3d4a613c83f7d83871e07d1eea740f52c41823c8050d174760e74f
6	102481	4348	76889	160182	164f3902c9813493436b4727ac97fbf6f893370c5e7451d3b8b1b602f7669a2b	ec99920dfe9c0b89ccd17fec9483ea9786500e4d014b83b566ab234f7c172e20	4a4afc06918e1b399697c94f497f102991b81782e9bd1c0fc1e24da889ac7d94
7	102938	5004	88496	184385	866b7fde022fecc973c90ed0e7d8bafa823ff20368cc63d75ba87748e9007b42	3bac9ba83cc9798698fb8427093af6bbcfd4277beab54921354abf316b128263	896ee5a57ec5332094d4f6fb461cd49c28db937ddc4106b9f18f02d1018be1f7
8	102691	3861	67456	134349	69eca4d22e655c063fad2f42b37fbdf6d082f16d319b7ddc29784054392010d4	9e36e7bbe16ee9301e8482f61dadb13579ef5d48402af8d38dc3df5263b693b9	fc97c86ddfe92ce763da41fbaa02301ceda4a8abaae866372bd717f3861f8513
9	102546	4799	86200	187889	ed76f81af10f758bb73be41699708b1ed32c338298aa5f03033c89e8d4439cf3	fdaf87ec7d191165412f9deeec72144e0df45251b949aee6b8deef7ecbf432db	bbe3c91cc1717ceea56d7e9ff480f5e957bc8db6b21fcc2a0730114ad638bc0e
10	102531	4248	75526	154320	a803ad097d40f349fa28789fab3430523b73516ea1bf787b191db15b9d4801f8	c22dd3d07e79398ace270438775be2295675527cccaa2f531b26cd665135c49b	09799e60ed81e4f09be8376bcf366a521b7ee4ad8ad91eae629fbc5ba8194e61
11	102877	2813	48565	95744	7473c7a480b1f5558a43d58bffe0e61fd5246b619890a59fedc51427321ac93c	631a2059956fb909888ef5cf79f364c2ad10f02234a123856235c6a7e2530474	f17ea88cbaf1f960b3bf7d43934f93aa4042347795a5570e7a45c95c68067014
12	102969	4302	75804	163834	e534974833d3d47ccddedeb1e80c85dea39453c2118c9ca800f99ebeba842776	215133781b39f0f86d1daa738d8b209110c194c54a9dd767aab1aafa7af8b204	93052a7ee146cc300629264d452036ae83b48b43a12a8fc4309ff43e439acdb9
13	103186	5561	98600	226818	ec520f1fe18222fc64023d639ea442f1df8fd10e2ca23a85be7ae4a5a1f99966	21b5096b5b5396239acbd4acb0cc750b5fc8f92f2d5ab8cfbbcab8dd339e1fbf	97a5b38fda727c7e04c7fafc92bf748ebdfec9091e20f96d39e02b1ef2ae8a88
14	102875	4762	84002	187889	6087af6acf9097af576d95c3219a14ccba2868d264b2933aa14238ecd300b6e6	38c2f5a82c1a05b549f50aabb2d429d5f0158d4fe838b027298b3306ef17479b	276ce7f6ac3633fbe0e40dc8ba0da048987a9c3215d759aff2f7f117111b907e
15	102774	5259	92624	210999	3d7e6982ddc0e30d63de125d90de6bf2324a5e77bdc7bfa20554a5b64a666180	2d942e7634d8c5e52b8c23d31925489523d08576c86fd7391b4c927029aca535	b929961df1c0718aa67ff88466e44682a0804fa9dd4ce57d811e34cdba80ec13
16	102699	4925	87264	186413	8e1d67691225104e2cf0646beec183aa06f4147c8f70947fbde6093b9230004e	859d5230f1315792db83d8a1f33d60515f7da9ea9a14c3070fd819c9162d5cd4	177369e221b11163df766f8d282888a3dba9b93328137c9fb7c9689d0be692b4
17	103233	4499	79285	172874	b9de955f6a476704f428328d70a39fabf47ea6f97fc9e88ed3d182b9c5bfa133	b6ac4611e8c3c3def3d33479bcf73aadc403d10f1ff6c3c84f8ea5d36578dfdf	d416d2199116d07ab0a487b6fcf936e674d1430dd02812b0aa33922a4259f0fb
18	102954	4801	85301	184022	02c5b1bcc1cbad41d96e0059aabfdc5e94de4126ff4a2cc26946ed9607ac9e0c	df9e6bedfb7ccdd893cbbc7fa8c4d546f65b41a8e6d7dcf36087a81e2ef7208d	181537d8683736f785e0f47f0e3f533843b709268f1d24dd9a3e2b13d3b913c8
19	102821	5052	89396	199972	52323254b1096ab1f9e1dc82a33aa7725f7c513769e4bad5a62c55fbd6f66334	5834719598e0d206d47cfe4a91c1c5e01730375ad1d159a6d663d0a262a92f4e	1bbd51d8554bc1e7506af08649af9f205648b1f53c62481761732e2ed3862e86
20	102778	3518	62002	130053	662370fc0ca46f3aa1a7894d46b05a0e74a7df4bc6943b35e2dc44f505767667	77d52efb0a88208694deae9564750337b0f4d760c5dca6d5c0aea26ac66f3c31	e02c860d09eac7a53eff55b32a7ca81eb17bf432bb7d670c998df08f17053b6d
21	102505	4215	74291	162663	76358d7b9f3eb9d62baa48eff5d3b2117c46f8c742358326ad1ec7ba6b6ba310	a990cda5a12e50cbd9b7ebbfdfe25124ba143bfb7920316da606e9ca16bc7434	62d1316af615c9e07d14eeec1017b07df97ad1f68e26950db2873d554b881810
22	102324	4993	88172	189251	211a0c42bc29d912fb691ab34788b7c3dfdb4e9855de74fb88a7922b996bff00	2460a346a9ec804500e65e00cbda87d651286323f0f0970e860f433a7f6b61ab	e7e9f7f24ac9d4f5a3f9eadcd459d2ba2e4a7ec5e9b98c06f7d6467b1d585fa3
23	102768	3592	62776	121325	a07019a871d1f6b6ab2003469ff2a93780c3bfa121de12b7509759eb04a45c92	4aeab6b31a5e1fa04999fdbd1e38dac667c8a0f41f7dc06c3af014f16d86cfb9	cf5cd72275162be77ad9d53c918d6b34fe9fdf7b81782b58d56bb8cc5760f5ad
24	103030	5074	90300	195630	c40f7d7797fae35b101e2286114ca53dc694ee9361bc6c49c35791a59c889a4b	32ef466be6ac8692df3d6e8227850d2acd23a7529fb892776261a53e4f78ed26	70b3fb3fe059ed3c4dbcad005f55f6b3443b94fa6edc1d8ca979556519ca3213
25	102808	3755	65282	138463	749c1d276707778ac57147859b098514294f9e3588a30d3f39a56ed865021b7f	b6f16e2c8bbbeca53da2e2542180a2aec7b6c17339de3a0ca9e320c7f5637aa2	9ae371fdabc34b4c6b154a83c3736bc76502f48f8e1e6d13676c5813fbb256bd
26	102700	5236	92730	200748	5a6baf2b22ee8c5c76660ed749c6f5614f05ba65ff7729b4e919d7553439e6e9	02206e4f0902a6b30244737a2555426da7a539deeefcbd0a26ec41014714a0b4	5ab0df4cfae2e1e7581b53885e8990160d03429132445603c55fadb1034efc0f
27	102615	4918	86451	197070	3235476afeacac2751337e664aae9733428104cbabde8104b585b01612d10afd	d01af6b7023b8ff3f325d297d85ee9452b6f48dbd4a1804ddd6e245f59c680eb	1023f83501a11554ecda3c283f326353e9d449a910084c082ce64ff01e217bfb
28	102507	4667	81797	173854	d286d255ef3187858f2b6aef231be05721d7bb5f3a79cda8ef72f8da6da72382	e5d5f010006fcfd857a0c8687849bbaae4b135524f5c28298417683aab182a93	8785a1d10015dcef347187c550519adee2362a4c449a9d4e990380e0b1fcb87a
29	102467	4470	78894	166286	b44379422c95a4970fe17a8650cfd26a83c8a235813dc79e2aa7b67fe4580d30	3740bb66dcff521a392d55ee8e7f8e549523c02818f8bbf00064648ecd73ce47	edeb86b374b0b3950ce54c7c4fdfbd9cbde9981b29e708b89015321c7b6365b1
30	102359	4736	83671	175053	9a118899ea3c9a9f9df832525a4efdeab338af5228efb89d89769c40a736c7f9	972474b109327fd84e2f64b189fc808aedf26696683c00e25f1394007c8fabaa	2b7d330c5dadbfee289837811dfc8108cfb68279a3c0b63b0f2212bb525d69dc
31	102396	3320	58088	121107	ba708b0b98c1ffae97809073982348973ff37824fadf0353244b8b9880372ae2	d689fff319e2a94c68c02d8f1341c5481e2e8d45076289ce8f343b74c80e8641	f9888ee447e47ab3c28b797d1578dfe00e78192e680b57973d42ab2c46297c27
32	102626	5272	93580	207490	a6a70c4a3ae88904795334c8c48822b1c4d845aa83687ede3489def64e4e1901	30e8a59db28e97c95ee261f76397f078ced4bf5aec6df17041c09feabb491ae9	cd9143e1e9f4169fbb881820fc8a5168b58f07602c733e70bdc1cc3041afcd7f
