component	complement_component	orientation	catalog_index
0	1	base	0
0	1	base	1
0	1	base	2
0	1	base	3
0	1	base	4
0	1	base	5
0	1	base	6
0	1	base	7
0	1	base	8
0	1	base	9
0	1	base	10
0	1	base	11
0	1	base	12
0	1	base	13
0	1	base	14
0	1	base	15
0	1	base	16
0	1	base	17
0	1	base	18
0	1	base	19
0	1	base	20
0	1	base	21
0	1	base	22
0	1	base	24
0	1	base	25
0	1	base	26
0	1	base	27
0	1	base	28
0	1	base	29
0	1	base	30
0	1	base	31
0	1	base	32
0	1	base	33
0	1	base	34
0	1	base	35
0	1	base	36
0	1	base	37
0	1	base	38
0	1	base	42
0	1	base	43
0	1	base	44
0	1	base	45
0	1	base	46
0	1	base	47
0	1	base	48
0	1	base	49
0	1	base	50
0	1	base	51
0	1	base	52
0	1	base	53
0	1	base	54
0	1	base	55
0	1	base	56
0	1	base	57
0	1	base	58
0	1	base	59
0	1	base	60
0	1	base	61
0	1	base	62
0	1	base	63
0	1	base	64
0	1	base	65
0	1	base	66
0	1	base	67
0	1	base	68
0	1	base	69
0	1	base	70
0	1	base	71
0	1	base	72
0	1	base	73
0	1	base	74
0	1	base	75
0	1	base	76
0	1	base	77
0	1	base	78
0	1	base	79
0	1	base	80
0	1	base	81
0	1	base	82
0	1	base	83
0	1	base	84
0	1	base	85
0	1	base	86
0	1	base	87
0	1	base	88
0	1	base	89
0	1	base	90
0	1	base	91
0	1	base	92
0	1	base	93
0	1	base	94
0	1	base	95
0	1	base	96
0	1	base	97
0	1	base	98
0	1	base	99
0	1	base	100
0	1	base	101
0	1	base	102
0	1	base	103
0	1	base	104
0	1	base	105
0	1	base	106
0	1	base	107
0	1	base	108
0	1	base	109
0	1	base	110
0	1	base	111
0	1	base	112
0	1	base	113
0	1	base	114
0	1	base	115
0	1	base	116
0	1	base	117
0	1	base	118
0	1	base	119
0	1	base	120
0	1	base	121
0	1	base	122
0	1	base	123
0	1	base	124
0	1	base	125
0	1	base	126
0	1	base	127
0	1	base	128
0	1	base	129
0	1	base	130
0	1	base	131
0	1	base	132
0	1	base	133
0	1	base	134
0	1	base	135
0	1	base	136
0	1	base	137
0	1	base	138
0	1	base	139
0	1	base	140
0	1	base	141
0	1	base	142
0	1	base	143
0	1	base	144
0	1	base	145
0	1	base	146
0	1	base	147
0	1	base	148
0	1	base	149
0	1	base	150
0	1	base	151
0	1	base	152
0	1	base	153
0	1	base	154
0	1	base	155
0	1	base	156
0	1	base	157
0	1	base	158
0	1	base	159
0	1	base	160
0	1	base	161
0	1	base	162
0	1	base	163
0	1	base	164
0	1	base	165
0	1	base	166
0	1	base	167
0	1	base	168
0	1	base	169
0	1	base	179
0	1	base	180
0	1	base	181
0	1	base	182
0	1	base	183
0	1	base	184
0	1	base	185
0	1	base	186
0	1	base	187
0	1	base	189
0	1	base	194
0	1	base	195
0	1	base	196
0	1	base	197
0	1	base	198
0	1	base	199
0	1	base	200
0	1	base	201
0	1	base	202
0	1	base	203
0	1	base	204
0	1	base	205
0	1	base	206
0	1	base	207
0	1	base	208
0	1	base	209
0	1	base	210
0	1	base	211
0	1	base	212
0	1	base	213
0	1	base	214
0	1	base	215
0	1	base	216
0	1	base	217
0	1	base	218
0	1	base	219
0	1	base	220
0	1	base	221
0	1	base	222
0	1	base	223
0	1	base	224
0	1	base	226
0	1	base	227
0	1	base	228
0	1	base	229
0	1	base	230
0	1	base	231
0	1	base	232
0	1	base	233
0	1	base	234
0	1	base	235
0	1	base	236
0	1	base	237
0	1	base	238
0	1	base	239
0	1	base	240
0	1	base	241
0	1	base	242
0	1	base	243
0	1	base	244
0	1	base	245
0	1	base	246
0	1	base	247
0	1	base	248
0	1	base	249
0	1	base	250
0	1	base	251
0	1	base	252
0	1	base	257
0	1	base	258
0	1	base	283
0	1	base	284
0	1	base	286
0	1	base	287
0	1	base	295
0	1	base	296
0	1	base	297
0	1	base	298
0	1	base	299
0	1	base	300
0	1	base	301
0	1	base	302
0	1	base	303
0	1	base	304
0	1	base	306
0	1	base	307
0	1	base	308
0	1	base	309
0	1	base	310
0	1	base	311
0	1	base	312
0	1	base	313
0	1	base	314
0	1	base	315
0	1	base	316
0	1	base	317
0	1	base	318
0	1	base	319
0	1	base	320
0	1	base	321
0	1	base	322
0	1	base	323
0	1	base	324
0	1	base	325
0	1	complement	23
0	1	complement	40
1	0	base	23
1	0	base	40
1	0	complement	0
1	0	complement	1
1	0	complement	2
1	0	complement	3
1	0	complement	4
1	0	complement	5
1	0	complement	6
1	0	complement	7
1	0	complement	8
1	0	complement	9
1	0	complement	10
1	0	complement	11
1	0	complement	12
1	0	complement	13
1	0	complement	14
1	0	complement	15
1	0	complement	16
1	0	complement	17
1	0	complement	18
1	0	complement	19
1	0	complement	20
1	0	complement	21
1	0	complement	22
1	0	complement	24
1	0	complement	25
1	0	complement	26
1	0	complement	27
1	0	complement	28
1	0	complement	29
1	0	complement	30
1	0	complement	31
1	0	complement	32
1	0	complement	33
1	0	complement	34
1	0	complement	35
1	0	complement	36
1	0	complement	37
1	0	complement	38
1	0	complement	42
1	0	complement	43
1	0	complement	44
1	0	complement	45
1	0	complement	46
1	0	complement	47
1	0	complement	48
1	0	complement	49
1	0	complement	50
1	0	complement	51
1	0	complement	52
1	0	complement	53
1	0	complement	54
1	0	complement	55
1	0	complement	56
1	0	complement	57
1	0	complement	58
1	0	complement	59
1	0	complement	60
1	0	complement	61
1	0	complement	62
1	0	complement	63
1	0	complement	64
1	0	complement	65
1	0	complement	66
1	0	complement	67
1	0	complement	68
1	0	complement	69
1	0	complement	70
1	0	complement	71
1	0	complement	72
1	0	complement	73
1	0	complement	74
1	0	complement	75
1	0	complement	76
1	0	complement	77
1	0	complement	78
1	0	complement	79
1	0	complement	80
1	0	complement	81
1	0	complement	82
1	0	complement	83
1	0	complement	84
1	0	complement	85
1	0	complement	86
1	0	complement	87
1	0	complement	88
1	0	complement	89
1	0	complement	90
1	0	complement	91
1	0	complement	92
1	0	complement	93
1	0	complement	94
1	0	complement	95
1	0	complement	96
1	0	complement	97
1	0	complement	98
1	0	complement	99
1	0	complement	100
1	0	complement	101
1	0	complement	102
1	0	complement	103
1	0	complement	104
1	0	complement	105
1	0	complement	106
1	0	complement	107
1	0	complement	108
1	0	complement	109
1	0	complement	110
1	0	complement	111
1	0	complement	112
1	0	complement	113
1	0	complement	114
1	0	complement	115
1	0	complement	116
1	0	complement	117
1	0	complement	118
1	0	complement	119
1	0	complement	120
1	0	complement	121
1	0	complement	122
1	0	complement	123
1	0	complement	124
1	0	complement	125
1	0	complement	126
1	0	complement	127
1	0	complement	128
