counts_18_to_24	M	red_mask	orbit_size	kind	payload
0,0,1,42,0,0,0	220	0	1	primal	0:22,1:20
0,0,2,40,1,0,0	220	3	2	primal	0:3,1:9,2:7,5:9,6:12
0,0,2,40,1,0,0	220	7	1	primal	0:6,1:7,2:7,5:9,6:9,7:2
0,0,3,40,0,0,0	219	3	3	primal	1:2,2:12,3:7,4:10,5:9
0,0,3,40,0,0,0	219	7	1	primal	1:4,2:13,3:5,4:9,5:9
0,0,3,38,2,0,0	220	15	3	primal	4:3,5:2,9:2,10:6,14:4,17:2,18:9,21:1,29:9
0,0,3,38,2,0,0	220	31	3	primal	2:2,4:1,10:9,13:5,17:5,20:7,21:2,27:4,30:3
0,0,3,38,2,0,0	220	41	6	primal	2:2,4:2,5:1,6:1,10:5,13:6,17:2,20:9,27:9,30:1
0,0,3,38,2,0,0	220	43	12	primal	4:2,9:3,10:5,11:5,13:2,17:5,19:1,20:8,23:1,30:6
0,0,3,38,2,0,0	220	47	12	primal	0:1,2:3,7:1,9:2,10:5,13:5,17:4,19:1,20:8,27:3,30:5
0,0,3,38,2,0,0	220	58	6	primal	2:2,9:9,10:5,13:1,17:1,19:1,20:9,23:4,27:2,30:4
0,0,3,38,2,0,0	220	59	6	primal	0:2,7:1,9:8,10:5,13:1,19:4,20:8,21:2,27:1,30:6
0,0,3,38,2,0,0	220	63	12	primal	2:3,9:2,10:5,12:2,13:5,17:5,18:2,20:7,23:1,27:3,30:3
0,0,3,38,2,0,0	220	127	3	primal	2:3,9:2,10:5,12:5,13:3,17:5,19:2,20:7,23:1,27:3,30:2
0,0,3,38,2,0,0	220	171	6	primal	2:2,9:3,10:5,11:5,13:2,17:5,20:9,21:1,23:1,30:5
0,0,3,38,2,0,0	220	175	6	primal	4:1,9:1,10:5,12:4,13:2,14:4,17:5,18:1,19:5,20:7,27:3
0,0,3,38,2,0,0	220	185	12	primal	2:2,9:9,10:5,12:1,17:2,20:9,23:5,27:2,30:3
0,0,3,38,2,0,0	220	187	6	primal	9:8,10:5,13:4,18:6,20:9,23:3,27:2,30:1
0,0,3,38,2,0,0	220	191	6	primal	3:3,4:1,9:5,11:2,12:5,14:1,18:8,20:7,27:3,29:3
0,0,3,38,2,0,0	220	207	6	primal	1:1,2:1,9:5,10:9,13:2,19:3,20:9,21:3,23:1,27:1,30:3
0,0,3,38,2,0,0	220	223	6	primal	0:1,2:1,9:5,10:9,13:2,19:3,20:9,21:4,27:2,30:2
0,0,3,38,2,0,0	220	255	6	primal	3:2,9:5,12:8,14:3,17:3,18:5,19:3,20:6,27:3
0,0,3,38,2,0,0	220	511	1	primal	6:2,9:8,10:6,13:3,18:6,20:8,21:3,27:2
0,0,3,38,2,0,0	220	639	3	primal	3:3,9:3,11:2,12:10,15:1,17:5,18:5,19:2,20:4,30:3
0,0,3,38,2,0,0	220	719	6	primal	2:2,9:5,10:9,11:3,17:1,20:9,21:5,23:2,30:2
0,0,3,38,2,0,0	220	735	6	primal	2:3,10:9,12:6,13:1,17:5,19:1,20:4,21:5,23:1,27:3
0,0,3,38,2,0,0	220	767	6	primal	1:1,9:5,10:5,12:7,14:1,18:9,19:1,21:9
0,0,4,38,1,0,0	219	93	12	primal	3:2,4:9,10:4,12:1,13:2,19:1,22:7,25:9,27:3
0,0,4,38,1,0,0	219	95	24	primal	3:2,4:9,8:1,10:4,12:1,13:1,19:1,22:7,25:9,27:3
0,0,4,38,1,0,0	219	126	6	primal	3:2,4:5,8:9,10:2,22:5,23:8,25:7
0,0,4,38,1,0,0	219	127	6	primal	3:2,4:9,8:5,10:2,22:6,23:3,25:8,27:3
0,0,4,38,1,0,0	219	219	12	primal	1:2,4:9,8:1,10:6,22:5,23:3,25:9,27:3
0,0,4,38,1,0,0	219	221	12	primal	3:3,4:8,7:1,8:3,10:2,13:1,22:8,25:9,27:3
0,0,4,38,1,0,0	219	223	24	primal	4:1,5:5,8:9,10:3,19:3,22:9,23:2,25:6
0,0,4,38,1,0,0	219	254	6	primal	3:3,4:2,5:3,8:9,10:1,19:1,22:9,23:3,25:7
0,0,4,38,1,0,0	219	255	6	primal	2:1,4:8,6:5,8:4,19:3,21:1,23:3,25:9,26:4
0,0,4,38,1,0,0	219	351	12	primal	2:4,4:3,6:5,9:3,12:4,19:2,21:2,22:3,25:9,26:3
