counts_18_to_24	M	input_cores	orbits	primal_cores	dual_cores	removed_splits
0,0,1,42,0,0,0	220	1	1	1	0	0
0,0,2,40,1,0,0	220	3	2	3	0	0
0,0,3,40,0,0,0	219	4	2	4	0	0
0,0,3,38,2,0,0	220	139	22	139	0	0
0,0,4,38,1,0,0	219	169	16	169	0	0
0,0,4,37,1,1,0	220	242	20	242	0	0
0,0,5,38,0,0,0	218	252	10	252	0	0
0,0,5,37,0,1,0	219	150	5	150	0	0
0,1,2,39,1,0,0	219	2	2	2	0	0
0,1,2,37,3,0,0	220	357	50	357	0	0
0,1,3,39,0,0,0	218	8	4	7	1	0
0,1,3,37,2,0,0	219	590	75	590	0	0
0,1,4,37,1,0,0	218	1056	80	1052	4	0
0,1,5,37,0,0,0	217	1782	35	1777	5	0
0,2,1,40,0,0,0	218	1	1	0	1	1
0,2,1,38,2,0,0	219	10	4	8	2	0
0,2,2,38,1,0,0	218	26	9	10	16	0
0,2,3,38,0,0,0	217	43	6	37	6	0
0,3,0,39,1,0,0	218	3	1	0	3	1
1,0,2,38,2,0,0	219	16	6	0	16	3
1,0,3,38,1,0,0	218	39	13	0	39	3
1,0,4,38,0,0,0	217	38	6	0	38	2
1,1,0,39,2,0,0	219	2	1	0	2	2
1,1,1,39,1,0,0	218	2	2	0	2	3
1,1,2,39,0,0,0	217	2	1	0	2	2
