index	toggles	red_defects	blue_defects	support_edges	proof_assignments	core_clauses	status
0	14	10	2	78	78	79	UP_UNSAT
1	15	8	4	84	84	85	UP_UNSAT
2	15	8	4	84	84	85	UP_UNSAT
3	14	10	2	78	75	76	UP_UNSAT
4	15	8	4	84	81	82	UP_UNSAT
5	15	8	4	84	81	82	UP_UNSAT
6	13	12	0	72	68	69	UP_UNSAT
7	14	10	2	78	74	75	UP_UNSAT
8	14	10	2	78	74	75	UP_UNSAT
9	14	10	2	72	70	71	UP_UNSAT
10	15	10	2	66	64	65	UP_UNSAT
11	16	10	2	66	64	65	UP_UNSAT
12	14	8	4	84	74	75	UP_UNSAT
13	13	8	4	90	81	82	UP_UNSAT
14	14	8	4	84	77	78	UP_UNSAT
15	15	6	6	84	79	80	UP_UNSAT
16	13	8	4	84	79	80	UP_UNSAT
17	14	6	6	84	82	83	UP_UNSAT
18	13	8	4	78	76	77	UP_UNSAT
19	14	6	6	84	82	83	UP_UNSAT
20	13	8	4	84	80	81	UP_UNSAT
21	14	6	6	84	79	80	UP_UNSAT
22	14	6	6	84	82	83	UP_UNSAT
23	13	10	2	78	72	73	UP_UNSAT
24	14	8	4	78	74	75	UP_UNSAT
25	13	10	2	84	77	78	UP_UNSAT
26	13	8	4	90	86	87	UP_UNSAT
27	14	10	2	78	71	72	UP_UNSAT
28	14	10	2	78	71	72	UP_UNSAT
29	14	8	4	84	83	84	UP_UNSAT
30	15	10	2	78	71	72	UP_UNSAT
31	13	10	2	78	72	73	UP_UNSAT
32	14	8	4	78	67	68	UP_UNSAT
33	13	12	0	72	66	67	UP_UNSAT
34	14	12	0	72	66	67	UP_UNSAT
35	13	12	0	66	60	61	UP_UNSAT
36	14	10	2	72	62	63	UP_UNSAT
37	14	8	4	78	70	71	UP_UNSAT
38	14	10	2	72	61	62	UP_UNSAT
39	13	6	6	84	79	80	UP_UNSAT
40	14	8	4	90	84	85	UP_UNSAT
41	15	8	4	84	79	80	UP_UNSAT
42	14	8	4	84	79	80	UP_UNSAT
43	14	8	4	84	80	81	UP_UNSAT
44	14	8	4	90	84	85	UP_UNSAT
45	15	6	6	90	85	86	UP_UNSAT
46	15	6	6	90	86	87	UP_UNSAT
47	14	8	4	90	84	85	UP_UNSAT
48	15	8	4	84	80	81	UP_UNSAT
49	13	12	0	78	71	72	UP_UNSAT
50	14	10	2	78	78	79	UP_UNSAT
51	14	12	0	60	56	57	UP_UNSAT
52	15	12	0	60	56	57	UP_UNSAT
53	14	8	4	78	76	77	UP_UNSAT
54	14	10	2	78	73	74	UP_UNSAT
55	15	10	2	78	70	71	UP_UNSAT
56	14	10	2	78	67	68	UP_UNSAT
57	14	10	2	72	63	64	UP_UNSAT
58	15	8	4	78	65	66	UP_UNSAT
59	14	8	4	84	73	74	UP_UNSAT
60	14	8	4	84	79	80	UP_UNSAT
61	15	8	4	84	80	81	UP_UNSAT
62	14	10	2	72	65	66	UP_UNSAT
63	14	8	4	84	77	78	UP_UNSAT
64	14	10	2	78	74	75	UP_UNSAT
65	13	10	2	84	80	81	UP_UNSAT
66	14	8	4	90	86	87	UP_UNSAT
67	14	8	4	90	86	87	UP_UNSAT
68	14	10	2	78	73	74	UP_UNSAT
69	15	8	4	84	81	82	UP_UNSAT
70	15	8	4	84	77	78	UP_UNSAT
71	15	10	2	78	73	74	UP_UNSAT
72	14	10	2	72	69	70	UP_UNSAT
73	14	8	4	84	81	82	UP_UNSAT
74	14	8	4	84	76	77	UP_UNSAT
75	14	12	0	60	57	58	UP_UNSAT
76	15	12	0	60	57	58	UP_UNSAT
77	13	12	0	66	61	62	UP_UNSAT
78	14	10	2	72	70	71	UP_UNSAT
79	14	10	2	72	64	65	UP_UNSAT
80	15	12	0	60	57	58	UP_UNSAT
81	16	12	0	60	57	58	UP_UNSAT
82	15	12	0	66	62	63	UP_UNSAT
83	14	12	0	60	56	57	UP_UNSAT
84	15	10	2	66	61	62	UP_UNSAT
85	14	10	2	78	72	73	UP_UNSAT
86	14	8	4	84	82	83	UP_UNSAT
87	15	8	4	84	79	80	UP_UNSAT
88	15	6	6	90	86	87	UP_UNSAT
89	14	10	2	78	72	73	UP_UNSAT
90	14	10	2	72	69	70	UP_UNSAT
91	15	8	4	78	74	75	UP_UNSAT
92	14	8	4	90	87	88	UP_UNSAT
93	14	8	4	84	83	84	UP_UNSAT
94	15	6	6	90	87	88	UP_UNSAT
95	15	12	0	60	56	57	UP_UNSAT
96	15	12	0	66	62	63	UP_UNSAT
97	16	12	0	66	62	63	UP_UNSAT
98	16	12	0	66	62	63	UP_UNSAT
99	15	12	0	60	56	57	UP_UNSAT
100	16	12	0	60	56	57	UP_UNSAT
101	15	8	4	78	74	75	UP_UNSAT
102	15	10	2	66	60	61	UP_UNSAT
103	15	10	2	78	78	79	UP_UNSAT
104	13	6	6	84	84	85	UP_UNSAT
105	13	8	4	84	81	82	UP_UNSAT
106	13	8	4	78	72	73	UP_UNSAT
107	15	8	4	78	74	75	UP_UNSAT
108	15	6	6	84	81	82	UP_UNSAT
109	14	8	4	78	70	71	UP_UNSAT
110	15	10	2	66	65	66	UP_UNSAT
111	13	8	4	84	77	78	UP_UNSAT
112	14	6	6	84	77	78	UP_UNSAT
113	13	12	0	78	75	76	UP_UNSAT
114	14	12	0	78	75	76	UP_UNSAT
115	14	10	2	78	76	77	UP_UNSAT
116	15	10	2	78	76	77	UP_UNSAT
117	15	8	4	78	77	78	UP_UNSAT
118	16	10	2	66	65	66	UP_UNSAT
119	14	8	4	78	72	73	UP_UNSAT
120	14	8	4	78	72	73	UP_UNSAT
121	15	8	4	78	72	73	UP_UNSAT
122	14	6	6	84	81	82	UP_UNSAT
123	14	6	6	84	75	76	UP_UNSAT
124	14	6	6	84	75	76	UP_UNSAT
