source	step	kind	edge_index	value	v0	v1	v2	v3	v4
0	0	ASSIGN	0	1	0	1	4	38	39
0	1	ASSIGN	19	1	0	3	9	20	35
0	2	ASSIGN	143	1	0	3	9	24	35
0	3	ASSIGN	21	1	0	3	11	22	37
0	4	ASSIGN	181	1	0	4	9	15	24
0	5	ASSIGN	20	1	0	4	15	21	32
0	6	ASSIGN	41	1	0	4	38	39	42
0	7	ASSIGN	427	1	0	6	11	15	32
0	8	ASSIGN	429	1	0	6	11	15	34
0	9	ASSIGN	849	1	0	6	15	32	34
0	10	ASSIGN	680	0	0	7	14	21	30
0	11	ASSIGN	753	0	0	7	25	27	29
0	12	ASSIGN	679	0	0	21	29	31	41
0	13	ASSIGN	867	1	0	34	35	38	39
0	14	ASSIGN	42	1	1	2	5	6	10
0	15	ASSIGN	43	1	1	3	6	9	12
0	16	ASSIGN	770	0	1	3	26	28	30
0	17	ASSIGN	828	0	1	3	30	32	34
0	18	ASSIGN	376	1	1	4	7	10	12
0	19	ASSIGN	82	1	1	4	7	10	42
0	20	ASSIGN	61	1	1	4	10	21	36
0	21	ASSIGN	182	1	1	4	10	25	36
0	22	ASSIGN	63	1	1	4	12	23	38
0	23	ASSIGN	342	1	1	5	6	9	10
0	24	ASSIGN	64	1	1	5	9	20	24
0	25	ASSIGN	397	1	1	5	10	16	33
0	26	ASSIGN	62	1	1	5	16	22	33
0	27	ASSIGN	458	1	1	7	12	16	33
0	28	ASSIGN	460	1	1	7	12	16	35
0	29	ASSIGN	859	1	1	7	16	33	35
0	30	ASSIGN	676	0	1	8	21	26	28
0	31	ASSIGN	774	0	1	14	24	26	34
0	32	ASSIGN	83	1	2	3	6	40	41
0	33	ASSIGN	84	1	2	4	7	10	13
0	34	ASSIGN	375	1	2	5	6	10	11
0	35	ASSIGN	309	1	2	5	8	10	13
0	36	ASSIGN	408	1	2	5	8	11	13
0	37	ASSIGN	104	1	2	5	13	24	39
0	38	ASSIGN	394	1	2	6	10	21	30
0	39	ASSIGN	103	1	2	6	17	23	34
0	40	ASSIGN	329	1	2	8	11	19	30
0	41	ASSIGN	488	1	2	8	13	17	34
0	42	ASSIGN	105	1	2	8	17	25	36
0	43	ASSIGN	692	1	2	10	21	36	42
0	44	ASSIGN	123	1	3	4	7	41	42
0	45	ASSIGN	142	1	3	6	12	23	38
0	46	ASSIGN	144	1	3	6	14	25	40
0	47	ASSIGN	712	1	3	7	18	22	42
0	48	ASSIGN	330	1	3	8	12	27	31
0	49	ASSIGN	363	1	3	9	12	20	31
0	50	ASSIGN	651	1	3	11	14	20	22
0	51	ASSIGN	671	1	3	14	20	31	42
0	52	ASSIGN	758	0	4	5	18	25	34
0	53	ASSIGN	750	0	4	5	25	26	27
0	54	ASSIGN	769	0	4	6	16	26	29
0	55	ASSIGN	457	1	4	8	12	23	32
0	56	ASSIGN	362	1	4	9	13	30	41
0	57	ASSIGN	396	1	4	10	13	21	32
0	58	ASSIGN	816	0	4	11	27	29	34
0	59	ASSIGN	754	0	5	7	25	30	32
0	60	ASSIGN	308	1	5	8	9	13	14
0	61	ASSIGN	487	1	5	9	13	14	33
0	62	ASSIGN	395	1	5	10	14	31	42
0	63	ASSIGN	428	1	5	11	14	22	33
0	64	ASSIGN	459	1	6	12	15	23	34
0	65	ASSIGN	714	1	6	14	17	23	25
0	66	ASSIGN	812	0	7	8	9	29	30
0	67	ASSIGN	675	0	7	9	21	23	25
0	68	ASSIGN	407	1	7	11	12	15	16
0	69	ASSIGN	489	1	7	13	16	24	35
0	70	ASSIGN	825	0	8	9	10	30	31
0	71	ASSIGN	438	1	8	12	13	16	17
0	72	ASSIGN	848	0	10	11	12	32	33
0	73	ASSIGN	858	0	11	12	13	33	34
0	74	ASSIGN	650	1	12	15	16	20	21
0	75	ASSIGN	672	1	13	16	17	21	22
0	76	ASSIGN	713	1	20	23	24	28	29
0	77	ASSIGN	732	1	20	24	25	28	29
0	78	CONFLICT	-1	-1	21	25	26	29	30
1	0	ASSIGN	0	1	0	1	4	38	39
1	1	ASSIGN	815	0	0	2	29	31	33
1	2	ASSIGN	19	1	0	3	9	20	35
1	3	ASSIGN	143	1	0	3	9	24	35
1	4	ASSIGN	21	1	0	3	11	22	37
1	5	ASSIGN	181	1	0	4	9	15	24
1	6	ASSIGN	20	1	0	4	15	21	32
1	7	ASSIGN	41	1	0	4	38	39	42
1	8	ASSIGN	429	1	0	6	11	15	34
1	9	ASSIGN	680	0	0	7	14	21	30
1	10	ASSIGN	753	0	0	7	25	27	29
1	11	ASSIGN	679	0	0	21	29	31	41
1	12	ASSIGN	867	1	0	34	35	38	39
1	13	ASSIGN	42	1	1	2	5	6	10
1	14	ASSIGN	43	1	1	3	6	9	12
1	15	ASSIGN	770	0	1	3	26	28	30
1	16	ASSIGN	801	0	1	3	28	30	32
1	17	ASSIGN	828	0	1	3	30	32	34
1	18	ASSIGN	82	1	1	4	7	10	42
1	19	ASSIGN	61	1	1	4	10	21	36
1	20	ASSIGN	182	1	1	4	10	25	36
1	21	ASSIGN	63	1	1	4	12	23	38
1	22	ASSIGN	342	1	1	5	6	9	10
1	23	ASSIGN	64	1	1	5	9	20	24
1	24	ASSIGN	62	1	1	5	16	22	33
1	25	ASSIGN	458	1	1	7	12	16	33
1	26	ASSIGN	460	1	1	7	12	16	35
1	27	ASSIGN	859	1	1	7	16	33	35
1	28	ASSIGN	806	0	1	8	15	28	37
1	29	ASSIGN	676	0	1	8	21	26	28
1	30	ASSIGN	735	0	1	8	24	26	28
1	31	ASSIGN	739	0	1	11	24	32	34
1	32	ASSIGN	774	0	1	14	24	26	34
1	33	ASSIGN	852	0	1	14	30	32	37
1	34	ASSIGN	83	1	2	3	6	40	41
1	35	ASSIGN	84	1	2	4	7	10	13
1	36	ASSIGN	309	1	2	5	8	10	13
1	37	ASSIGN	408	1	2	5	8	11	13
1	38	ASSIGN	104	1	2	5	13	24	39
1	39	ASSIGN	394	1	2	6	10	21	30
1	40	ASSIGN	103	1	2	6	17	23	34
1	41	ASSIGN	329	1	2	8	11	19	30
1	42	ASSIGN	488	1	2	8	13	17	34
1	43	ASSIGN	105	1	2	8	17	25	36
1	44	ASSIGN	814	0	2	9	16	29	32
1	45	ASSIGN	692	1	2	10	21	36	42
1	46	ASSIGN	123	1	3	4	7	41	42
1	47	ASSIGN	740	0	3	4	17	24	33
1	48	ASSIGN	142	1	3	6	12	23	38
1	49	ASSIGN	144	1	3	6	14	25	40
1	50	ASSIGN	712	1	3	7	18	22	42
1	51	ASSIGN	330	1	3	8	12	27	31
1	52	ASSIGN	363	1	3	9	12	20	31
1	53	ASSIGN	802	0	3	10	26	28	33
1	54	ASSIGN	651	1	3	11	14	20	22
1	55	ASSIGN	671	1	3	14	20	31	42
1	56	ASSIGN	758	0	4	5	18	25	34
1	57	ASSIGN	750	0	4	5	25	26	27
1	58	ASSIGN	769	0	4	6	16	26	29
1	59	ASSIGN	819	0	4	6	16	29	37
1	60	ASSIGN	736	0	4	6	22	24	29
1	61	ASSIGN	861	0	4	6	33	35	37
1	62	ASSIGN	362	1	4	9	13	30	41
1	63	ASSIGN	816	0	4	11	27	29	34
1	64	ASSIGN	754	0	5	7	25	30	32
1	65	ASSIGN	308	1	5	8	9	13	14
1	66	ASSIGN	487	1	5	9	13	14	33
1	67	ASSIGN	395	1	5	10	14	31	42
1	68	ASSIGN	428	1	5	11	14	22	33
1	69	ASSIGN	798	0	6	7	8	28	29
1	70	ASSIGN	459	1	6	12	15	23	34
1	71	ASSIGN	714	1	6	14	17	23	25
1	72	ASSIGN	812	0	7	8	9	29	30
1	73	ASSIGN	675	0	7	9	21	23	25
1	74	ASSIGN	407	1	7	11	12	15	16
1	75	ASSIGN	489	1	7	13	16	24	35
1	76	ASSIGN	825	0	8	9	10	30	31
1	77	ASSIGN	438	1	8	12	13	16	17
1	78	ASSIGN	848	0	10	11	12	32	33
1	79	ASSIGN	858	0	11	12	13	33	34
1	80	ASSIGN	650	1	12	15	16	20	21
1	81	ASSIGN	672	1	13	16	17	21	22
1	82	ASSIGN	713	1	20	23	24	28	29
1	83	ASSIGN	732	1	20	24	25	28	29
1	84	CONFLICT	-1	-1	21	25	26	29	30
2	0	ASSIGN	0	1	0	1	4	38	39
2	1	ASSIGN	718	0	0	2	16	23	29
2	2	ASSIGN	19	1	0	3	9	20	35
2	3	ASSIGN	143	1	0	3	9	24	35
2	4	ASSIGN	21	1	0	3	11	22	37
2	5	ASSIGN	181	1	0	4	9	15	24
2	6	ASSIGN	20	1	0	4	15	21	32
2	7	ASSIGN	41	1	0	4	38	39	42
2	8	ASSIGN	427	1	0	6	11	15	32
2	9	ASSIGN	429	1	0	6	11	15	34
2	10	ASSIGN	849	1	0	6	15	32	34
2	11	ASSIGN	680	0	0	7	14	21	30
2	12	ASSIGN	652	0	0	7	20	23	30
2	13	ASSIGN	658	0	0	7	20	27	29
2	14	ASSIGN	675	0	0	7	21	23	25
2	15	ASSIGN	754	0	0	7	23	25	30
2	16	ASSIGN	753	0	0	7	25	27	29
2	17	ASSIGN	679	0	0	21	29	31	41
2	18	ASSIGN	867	1	0	34	35	38	39
2	19	ASSIGN	717	0	1	3	23	28	30
2	20	ASSIGN	721	0	1	3	23	30	32
2	21	ASSIGN	735	0	1	3	24	26	28
2	22	ASSIGN	774	0	1	3	24	26	34
2	23	ASSIGN	739	0	1	3	24	32	34
2	24	ASSIGN	770	0	1	3	26	28	30
2	25	ASSIGN	801	0	1	3	28	30	32
2	26	ASSIGN	828	0	1	3	30	32	34
2	27	ASSIGN	376	1	1	4	7	10	12
2	28	ASSIGN	82	1	1	4	7	10	42
2	29	ASSIGN	61	1	1	4	10	21	36
2	30	ASSIGN	182	1	1	4	10	25	36
2	31	ASSIGN	342	1	1	5	6	9	10
2	32	ASSIGN	397	1	1	5	10	16	33
2	33	ASSIGN	62	1	1	5	16	22	33
2	34	ASSIGN	458	1	1	7	12	16	33
2	35	ASSIGN	460	1	1	7	12	16	35
2	36	ASSIGN	859	1	1	7	16	33	35
2	37	ASSIGN	676	0	1	8	21	26	28
2	38	ASSIGN	83	1	2	3	6	40	41
2	39	ASSIGN	84	1	2	4	7	10	13
2	40	ASSIGN	375	1	2	5	6	10	11
2	41	ASSIGN	309	1	2	5	8	10	13
2	42	ASSIGN	408	1	2	5	8	11	13
2	43	ASSIGN	104	1	2	5	13	24	39
2	44	ASSIGN	105	1	2	6	10	21	25
2	45	ASSIGN	394	1	2	6	10	21	30
2	46	ASSIGN	329	1	2	8	11	19	30
2	47	ASSIGN	488	1	2	8	13	17	34
2	48	ASSIGN	814	0	2	9	16	29	32
2	49	ASSIGN	692	1	2	10	21	36	42
2	50	ASSIGN	123	1	3	4	7	41	42
2	51	ASSIGN	144	1	3	6	14	25	40
2	52	ASSIGN	712	1	3	7	18	22	42
2	53	ASSIGN	330	1	3	8	12	27	31
2	54	ASSIGN	363	1	3	9	12	20	31
2	55	ASSIGN	651	1	3	11	14	20	22
2	56	ASSIGN	671	1	3	14	20	31	42
2	57	ASSIGN	758	0	4	5	18	25	34
2	58	ASSIGN	750	0	4	5	25	26	27
2	59	ASSIGN	769	0	4	6	16	26	29
2	60	ASSIGN	653	0	4	6	20	22	24
2	61	ASSIGN	736	0	4	6	22	24	29
2	62	ASSIGN	457	1	4	8	12	23	32
2	63	ASSIGN	362	1	4	9	13	30	41
2	64	ASSIGN	396	1	4	10	13	21	32
2	65	ASSIGN	816	0	4	11	27	29	34
2	66	ASSIGN	308	1	5	8	9	13	14
2	67	ASSIGN	487	1	5	9	13	14	33
2	68	ASSIGN	395	1	5	10	14	31	42
2	69	ASSIGN	428	1	5	11	14	22	33
2	70	ASSIGN	657	0	6	7	8	20	28
2	71	ASSIGN	798	0	6	7	8	28	29
2	72	ASSIGN	459	1	6	12	15	23	34
2	73	ASSIGN	812	0	7	8	9	29	30
2	74	ASSIGN	407	1	7	11	12	15	16
2	75	ASSIGN	489	1	7	13	16	24	35
2	76	ASSIGN	825	0	8	9	10	30	31
2	77	ASSIGN	438	1	8	12	13	16	17
2	78	ASSIGN	848	0	10	11	12	32	33
2	79	ASSIGN	858	0	11	12	13	33	34
2	80	ASSIGN	650	1	12	15	16	20	21
2	81	ASSIGN	672	1	13	16	17	21	22
2	82	ASSIGN	713	1	20	23	24	28	29
2	83	ASSIGN	732	1	20	24	25	28	29
2	84	CONFLICT	-1	-1	21	25	26	29	30
3	0	ASSIGN	0	1	0	1	4	38	39
3	1	ASSIGN	753	0	0	2	25	27	29
3	2	ASSIGN	40	1	0	3	6	9	41
3	3	ASSIGN	19	1	0	3	9	20	35
3	4	ASSIGN	143	1	0	3	9	24	35
3	5	ASSIGN	21	1	0	3	11	22	37
3	6	ASSIGN	41	1	0	3	37	38	42
3	7	ASSIGN	20	1	0	4	15	21	32
3	8	ASSIGN	427	1	0	6	11	15	32
3	9	ASSIGN	429	1	0	6	11	15	34
3	10	ASSIGN	849	1	0	6	15	32	34
3	11	ASSIGN	654	0	0	7	20	25	27
3	12	ASSIGN	658	0	0	13	20	27	29
3	13	ASSIGN	757	0	0	13	23	25	33
3	14	ASSIGN	42	1	1	2	5	6	10
3	15	ASSIGN	43	1	1	3	6	9	12
3	16	ASSIGN	274	1	1	4	7	9	12
3	17	ASSIGN	376	1	1	4	7	10	12
3	18	ASSIGN	82	1	1	4	7	10	42
3	19	ASSIGN	61	1	1	4	10	21	36
3	20	ASSIGN	63	1	1	4	12	23	38
3	21	ASSIGN	342	1	1	5	6	9	10
3	22	ASSIGN	361	1	1	5	9	20	29
3	23	ASSIGN	397	1	1	5	10	16	33
3	24	ASSIGN	62	1	1	5	16	22	33
3	25	ASSIGN	294	1	1	7	10	18	29
3	26	ASSIGN	458	1	1	7	12	16	33
3	27	ASSIGN	64	1	1	7	16	24	35
3	28	ASSIGN	735	0	1	8	24	26	28
3	29	ASSIGN	670	1	1	9	20	35	41
3	30	ASSIGN	83	1	2	3	6	40	41
3	31	ASSIGN	375	1	2	5	6	10	11
3	32	ASSIGN	309	1	2	5	8	10	13
3	33	ASSIGN	104	1	2	5	13	24	39
3	34	ASSIGN	394	1	2	6	10	21	30
3	35	ASSIGN	691	1	2	6	17	21	41
3	36	ASSIGN	103	1	2	6	17	23	34
3	37	ASSIGN	295	1	2	7	11	26	30
3	38	ASSIGN	329	1	2	8	11	19	30
3	39	ASSIGN	649	1	2	8	19	34	42
3	40	ASSIGN	628	1	2	10	13	19	21
3	41	ASSIGN	692	1	2	10	21	36	42
3	42	ASSIGN	648	1	2	13	19	30	41
3	43	ASSIGN	740	0	3	4	17	24	33
3	44	ASSIGN	752	0	3	5	15	25	28
3	45	ASSIGN	142	1	3	6	12	23	38
3	46	ASSIGN	712	1	3	7	18	22	42
3	47	ASSIGN	330	1	3	8	12	27	31
3	48	ASSIGN	328	1	3	8	12	29	40
3	49	ASSIGN	363	1	3	9	12	20	31
3	50	ASSIGN	802	0	3	10	26	28	33
3	51	ASSIGN	651	1	3	11	14	20	22
3	52	ASSIGN	813	1	3	12	20	29	31
3	53	ASSIGN	671	1	3	14	20	31	42
3	54	ASSIGN	902	1	3	37	38	41	42
3	55	ASSIGN	653	0	4	6	20	22	24
3	56	ASSIGN	736	0	4	6	22	24	29
3	57	ASSIGN	815	0	4	6	29	31	33
3	58	ASSIGN	273	1	4	7	8	12	13
3	59	ASSIGN	308	1	4	8	9	12	13
3	60	ASSIGN	457	1	4	8	12	13	32
3	61	ASSIGN	362	1	4	9	13	30	41
3	62	ASSIGN	396	1	4	10	13	21	32
3	63	ASSIGN	395	1	5	10	14	31	42
3	64	ASSIGN	428	1	5	11	14	22	33
3	65	ASSIGN	657	0	6	7	8	20	28
3	66	ASSIGN	798	0	6	7	8	28	29
3	67	ASSIGN	459	1	6	12	15	23	34
3	68	ASSIGN	812	0	7	8	9	29	30
3	69	ASSIGN	407	1	7	11	12	15	16
3	70	ASSIGN	825	0	8	9	10	30	31
3	71	ASSIGN	848	0	10	11	12	32	33
3	72	ASSIGN	627	1	11	14	15	19	20
3	73	ASSIGN	650	1	12	15	16	20	21
3	74	ASSIGN	672	1	17	21	22	25	26
3	75	CONFLICT	-1	-1	19	20	21	41	42
4	0	ASSIGN	0	1	0	1	4	38	39
4	1	ASSIGN	755	0	0	2	18	25	31
4	2	ASSIGN	753	0	0	2	25	27	29
4	3	ASSIGN	815	0	0	2	29	31	33
4	4	ASSIGN	40	1	0	3	6	9	41
4	5	ASSIGN	19	1	0	3	9	20	35
4	6	ASSIGN	143	1	0	3	9	24	35
4	7	ASSIGN	21	1	0	3	11	22	37
4	8	ASSIGN	41	1	0	3	37	38	42
4	9	ASSIGN	20	1	0	4	15	21	32
4	10	ASSIGN	427	1	0	6	11	15	32
4	11	ASSIGN	429	1	0	6	11	15	34
4	12	ASSIGN	849	1	0	6	15	32	34
4	13	ASSIGN	654	0	0	7	20	25	27
4	14	ASSIGN	658	0	0	13	20	27	29
4	15	ASSIGN	757	0	0	13	23	25	33
4	16	ASSIGN	42	1	1	2	5	6	10
4	17	ASSIGN	43	1	1	3	6	9	12
4	18	ASSIGN	774	0	1	3	13	26	34
4	19	ASSIGN	770	0	1	3	26	28	30
