index	toggles	defects	red_defects	blue_defects	support_edges
0	14	12	10	2	78
1	15	12	8	4	84
2	15	12	8	4	84
3	14	12	10	2	78
4	15	12	8	4	84
5	15	12	8	4	84
6	13	12	12	0	72
7	14	12	10	2	78
8	14	12	10	2	78
9	14	12	10	2	72
10	15	12	10	2	66
11	16	12	10	2	66
12	14	12	8	4	84
13	13	12	8	4	90
14	14	12	8	4	84
15	15	12	6	6	84
16	13	12	8	4	84
17	14	12	6	6	84
18	13	12	8	4	78
19	14	12	6	6	84
20	13	12	8	4	84
21	14	12	6	6	84
22	14	12	6	6	84
23	13	12	10	2	78
24	14	12	8	4	78
25	13	12	10	2	84
26	13	12	8	4	90
27	14	12	10	2	78
28	14	12	10	2	78
29	14	12	8	4	84
30	15	12	10	2	78
31	13	12	10	2	78
32	14	12	8	4	78
33	13	12	12	0	72
34	14	12	12	0	72
35	13	12	12	0	66
36	14	12	10	2	72
37	14	12	8	4	78
38	14	12	10	2	72
39	13	12	6	6	84
40	14	12	8	4	90
41	15	12	8	4	84
42	14	12	8	4	84
43	14	12	8	4	84
44	14	12	8	4	90
45	15	12	6	6	90
46	15	12	6	6	90
47	14	12	8	4	90
48	15	12	8	4	84
49	13	12	12	0	78
50	14	12	10	2	78
51	14	12	12	0	60
52	15	12	12	0	60
53	14	12	8	4	78
54	14	12	10	2	78
55	15	12	10	2	78
56	14	12	10	2	78
57	14	12	10	2	72
58	15	12	8	4	78
59	14	12	8	4	84
60	14	12	8	4	84
61	15	12	8	4	84
62	14	12	10	2	72
63	14	12	8	4	84
64	14	12	10	2	78
65	13	12	10	2	84
66	14	12	8	4	90
67	14	12	8	4	90
68	14	12	10	2	78
69	15	12	8	4	84
70	15	12	8	4	84
71	15	12	10	2	78
72	14	12	10	2	72
73	14	12	8	4	84
74	14	12	8	4	84
75	14	12	12	0	60
76	15	12	12	0	60
77	13	12	12	0	66
78	14	12	10	2	72
79	14	12	10	2	72
80	15	12	12	0	60
81	16	12	12	0	60
82	15	12	12	0	66
83	14	12	12	0	60
84	15	12	10	2	66
85	14	12	10	2	78
86	14	12	8	4	84
87	15	12	8	4	84
88	15	12	6	6	90
89	14	12	10	2	78
90	14	12	10	2	72
91	15	12	8	4	78
92	14	12	8	4	90
93	14	12	8	4	84
94	15	12	6	6	90
95	15	12	12	0	60
96	15	12	12	0	66
97	16	12	12	0	66
98	16	12	12	0	66
99	15	12	12	0	60
100	16	12	12	0	60
101	15	12	8	4	78
102	15	12	10	2	66
103	15	12	10	2	78
104	13	12	6	6	84
105	13	12	8	4	84
106	13	12	8	4	78
107	15	12	8	4	78
108	15	12	6	6	84
109	14	12	8	4	78
110	15	12	10	2	66
111	13	12	8	4	84
112	14	12	6	6	84
113	13	12	12	0	78
114	14	12	12	0	78
115	14	12	10	2	78
116	15	12	10	2	78
117	15	12	8	4	78
118	16	12	10	2	66
119	14	12	8	4	78
120	14	12	8	4	78
121	15	12	8	4	78
122	14	12	6	6	84
123	14	12	6	6	84
124	14	12	6	6	84
125	14	12	8	4	78
126	15	12	12	0	66
127	16	12	12	0	66
128	14	12	10	2	78
129	15	12	8	4	78
130	15	12	12	0	60
131	16	12	12	0	60
132	14	12	10	2	78
133	15	12	10	2	78
134	15	12	10	2	66
135	14	12	8	4	78
136	14	12	12	0	78
137	15	12	10	2	78
138	14	12	12	0	72
139	15	12	8	4	78
140	15	12	10	2	78
141	16	12	12	0	66
142	17	12	12	0	66
143	15	12	10	2	66
144	14	12	10	2	72
145	15	12	8	4	78
146	15	12	8	4	78
147	14	12	8	4	78
148	14	12	4	8	90
149	13	12	12	0	60
150	14	12	10	2	66
151	14	12	10	2	66
152	15	12	8	4	72
153	14	12	12	0	78
154	15	12	12	0	78
155	14	12	12	0	78
156	15	12	12	0	78
157	15	12	12	0	78
158	14	12	4	8	84
159	14	12	4	8	90
160	13	12	6	6	90
161	13	12	8	4	84
162	14	12	4	8	90
163	14	12	6	6	84
164	14	12	6	6	84
165	16	12	6	6	91
166	16	12	8	4	89
167	17	12	4	8	88
168	14	12	6	6	84
169	15	12	4	8	84
170	13	12	8	4	84
171	14	12	6	6	84
172	14	12	6	6	84
173	13	12	6	6	90
174	14	12	4	8	90
175	14	12	4	8	84
176	14	12	4	8	90
177	14	12	4	8	90
178	20	12	6	6	77
179	21	12	4	8	83
180	20	12	6	6	77
181	20	12	6	6	83
182	21	12	6	6	83
183	21	12	4	8	82
184	20	12	4	8	89
185	21	12	6	6	77
186	21	12	4	8	83
187	22	12	4	8	83
188	17	12	6	6	97
189	14	12	6	6	84
190	15	12	4	8	84
191	15	12	4	8	84
192	14	12	4	8	90
193	14	12	4	8	90
194	17	12	6	6	95
195	20	12	6	6	83
196	21	12	6	6	83
197	20	12	6	6	83
198	21	12	6	6	83
199	21	12	6	6	83
200	21	12	4	8	82
201	22	12	4	8	82
202	21	12	4	8	83
203	21	12	4	8	83
204	22	12	4	8	83
205	22	12	2	10	81
206	21	12	4	8	83
207	22	12	2	10	82
208	21	12	4	8	83
209	21	12	4	8	82
210	22	12	2	10	81
211	22	12	2	10	83
212	22	12	4	8	83
213	20	12	6	6	77
214	21	12	4	8	83
215	20	12	4	8	89
216	21	12	4	8	83
217	22	12	2	10	83
218	21	12	4	8	82
219	21	12	6	6	77
220	22	12	4	8	83
221	22	12	4	8	82
222	16	12	8	4	89
223	17	12	6	6	97
