index	first_minimum_q	first_minimum_multiplicity	second_switches	second_descending	second_equal_12	second_below_12	second_minimum_q
0	21	3	151914	3	3	0	12
1	21	4	202500	4	4	0	12
2	21	3	151825	3	3	0	12
3	21	3	151914	3	3	0	12
4	21	3	151825	3	3	0	12
5	21	4	202500	4	4	0	12
6	22	2	101288	2	2	0	12
7	22	3	151904	3	3	0	12
8	21	1	50617	1	1	0	12
9	22	4	202588	4	4	0	12
10	21	3	151805	3	3	0	12
11	21	2	101129	2	2	0	12
12	20	4	202650	4	4	0	12
13	20	4	202847	4	4	0	12
14	20	3	152003	3	3	0	12
15	20	3	151969	3	3	0	12
16	20	2	101391	2	2	0	12
17	22	8	405307	8	8	0	12
18	22	7	354731	7	7	0	12
19	22	6	303986	6	6	0	12
20	20	2	101391	2	2	0	12
21	20	2	101359	2	2	0	12
22	20	1	50681	1	1	0	12
23	20	1	50706	1	1	0	12
24	20	1	50693	1	1	0	12
25	20	1	50660	1	1	0	12
26	20	4	202847	4	4	0	12
27	20	2	101332	2	2	0	12
28	19	1	50614	1	1	0	12
29	20	3	152003	3	3	0	12
30	19	1	50599	1	1	0	12
31	20	1	50706	1	1	0	12
32	20	1	50688	1	1	0	12
33	22	2	101288	2	2	0	12
34	22	3	151947	3	3	0	12
35	22	1	50630	1	1	0	12
36	22	2	101280	2	2	0	12
37	20	1	50693	1	1	0	12
38	22	4	202588	4	4	0	12
39	19	1	50714	1	1	0	12
40	20	1	50648	1	1	0	12
41	19	1	50600	1	1	0	12
42	19	1	50659	1	1	0	12
43	20	4	202718	4	4	0	12
44	18	1	50683	1	1	0	12
45	19	1	50647	1	1	0	12
46	20	4	202668	4	4	0	12
47	18	1	50645	1	1	0	12
48	21	3	151891	3	3	0	12
49	20	4	202751	4	4	0	12
50	20	3	152050	3	3	0	12
51	18	1	50652	1	1	0	12
52	20	1	50573	1	1	0	12
53	20	1	50681	1	1	0	12
54	20	4	202734	4	4	0	12
55	21	2	101240	2	2	0	12
56	22	3	151904	3	3	0	12
57	22	2	101270	2	2	0	12
58	22	3	151894	3	3	0	12
59	20	1	50685	1	1	0	12
60	20	4	202650	4	4	0	12
61	20	2	101308	2	2	0	12
62	22	2	101266	2	2	0	12
63	19	1	50670	1	1	0	12
64	21	3	151917	3	3	0	12
65	20	1	50660	1	1	0	12
66	20	1	50648	1	1	0	12
67	18	1	50645	1	1	0	12
68	19	1	50614	1	1	0	12
69	19	1	50600	1	1	0	12
70	21	3	151891	3	3	0	12
71	19	1	50599	1	1	0	12
72	22	3	151932	3	3	0	12
73	20	1	50685	1	1	0	12
74	19	1	50670	1	1	0	12
75	22	2	101192	2	2	0	12
76	21	1	50599	1	1	0	12
77	22	1	50630	1	1	0	12
78	22	2	101270	2	2	0	12
79	22	2	101266	2	2	0	12
80	21	1	50576	1	1	0	12
81	21	1	50550	1	1	0	12
82	21	1	50615	1	1	0	12
83	22	2	101192	2	2	0	12
84	22	3	151773	3	3	0	12
85	20	2	101332	2	2	0	12
86	19	1	50659	1	1	0	12
87	20	2	101308	2	2	0	12
88	19	1	50647	1	1	0	12
89	21	3	151917	3	3	0	12
90	22	3	151932	3	3	0	12
91	22	4	202529	4	4	0	12
92	18	1	50683	1	1	0	12
93	20	4	202718	4	4	0	12
94	20	4	202668	4	4	0	12
95	21	1	50576	1	1	0	12
96	21	1	50615	1	1	0	12
97	22	1	50522	1	1	0	12
98	22	1	50522	1	1	0	12
99	21	1	50599	1	1	0	12
100	21	1	50550	1	1	0	12
101	22	4	202529	4	4	0	12
102	22	3	151773	3	3	0	12
103	21	2	101240	2	2	0	12
104	19	1	50714	1	1	0	12
105	20	2	101391	2	2	0	12
106	22	7	354731	7	7	0	12
107	19	1	50601	1	1	0	12
108	20	3	151969	3	3	0	12
109	20	1	50691	1	1	0	12
110	21	3	151805	3	3	0	12
111	20	2	101391	2	2	0	12
112	20	1	50681	1	1	0	12
113	20	4	202751	4	4	0	12
114	20	1	50623	1	1	0	12
115	20	4	202734	4	4	0	12
116	21	1	50649	1	1	0	12
117	19	1	50601	1	1	0	12
118	21	2	101129	2	2	0	12
119	20	1	50681	1	1	0	12
120	21	2	101306	2	2	0	12
121	21	1	50601	1	1	0	12
122	20	2	101359	2	2	0	12
123	22	6	303986	6	6	0	12
124	22	8	405307	8	8	0	12
125	21	2	101306	2	2	0	12
126	20	2	101206	2	2	0	12
127	20	1	50577	1	1	0	12
128	21	1	50617	1	1	0	12
129	22	3	151888	3	3	0	12
130	20	1	50573	1	1	0	12
131	20	2	101094	2	2	0	12
132	20	3	152050	3	3	0	12
133	21	1	50649	1	1	0	12
134	22	2	101194	2	2	0	12
135	20	1	50691	1	1	0	12
136	20	1	50623	1	1	0	12
137	21	1	50649	1	1	0	12
138	22	3	151947	3	3	0	12
139	21	1	50601	1	1	0	12
140	21	1	50649	1	1	0	12
141	20	1	50577	1	1	0	12
142	21	1	50568	1	1	0	12
143	22	2	101194	2	2	0	12
144	22	2	101280	2	2	0	12
145	22	3	151894	3	3	0	12
146	22	3	151888	3	3	0	12
147	20	1	50688	1	1	0	12
148	20	1	50713	1	1	0	12
149	22	2	101384	2	2	0	12
