index	toggles	switches	descending	neutral	minimum_q	minimum_multiplicity	best_edges
0	14	50657	0	0	21	3	4-5,6-7,4-7,5-6
1	15	50643	0	0	21	4	4-5,6-7,4-7,5-6
2	15	50642	0	0	21	3	4-5,6-7,4-7,5-6
3	14	50657	0	0	21	3	4-5,6-7,4-7,5-6
4	15	50642	0	0	21	3	0-17,16-42,0-42,16-17
5	15	50643	0	0	21	4	4-5,6-7,4-7,5-6
6	13	50687	0	0	22	2	4-5,29-30,4-30,5-29
7	14	50672	0	0	22	3	0-17,16-42,0-42,16-17
8	14	50671	0	0	21	1	0-17,16-42,0-42,16-17
9	14	50671	0	0	22	4	4-5,29-30,4-30,5-29
10	15	50625	0	0	21	3	4-5,6-7,4-7,5-6
11	16	50595	0	0	21	2	4-5,6-7,4-7,5-6
12	14	50688	0	0	20	4	4-5,21-22,4-21,5-22
13	13	50730	0	0	20	4	4-5,21-22,4-21,5-22
14	14	50686	0	0	20	3	6-7,8-9,6-9,7-8
15	15	50674	0	0	20	3	6-7,8-9,6-9,7-8
16	13	50706	0	0	20	2	6-7,30-31,6-30,7-31
17	14	50689	0	0	22	8	0-17,16-42,0-42,16-17
18	13	50704	0	0	22	7	0-17,16-42,0-42,16-17
19	14	50687	0	0	22	6	0-17,16-42,0-42,16-17
20	13	50706	0	0	20	2	6-7,30-31,6-30,7-31
21	14	50690	0	0	20	2	6-7,30-31,6-30,7-31
22	14	50689	0	0	20	1	6-7,30-31,6-30,7-31
23	13	50717	0	0	20	1	12-13,14-15,12-15,13-14
24	14	50702	0	0	20	1	12-13,14-15,12-15,13-14
25	13	50700	0	0	20	1	24-25,41-42,24-41,25-42
26	13	50730	0	0	20	4	11-12,38-39,11-38,12-39
27	14	50686	0	0	20	2	7-8,33-34,7-33,8-34
28	14	50656	0	0	19	1	7-8,33-34,7-33,8-34
29	14	50686	0	0	20	3	7-8,33-34,7-33,8-34
30	15	50641	0	0	19	1	7-8,33-34,7-33,8-34
31	13	50717	0	0	20	1	22-23,24-25,22-25,23-24
