source_index	toggle_count	clauses	coherent_five_sets	formula_sha256	core_bytes	core_sha256	proof_bytes	proof_sha256	solver_seconds	proof_check_seconds
0	14	57206	30417	1da47ef2ff2698de9ae066e938fa5628658281b1a01f9b4e786af27bc5b3cd30	5029	7deff6b1c76db12d5fa5fad562eaab3db2f8cd99ddff428f68a9fd251747e9ae	6815	b343214cbace7fd250304c1b02da4da0631e10513527bb6176e16aa50da51ff3	0.11673615299514495	0.43102750601246953
1	15	57121	30345	505083b10455be7cb0e0eeb15fe5dda7d949e8e7f150133e5542cbeacfb1bb1a	5185	983ab3d53c651d44beb2f08bf942c2755ed0861ffd6aca68627a7874c70bfae8	7013	741450f67907cd124ac8602a3a00852856044f8cbba90005b097547b2e0dac23	0.18729747299221344	0.523694717005128
2	15	57007	30331	4e4259372e2bef0b2e34a68cbf92d7fea8e45fafc0a3eb0317908c4514739456	4845	ecd7a9e23f6eb792649900334e3823f2940a39f12008a85755a239a0845b8a5a	6617	9adeef05df3ac31ff6445630fabb4420f3ac520a54e6a77899e3c8cccaaadc82	0.20297048598877154	0.45279354602098465
3	14	57192	30417	33b58f849acfddf0395e9231ec7a2f2dd78fcd53bdca09f7130ffb8cc6c88f25	5837	105c0ad79167dbc86f456b6ff4f39b487a4518cff99cce8b408c28e3de3058e8	8596	de1f052aae67e2c182f4af927f40a5664a51dcd02eee9d6a4a3d55ab76eebdd1	0.26547645797836594	0.3026223870110698
4	15	57018	30331	0d4cecef5f46e78e20cc3c0aeab484cbf72f7cb287f808c686050efca44f16a6	6251	ad27412c046620ee41f51b81395e0007459241f04b883a62db17734d8608e237	9097	b82728b93d5151d460451068890dfca55626f5ca28ff557fce3ae4a0c2ceabe5	0.21237034801742993	0.5313027579977643
5	15	57030	30345	d5c8e583f4ea774093e7d6acacdb67b8367c7a444abc794f62a84a944d949af9	5285	d4f0d998ee2f34d7382432ba03f028564d74c323efe3e030bd624bae5e1e7304	7843	12e8e0b52564909acaa41dd234a63c3fb89d09456354081c606ef297a147d370	0.11986645101569593	0.5046078989980742
6	13	57163	30433	e566a9d6cecdb6e79fc1dcab864ed91d401140465007785225ba9ca977c8900b	6584	3ca2dfb73979882185a31cb9a1f4d65a4c064a26ef15a3fe3a0a6048b457a131	9552	fc7f24c3dca03dc46d91c50c424ab6a122aacdee4aad9010ed24b1511988a27c	0.2870508389896713	0.37042143000871874
7	14	57013	30355	964dcfda535690d170ebc712afc90830408907ab884b6ec1391ca129a94e1c4f	5202	1c5483b3c027c6529e5216420371f1bac85c864eac229f91973ebe9f539b3423	7630	aaf63a896111864f9c212372f14d4c7e3c8f3252cf48bf98f05385786cf0e6fa	0.15014729800168425	0.5108770130027551
8	14	56971	30338	782e7950da3d631fff2ed77fd4b9ae77011953d2272cead3d335a9e8e074231a	6247	88a2997dad8fb63339d371309eaaeb37e2e05770ebc5e0dd78c964421ef8fc46	8856	823b1e582cc166196d7ba957e0d29de48e3f6ea3d6095d6bc7066757df26021a	0.19998090399894863	0.4013482390146237
9	14	56973	30347	8af24d7ce451706a953c4ae7af81e00f43dc469f9936367fc3a8be377ac5eaed	6030	f1a3c67dcb72b49613a603c551a190c6996ede0467a24fdd8a2ed150e59ddb9f	8552	e7fcd8be23a97382af61d451e578c4978225b81a468e2745345fdcad16128603	0.142255731014302	0.4245427259884309
