# order edges tau4 relaxed_capacity extendable_capacity role graph6
10 15 2 13 10 10+12-small I?CcjQK[G
10 16 2 13 10 10+12-small I?Cda\SiG
10 15 2 13 5 10+12-small I?ChcPF{?
10 16 2 13 8 10+12-small I?CqKVg[O
10 15 2 13 6 10+12-small I?DK@SusO
10 14 2 13 6 10+12-small I?HCOlof?
10 16 2 13 5 10+12-small I@Ca[YaSW
10 15 2 13 5 10+12-small I@GQAYee_
10 16 2 18 9 10+12-small I`hQC?ZHo
11 18 3 8 4 11+11-partner J?CaKiIYR`?
11 20 3 7 3 11+11-partner J?CdQlgdMW?
11 20 3 7 3 11+11-partner J?DKPladNO?
11 18 3 7 4 11+11-partner J?E@hXPQd@_
11 19 3 7 4 11+11-partner J?ED@XMSrg?
11 19 3 7 2 11+11-partner J?EMAGrIrg?
11 19 3 7 4 11+11-partner J?EeAgjKaW_
11 18 3 8 4 11+11-partner J?GXd@PPsT?
11 20 3 7 2 11+11-partner J?GXeVEUDG_
11 17 3 7 3 11+11-partner J?HSQ?XKtH?
11 17 3 7 4 11+11-partner J?KQKOdSLC_
11 19 3 7 4 11+11-partner J?MD?dURRI?
11 16 3 7 3 11+11-partner J?`?pMOWHw?
11 18 3 7 3 11+11-partner J?`@Ok{SdA_
11 18 3 7 4 11+11-partner JG@PSeKKIQ_
11 19 3 14 6 11+11-required JK?EXgwaQH_
11 18 3 7 4 11+11-partner J_?PKXI]@b?
11 18 3 7 4 11+11-partner J_C@kHKYPb?
11 19 3 7 3 11+11-partner J`_@[hcEIE_
11 19 3 7 2 11+11-partner JcGA\HCEXd?
11 18 3 7 4 11+11-partner Jg?O[@XKpY?
11 17 3 7 2 11+11-partner Jg@OX?X_po_
11 18 3 7 2 11+11-partner JgCGK`QIpJ?
11 17 3 7 2 11+11-partner JoCOP?eSqY?
11 18 3 7 2 11+11-partner JqCkA?FAp`_
11 18 3 7 2 11+11-partner JqGSA?NHOs_
12 22 4 8 3 10+12-large K?_YPMQoPokc
