# d M disconnected_color component_orders opposite_edges_D opposite_edges_outside candidate_unordered_type_pairs
22 220 red 10+12 156 146 1
22 220 red 10+12 157 147 4
22 220 red 10+12 158 148 4
22 220 red 11+11 156 146 1
22 220 red 11+11 157 147 4
22 220 red 11+11 158 148 11
22 220 red 11+11 159 149 7
22 220 red 11+11 160 150 3
22 220 blue 10+12 156 145 1
22 220 blue 10+12 157 146 4
22 220 blue 10+12 158 147 4
22 220 blue 11+11 156 145 1
22 220 blue 11+11 157 146 4
22 220 blue 11+11 158 147 11
22 220 blue 11+11 159 148 7
22 220 blue 11+11 160 149 3
