# profile M W L d slack global_degree_multiset red_excess blue_excess red_triangles blue_triangles
M219-W9 219 9 23 23 0 20^3,21^40 1 16 1426 1435
M219-W9 219 9 23 23 0 20^3,21^40 4 13 1425 1436
M219-W9 219 9 23 23 0 20^3,21^40 7 10 1424 1437
M219-W9 219 9 23 23 0 20^3,21^40 10 7 1423 1438
M219-W9 219 9 23 23 0 20^3,21^40 13 4 1422 1439
M219-W9 219 9 23 23 0 20^3,21^40 16 1 1421 1440
M220-W3 220 3 22 22 0 20^1,21^42 0 20 1431 1429
M220-W3 220 3 22 22 0 20^1,21^42 3 17 1430 1430
M220-W3 220 3 22 22 0 20^1,21^42 6 14 1429 1431
M220-W3 220 3 22 22 0 20^1,21^42 9 11 1428 1432
M220-W3 220 3 22 22 0 20^1,21^42 12 8 1427 1433
M220-W3 220 3 22 22 0 20^1,21^42 15 5 1426 1434
M220-W3 220 3 22 22 0 20^1,21^42 18 2 1425 1435
M220-W3 220 3 22 23 1 20^1,21^42 0 20 1431 1429
M220-W3 220 3 22 23 1 20^1,21^42 3 17 1430 1430
M220-W3 220 3 22 23 1 20^1,21^42 6 14 1429 1431
M220-W3 220 3 22 23 1 20^1,21^42 9 11 1428 1432
M220-W3 220 3 22 23 1 20^1,21^42 12 8 1427 1433
M220-W3 220 3 22 23 1 20^1,21^42 15 5 1426 1434
M220-W3 220 3 22 23 1 20^1,21^42 18 2 1425 1435
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 0 17 1431 1430
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 3 14 1430 1431
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 6 11 1429 1432
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 9 8 1428 1433
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 12 5 1427 1434
M220-W9-A21 220 9 23 23 0 20^2,21^40,22^1 15 2 1426 1435
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 0 17 1431 1430
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 3 14 1430 1431
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 6 11 1429 1432
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 9 8 1428 1433
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 12 5 1427 1434
M220-W9-mixed 220 9 23 23 0 20^2,21^40,22^1 15 2 1426 1435
