record	roots	branches_unsat	base_clauses	source_clauses	source_reported_proof_bytes
0	43	903	233742	251845	1211700
1	43	903	233907	252010	1117642
2	43	903	233548	251651	1127752
3	43	903	234134	252237	1157688
4	43	903	232901	251004	1088074
5	43	903	233804	251907	1192266
6	43	903	233657	251760	1156264
7	43	903	233520	251623	1137459
8	43	903	233948	252051	1171908
9	43	903	234062	252165	1120398
10	43	903	233917	252020	1168315
11	43	903	233741	251844	1160078
12	43	903	233699	251802	1190873
13	43	903	233434	251537	1049136
14	43	903	233587	251690	1155415
15	43	903	233625	251728	1213895
16	43	903	233942	252045	1280075
17	43	903	233323	251426	1139950
18	43	903	233439	251542	1186482
19	43	903	233614	251717	1127069
20	43	903	233653	251756	1152103
21	43	903	233899	252002	1138858
22	43	903	234030	252133	1191431
23	43	903	233498	251601	1073294
24	43	903	233326	251429	1126998
25	43	903	233730	251833	1195969
26	43	903	233074	251177	1126192
27	43	903	233671	251774	1140800
28	43	903	233713	251816	1265125
29	43	903	233652	251755	1145254
30	43	903	233708	251811	1125252
31	43	903	233463	251566	1116818
32	43	903	233757	251860	1193583
33	43	903	233230	251333	1153050
34	43	903	233139	251242	1020111
35	43	903	234064	252167	1149376
36	43	903	233208	251311	1218660
37	43	903	233663	251766	1068893
38	43	903	233559	251662	1048264
39	43	903	233523	251626	1060476
40	43	903	233685	251788	1208597
41	43	903	233680	251783	1212759
42	43	903	233666	251769	1066701
43	43	903	233335	251438	1130316
44	43	903	233452	251555	1073562
45	43	903	233628	251731	1163400
46	43	903	233654	251757	1192302
47	43	903	234021	252124	1252781
48	43	903	233841	251944	1144175
49	43	903	233124	251227	1122604
50	43	903	233553	251656	1135808
51	43	903	233113	251216	1071958
52	43	903	233707	251810	1142008
53	43	903	233281	251384	1081263
54	43	903	233714	251817	1153731
55	43	903	233517	251620	1132217
56	43	903	233352	251455	1055517
57	43	903	233720	251823	1281409
58	43	903	233751	251854	1142961
59	43	903	232999	251102	1077988
60	43	903	233666	251769	1078598
61	43	903	233446	251549	1062767
62	43	903	233365	251468	1107036
63	43	903	233571	251674	1119580
64	43	903	233350	251453	1101443
65	43	903	233131	251234	1080646
66	43	903	233046	251149	1109140
67	43	903	233484	251587	1096433
68	43	903	233708	251811	1195347
69	43	903	233798	251901	1138657
70	43	903	233177	251280	1202631
71	43	903	233876	251979	1215683
72	43	903	233550	251653	1072950
73	43	903	233022	251125	1102108
74	43	903	233809	251912	1071022
75	43	903	233608	251711	1176231
76	43	903	233535	251638	1170697
77	43	903	233272	251375	1093524
78	43	903	234011	252114	1179315
79	43	903	233784	251887	1151401
80	43	903	233707	251810	1225095
81	43	903	233495	251598	1036789
82	43	903	233876	251979	1176153
83	43	903	233252	251355	1051131
84	43	903	233468	251571	1263844
85	43	903	233793	251896	1101495
86	43	903	233571	251674	1143282
87	43	903	233760	251863	1203572
88	43	903	233417	251520	1118641
89	43	903	233330	251433	1086280
90	43	903	233578	251681	1103561
91	43	903	233575	251678	1124351
92	43	903	233365	251468	1148467
93	43	903	233294	251397	1074763
94	43	903	233050	251153	1194826
95	43	903	233881	251984	1063773
96	43	903	232998	251101	1026922
97	43	903	233269	251372	1132558
98	43	903	233745	251848	1113008
99	43	903	233968	252071	1209681
100	43	903	233789	251892	1187219
101	43	903	233443	251546	1162300
102	43	903	233345	251448	1097246
103	43	903	233968	252071	1112497
104	43	903	233185	251288	1046955
105	43	903	233607	251710	1117293
106	43	903	233415	251518	1080668
107	43	903	233619	251722	1089139
108	43	903	233335	251438	1060663
109	43	903	234049	252152	1133271
