counts_18_to_24	M	W	split_count	status	edge_counts	half_counts	multipliers
0,0,1,42,0,0,0	220	3	1	feasible	-	-	-
0,0,2,40,1,0,0	220	9	2	feasible	1,1	-	-
0,0,3,40,0,0,0	219	9	1	feasible	2	-	-
0,0,3,39,0,1,0	220	21	2	feasible	3,3	-	-
0,0,3,38,2,0,0	220	15	3	feasible	1,2,0	-	-
0,0,4,38,0,0,1	220	33	2	feasible	5,3	-	-
0,0,4,38,1,0,0	219	15	2	feasible	3,2	-	-
0,0,4,37,1,1,0	220	27	4	feasible	4,1,3,0	-	-
0,0,4,36,3,0,0	220	21	4	feasible	2,3,0	-	-
0,0,5,38,0,0,0	218	15	1	feasible	5	-	-
0,0,5,37,0,1,0	219	27	2	feasible	7,4	-	-
0,0,5,36,0,2,0	220	39	3	feasible	6,6,0	-	-
0,0,5,36,1,0,1	220	39	4	feasible	5,1,3,0	-	-
0,0,5,36,2,0,0	219	21	3	feasible	5,4,0	-	-
0,0,5,35,2,1,0	220	33	6	feasible	4,2,3,0,0	-	-
0,0,5,34,4,0,0	220	27	5	feasible	2,4,0	-	-
0,0,6,36,0,0,1	219	39	2	feasible	9,4	-	-
0,0,6,36,1,0,0	218	21	2	feasible	8,3	-	-
0,0,6,35,1,1,0	219	33	4	feasible	8,2,4,0	-	-
0,0,6,34,3,0,0	219	27	4	feasible	6,6,0	-	-
0,0,6,33,3,1,0	220	39	8	feasible	5,3,3,0,0	-	-
0,0,6,32,5,0,0	220	33	6	feasible	3,5,0	-	-
0,0,7,36,0,0,0	217	21	1	feasible	11	-	-
0,0,7,35,0,1,0	218	33	2	feasible	12,5	-	-
0,0,7,34,2,0,0	218	27	3	feasible	10,6,0	-	-
0,0,7,33,2,1,0	219	39	6	feasible	10,4,4,0,0	-	-
0,0,7,32,4,0,0	219	33	5	feasible	8,8,0	-	-
0,0,7,30,6,0,0	220	39	7	feasible	3,6,0	-	-
0,0,8,34,1,0,0	217	27	2	feasible	14,4	-	-
0,0,8,33,1,1,0	218	39	4	feasible	15,3,5,0	-	-
0,0,8,32,3,0,0	218	33	4	feasible	13,9,0	-	-
0,0,8,30,5,0,0	219	39	6	feasible	9,10,0	-	-
0,0,9,34,0,0,0	216	27	1	feasible	18	-	-
0,0,9,33,0,1,0	217	39	2	feasible	20,6	-	-
0,0,9,32,2,0,0	217	33	3	feasible	18,8,0	-	-
0,0,9,30,4,0,0	218	39	5	feasible	15,12,0	-	-
0,0,10,32,1,0,0	216	33	2	feasible	23,5	-	-
0,0,10,30,3,0,0	217	39	4	feasible	21,12,0	-	-
0,0,11,32,0,0,0	215	33	1	feasible	28	-	-
0,0,11,30,2,0,0	216	39	3	feasible	27,10,0	-	-
0,0,12,30,1,0,0	215	39	2	feasible	33,6	-	-
0,0,13,30,0,0,0	214	39	1	feasible	39	-	-
0,1,0,41,1,0,0	220	15	1	excluded	-	-	1,0
0,1,1,41,0,0,0	219	15	1	excluded	-	-	1,0
0,1,1,40,0,1,0	220	27	2	excluded	-	-	1,0,1
0,1,1,39,2,0,0	220	21	3	feasible	1,0,2,0	-	-
0,1,2,39,0,0,1	220	39	2	excluded	-	-	2,0,3
0,1,2,39,1,0,0	219	21	3	feasible	2,0,0,2	-	-
0,1,2,38,1,1,0	220	33	5	excluded	-	4,0,1,1,2,4,0	-
0,1,2,37,3,0,0	220	27	5	feasible	1,0,1,3,0	-	-
0,1,3,39,0,0,0	218	21	2	feasible	3,0	-	-
0,1,3,38,0,1,0	219	33	3	excluded	-	6,1,3,6	-
0,1,3,37,2,0,0	219	27	5	feasible	2,0,2,4,0	-	-
0,1,3,36,2,1,0	220	39	9	feasible	1,0,0,3,2,3,0,0	-	-
