counts_18_to_24	M	k	split_count	raw_cores	weighted	core5	total_capacity	red_capacity	blue_capacity	pass	first_mask
0,0,1,42,0,0,0	220	1	1	1	1	0	0	0	0	1	0
0,0,2,40,1,0,0	220	3	2	8	3	0	0	0	0	3	3
0,0,3,40,0,0,0	219	3	1	8	4	0	0	0	0	4	3
0,0,3,39,0,1,0	220	4	2	64	1	0	0	1	0	0	-
0,0,3,38,2,0,0	220	5	3	1024	140	1	0	0	0	139	15
0,0,4,38,0,0,1	220	5	2	1024	5	1	0	4	0	0	-
0,0,4,38,1,0,0	219	5	2	1024	170	1	0	0	0	169	93
0,0,4,37,1,1,0	220	6	4	32768	266	24	0	0	0	242	2367
0,0,5,38,0,0,0	218	5	1	1024	253	1	0	0	0	252	126
0,0,5,37,0,1,0	219	6	2	32768	236	86	0	0	0	150	11262
0,1,1,39,2,0,0	220	4	3	64	1	0	0	0	1	0	-
0,1,2,39,1,0,0	219	4	3	64	2	0	0	0	0	2	51
0,1,2,37,3,0,0	220	6	5	32768	359	2	0	0	0	357	211
0,1,3,39,0,0,0	218	4	2	64	8	0	0	0	0	8	7
0,1,3,37,2,0,0	219	6	5	32768	601	11	0	0	0	590	1175
0,1,4,37,1,0,0	218	6	4	32768	1088	32	0	0	0	1056	319
0,1,5,37,0,0,0	217	6	2	32768	1782	0	0	0	0	1782	510
0,2,0,38,3,0,0	220	5	2	1024	0	0	0	0	0	0	-
0,2,1,40,0,0,0	218	3	1	8	1	0	0	0	0	1	7
0,2,1,38,2,0,0	219	5	3	1024	10	0	0	0	0	10	59
0,2,2,38,1,0,0	218	5	3	1024	26	0	0	0	0	26	127
0,2,3,38,0,0,0	217	5	2	1024	43	0	0	0	0	43	127
0,3,0,39,1,0,0	218	4	1	64	3	0	0	0	0	3	31
1,0,1,38,3,0,0	220	5	3	1024	7	0	0	0	7	0	-
1,0,2,40,0,0,0	218	3	1	8	2	0	0	0	2	0	-
1,0,2,38,2,0,0	219	5	3	1024	18	0	0	0	2	16	171
1,0,3,38,1,0,0	218	5	3	1024	39	0	0	0	0	39	15
1,0,4,38,0,0,0	217	5	2	1024	38	0	0	0	0	38	15
1,1,0,41,0,0,0	218	2	1	2	1	0	0	0	1	0	-
1,1,0,39,2,0,0	219	4	2	64	2	0	0	0	0	2	13
1,1,1,39,1,0,0	218	4	3	64	2	0	0	0	0	2	7
1,1,2,39,0,0,0	217	4	2	64	2	0	0	0	0	2	45
