core,red_edges,red_K5,blue_K5,defects,min_neighbor,improving,neutral
92,442,79,96,175,175,0,2
97,456,87,95,182,182,0,1
118,449,91,68,159,160,0,0
119,448,88,74,162,163,0,0
124,448,80,96,176,176,0,1
155,448,77,97,174,174,0,2
164,450,93,77,170,170,0,3
168,449,71,98,169,169,0,2
180,449,61,103,164,164,0,2
182,449,70,105,175,175,0,1
185,457,88,89,177,177,0,1
186,457,74,81,155,156,0,0
190,456,80,100,180,180,0,2
191,447,112,73,185,185,0,1
192,458,104,77,181,181,0,3
193,460,93,80,173,173,0,4
194,446,64,97,161,161,0,1
