core,restart,seed,initial,best,best_step,steps_done,bits
92,0,112261182,2870,186,19134,25000,00010011001100110111001101001000110111110110010101001110011001111010111000110110110001010001001010010001101110000110010011100110110011010110000110010101111010111010001111100011000110111001010111011111011100100110001100110100110101010011100011000000001111000011100011001001101010110101001010101101100000101101101010101101
92,1,112261183,4361,185,6380,25000,00010011010101001001110101011000110101011010101110101101111001001110110100110110001001101000010101001111001110000101110010010010001100110101110001001100101101010110001111111001101100011101001011001101011111000101000101101000011101110101101101000001111100100010001111000101100110100101010001101100011001110001000111001111
92,2,112261184,2346,183,15402,25000,00010011010111000111011010101000110101111001101010111001111010111010111000101010101001000100101110110010000100111101011010010110011011011110010010100101101000111010001111110010001101110101010111100111101110101100101011010100101111000110110010000001100110010100101100101101001100000101111000010111011000110001100110110001
92,3,112261185,2587,175,18339,25000,00010011001101110001111011010100110101110010110101001111111000111011000111010110110001110000100100100100101100101100100101010001001110000100111011011110001100101101110111110111011111001101011110110111001010110100001001101000001110100100101111000000101011010011001100011010110010011011000010111100001000110011000101010011
97,0,117261197,2999,194,20704,25000,00010011000100101101110001101101100100111000101100111111011010011001001110010010110011101001001100110011101111001011001101100110101100101101110100110001010001101101010111100111111111110011000111101010111100000111000100101010010010010101101011010000011100001010011110001110101010000101110101110000110111001100000001110101
97,1,117261198,3266,182,12259,25000,00010011010110110100100111010101100110101101110111001010111010101001101000110001000110101011010011010001111001101010010011100111010010000110100111000101110101011010111100001111011110010101011101011011100101010101011011010101010011000010101010110001100110001110001110100010110100011111001001101011100000011011010100011011
97,2,117261199,1535,189,4362,25000,00010011011001010011011100101101100110000101111011010011011001010101110001110100110111010001101110110000111110110001010000101110110110001001001110101010000100110111011001111111010101001111111011100000110000001100001111000101010100010000011001101001001011100011110111001000101101000111101011001010100101101011010101100100
97,3,117261200,1513,184,5712,25000,00010011000111010110111010111001100110001111010010011010011000100100110100111011010101001110010101110111110010101101010010000110001001100110010110010111001101001100110101011100100010110101111111110001110110100101000101101010111101000000101111000111000110001011010011000111000101001110010111000001111010001110001010011001
118,0,138261260,5343,171,20259,25000,00011011000111001110110000110101101101011001001110101001110011011000101010110110100100111001010100101000110111001001110100110110001101011111001101000111001001001101101011111100101111111100010010100111100001111001001000011010001110100001110111001101101100100111000101101100100100100100111000010111010101001011010000110101
118,1,138261261,2254,172,11588,25000,00011011011000101010101010110101101101010100101101001101010010010110111010001110001111101001010010001111011100101101010011010011001001001111000111010010110101101110010111101001000110110010001111011101111101110101001101001000011110110101001110101100000111101000011011000100011000101100101001110101001001011001001000111110
118,2,138261262,2527,176,10772,25000,00011011011010110010110100110101101111001000110101111011110011000101111001110010010111010010000110001101000111010000101001010100110101010010111101101010010000100101100111111101100111001001011110110010010011011000000010111010101011000000111111100001101010010010110100011011100100111110010001110001011000101110010001100111
