sweep	matching	before	after	mask
1	0	2508	2147	152305
1	1	2147	1936	69859
1	2	1936	1788	639232
1	3	1788	1585	989773
1	4	1585	1414	58419
1	5	1414	1284	221753
1	6	1284	1167	656338
1	7	1167	1074	951994
1	8	1074	973	38505
1	9	973	921	98653
1	10	921	862	72611
1	11	862	845	16437
1	12	845	810	397331
1	13	810	793	12370
1	14	793	775	22912
1	15	775	770	2180
1	16	770	760	72
1	17	760	756	8193
1	18	756	723	22008
1	19	723	712	20496
1	20	712	699	526864
1	21	699	679	12296
1	22	679	664	204
1	23	664	643	28720
1	24	643	638	32784
1	25	638	628	2824
1	26	628	613	417
1	27	613	595	131094
1	28	595	589	5120
1	29	589	579	532
1	30	579	578	512
1	31	578	569	146433
1	32	569	550	21528
1	33	550	544	425984
1	34	544	538	512
1	35	538	523	10248
1	36	523	511	4480
1	37	511	503	18688
1	38	503	497	2052
1	40	497	489	131072
1	41	489	485	1024
2	0	485	479	4104
2	1	479	474	128
2	2	474	467	2176
2	3	467	458	8224
2	4	458	454	5120
2	5	454	453	4
2	7	453	437	540936
2	8	437	436	260
2	9	436	433	204800
2	10	433	430	3
2	11	430	426	16400
2	12	426	421	4096
2	14	421	417	1536
2	16	417	416	516
2	17	416	412	2
2	20	412	410	4096
2	21	410	409	262144
2	22	409	401	262217
2	24	401	400	16
2	26	400	395	768
2	29	395	394	16384
2	31	394	392	262144
2	32	392	391	2
2	33	391	389	131072
2	34	389	388	32
2	35	388	386	2
2	38	386	382	16
2	39	382	381	2052
3	3	381	379	512
3	5	379	375	4
3	6	375	372	36864
3	7	372	369	1
3	9	369	368	16384
3	13	368	365	64
3	17	365	360	64
3	19	360	355	40
3	20	355	354	8
3	22	354	353	4096
3	23	353	352	64
3	25	352	345	65537
3	29	345	344	65536
3	30	344	342	32768
3	34	342	341	16
4	11	341	339	266240
4	12	339	337	1024
4	16	337	335	544
4	18	335	334	2
4	31	334	333	8192
4	39	333	331	256
5	4	331	330	1
5	5	330	329	64
5	8	329	327	1024
5	9	327	326	8192
5	13	326	324	128
5	31	324	323	8192
5	33	323	322	1024
5	34	322	321	1
6	3	321	320	262144
6	14	320	318	8
6	32	318	317	32
