index	task	whole_task_status	residual_status	clauses	cnf_sha256	residual_edgeword
0	bo1-q9-r5-c000000	UNKNOWN	SAT	29228	f4da3206ca71562e085c3458c8bcb586afd091b231b252c187891ca4f3456d52	109c106d5da07426757326a28381e22b949461467d835c471b23900ff6328f40
1	bo1-q9-r5-c000001	UNKNOWN	SAT	28060	516f6d2d6f87395bb4c8cf9693b71f2042b7e769aa80038e46ad001d8bd87b76	199c101601882a2a72255872ba00ec2b6ac3adcf708192ea25eca4556d17ef40
2	bo1-q9-r5-c000002	UNKNOWN	SAT	26940	64d9d71287b79c2053271e1f6e74bf6ee95206875de5d5b1d36fccf1ef953322	1ebc105629441a0253163af2398a69081fd2b702d5236a4e171ce19d4912bd50
3	bo1-q9-r5-c000003	UNKNOWN	SAT	27268	6e35b0d44d4babf649b7c26a985d72adb4840088ad458d1cb1b2f28efd26e0ff	1a9e10a5a0386624dae432a0df82db83c485594e86c21b45c5c3d298f41c3930
4	bo1-q9-r5-c000004	UNKNOWN	SAT	26700	73f97d84f6c4ec3b77726a7559d70bd95b99134bc5469127a1865f0dbd2633c3	1a9e308814d870367c9930d19c89ca6a59807fc6e843a41c07b491ba942932b8
5	bo1-q9-r5-c000005	UNKNOWN	SAT	26804	ca478f858b785286929393137c0cf5e968a24c04b63b7b6abde3a1465bfa8d83	16de1084c95c580d700745c11c008ff6114ced052b83a42e899be15d330593a8
6	bo1-q9-r5-c000006	UNKNOWN	SAT	26252	14b4e1503aa3f175dcadef5b3578afcde5baa1a1392233c69016789b26821373	1e9e301214c094164cee1ad07b86f1b03b0ada843721b612cba16507bc2a9b08
7	bo1-q9-r5-c000007	UNKNOWN	SAT	26668	6d657408c25dbe670bf460b6c5cafdfa8387f15a0aa4cd72b7608f63db1c94ed	06de30ca3c00662bbc026aa2c9829c9d498a0fc14ee3d62511ab826c5608eb78
8	bo1-q9-r5-c000008	UNKNOWN	SAT	26236	bd2e08f58152bf5fd0f049d22697f55165a2764854f493b22377e0cba63c7df9	16de303618908e04a70a3b2065801ef26b08ee4ab8617ec4165ec584db217528
9	bo1-q9-r5-c000009	UNKNOWN	SAT	26684	8b3e2a39dce769aaaf691f3689363a2ad764692450269c8cce049b622e40d591	199e304d54c8180294a519c1cb85635934556e85b1c103f683b5b52bac0776c0
10	bo1-q9-r5-c000010	UNKNOWN	SAT	26220	6009f8ad4e77f2b8966a103645abbb73bb06c265eb14b709bef7728b1eea23af	0ebe30289d245033140f0390d40676d1d0c35a86232056cdec97450d6707ff88
11	bo1-q9-r5-c000011	UNKNOWN	SAT	25804	39934bffb599d934e1b5ddc2bef94d915d325696ade0204262ef7f03dfcd0e14	1ebe300b58385c22f1921a91250013ecdbd154c955604e1b0b5db603da0bd250
12	bo1-q9-r5-c000012	UNKNOWN	SAT	28644	2ba7f57a591091ee6962ac32b50e6d1c271cb4a765c4f8198b032c8a5b33a4f8	1929203938c0aa3c502f1172a503e3b6f088a1c075634b394349b17b41321bb0
13	bo1-q9-r5-c000013	UNKNOWN	SAT	27508	292bb143972f19217573e4f33e26c59011a723b4aed7c44b30fb65d358e4ef05	1f29201eec18a0254b7a05900f81eb9659995a875063378a0a3b74b139087f90
14	bo1-q9-r5-c000014	UNKNOWN	SAT	26940	142ee713e1946f1288b11386a48ccbfc6f315de3bfacaeab683d07f99157d5a4	1f2d20a29ca82219744115a0718c91e07f05d5c1e8c1dc8cd81f14ee64259238
15	bo1-q9-r5-c000015	UNKNOWN	SAT	27492	b0dd98b6cc4877c5e8049b817dc35ef5987b93755abc23ebd152f4a0a3fa3bdc	1d4b201874bc9c11c91d64e0c50b279ad451f2006d629c38c2e7e3849b1adea0
16	bo1-q9-r5-c000016	UNKNOWN	SAT	28060	fb9d837c7f0ef7e15f613875b6e9855c507b8e998f62f4db0ce3b96fbae3efc7	164d109651604c0178fb71c0c582a93e8450d8c41fe0ef432345f2599a2b9740
17	bo1-q9-r5-c000017	UNKNOWN	SAT	27388	9ad35789609bb799ba217db44ab040d76957ebdb0811cb26d007c3d256d66e15	1e4b10001da43621667c18d0b50c9b157acbb841f6a25ce13518e38e782ce518
18	bo1-q9-r5-c000018	UNKNOWN	SAT	26372	e1c31a3d7a2ad287b536b784784c3301d571aeca62528107d7bba0b3747600e3	1ded20903d186c026e9319b01c00c6e6db4c8bcd5b212a1dd1aa403de22e46d0
19	bo1-q9-r5-c000019	UNKNOWN	SAT	26220	fa8aef147dc094c187843ac3536e69c2784ef4b5600bc1e650b2051145f7f87f	0ded30263d44e00d2c9914f155063d085f836ec94c633a8906acf209f92e42a0
20	bo1-q9-r5-c000020	UNKNOWN	SAT	26668	1ad65434f00db31767a572e975ffbee10e6f0e43e12021826d98fb37f2354f37	0aeb3007c0045c0d3e9d4222268318c1bb8e6cceb5035f5442379366160645e8
21	bo1-q9-r5-c000021	UNKNOWN	SAT	26956	33db610a733167e917de2011da9283fd65a6b38ea1fb0b919030ec5fa0511c49	1f5b006a592c0c0858da41711a051b8b66d92e4343a0435ea276a655792ce9d8
22	bo1-q9-r5-c000022	UNKNOWN	SAT	26372	0ca0f485b88b2f521d86b59ae59310e188fc468da5dca5953fa7b32b5dfb7b2f	1f5b20881c387811681b3522418b7285995952c318631fb88dca910dd503de98
23	bo1-q9-r5-c000023	UNKNOWN	SAT	27372	c0fafd4cbd3ac95ec3234ca762d65919326a5a8de467dbd2e2caa85a6a0afb2c	1b1d100c64c08e09375737c1d9095188fe11468bba206d2f0a7b23c88e307158
24	bo1-q9-r5-c000024	UNKNOWN	SAT	26804	12479f49fdf11577189df3212aa7d57c1296c2bd3f4fc4d0c5fda988e9add836	1b1d302ec944141e3c0e4d511e0cc8cb8c5c27c0af60a1ab896f423be827ea08
25	bo1-q9-r5-c000025	UNKNOWN	SAT	26356	dc9cd17bb334b45649233e38b807eb7da496d8d2d431cdffc005ac8f9827dfae	1f1d30c44ca81e2a0b6b4f22aa899c303780f2863521c697052ed04cb7259c18
26	bo1-q9-r5-c000026	UNKNOWN	SAT	25236	4349dec51d4187381fa7fc3e5accbb08fd5d2faf64e27012e6d084a0566d9220	1bbf300b40e42602b41e2650c68ab343bbd31a46550215ada95f1431970a7b10
27	bo1-q9-r5-c000027	UNKNOWN	SAT	28764	bd3ff1f9198d4e7d95552c9a4c56ddc3301933cfc1396e24d18ca9c119c4e5b9	1a4a082aa02ca633afb256814a83ed192c433707c6618727c1eb51657a15d930
28	bo1-q9-r5-c000028	UNKNOWN	SAT	28076	1282366b9f3e9c4fd25e59be15b9637e0d56ffa91e29e5c8e31941995dbe14f2	1e4a082454a4c80f3bac09b2bd0a58492dd64781baa07a36227b933b8121b670
