code	zero	orbit_size	support	triples
20479	1	840	7	6
23551	1	5040	8	5
24575	0	840	8	6
27391	1	3360	8	4
27646	1	840	8	4
27647	0	2520	8	5
35839	1	5040	7	5
36863	0	840	7	6
38911	1	2520	8	5
39679	1	10080	8	4
39934	1	2520	8	4
39935	0	5040	8	5
43711	1	840	8	3
43759	1	3360	8	3
43775	0	3360	8	4
44030	0	840	8	4
51199	1	5040	7	6
51967	1	10080	7	5
52222	1	2520	7	5
52223	0	5040	7	6
55039	1	10080	8	5
55294	1	2520	8	5
55295	0	2520	8	6
55999	1	3360	8	4
56047	1	3360	8	4
56059	1	10080	8	4
56063	0	10080	8	5
56318	0	2520	8	5
60079	1	2520	8	3
60095	0	840	8	4
60143	0	3360	8	4
84991	1	2520	8	5
85759	1	10080	8	5
86014	1	2520	8	5
86015	0	2520	8	6
88063	1	1260	9	5
88831	1	10080	9	4
89086	1	2520	9	4
89087	0	2520	9	5
89599	1	5040	9	5
89791	1	5040	9	4
89839	1	5040	9	4
89851	1	5040	9	4
89854	1	10080	9	4
89855	0	10080	9	5
90109	1	2520	9	5
90110	0	2520	9	5
92863	1	1260	9	3
92911	1	5040	9	3
92926	1	5040	9	3
92927	0	5040	9	4
93181	1	1260	9	4
93182	0	1260	9	4
93934	1	1680	9	3
93935	0	1680	9	4
93946	1	1680	9	3
93947	0	1680	9	4
93949	1	5040	9	4
93950	0	5040	9	4
94204	1	2520	8	5
94205	0	2520	9	5
98300	0	420	8	6
100351	1	5040	8	5
101119	1	20160	8	4
101374	1	5040	8	4
101375	0	5040	8	5
101887	1	20160	8	5
102079	1	10080	8	4
102127	1	10080	8	4
102139	1	10080	8	4
102142	1	20160	8	4
102143	0	20160	8	5
102397	1	5040	8	5
102398	0	5040	8	5
104191	1	10080	9	4
104446	1	2520	9	4
104447	0	2520	9	5
104959	1	20160	9	4
105151	1	10080	9	3
105199	1	10080	9	3
105211	1	10080	9	3
105214	1	20160	9	3
105215	0	20160	9	4
105469	1	5040	9	4
105470	0	5040	9	4
105967	1	10080	9	4
105979	1	10080	9	4
105982	1	10080	9	4
105983	0	10080	9	5
106159	1	20160	9	3
106174	1	10080	9	3
106175	0	10080	9	4
106222	1	10080	9	3
106223	0	10080	9	4
106234	1	10080	9	3
106235	0	10080	9	4
106237	1	20160	9	4
106238	0	20160	9	4
106492	1	5040	8	5
106493	0	5040	9	5
109231	1	5040	9	2
109246	1	2520	9	2
109247	0	2520	9	3
109294	1	10080	9	2
109295	0	10080	9	3
109309	1	10080	9	3
109310	0	10080	9	3
109564	1	2520	8	4
109565	0	2520	9	4
110317	1	3360	9	3
110318	0	3360	9	3
110329	1	3360	9	3
110330	0	3360	9	3
110332	1	10080	8	4
110333	0	10080	9	4
110588	0	5040	8	5
115711	1	2520	7	6
116479	1	20160	8	5
116734	1	5040	8	5
116735	0	5040	8	6
117247	1	20160	8	5
117439	1	10080	8	4
117487	1	10080	8	4
117499	1	10080	8	4
117502	1	20160	8	4
117503	0	20160	8	5
117757	1	5040	8	5
117758	0	5040	8	5
118015	1	10080	7	6
118207	1	20160	8	5
118255	1	20160	8	5
118267	1	20160	8	5
118270	1	20160	8	5
118271	0	20160	8	6
118447	1	20160	8	4
118462	1	10080	8	4
118463	0	10080	8	5
118510	1	10080	8	4
118511	0	10080	8	5
118522	1	10080	8	4
118523	0	10080	8	5
118525	1	20160	8	5
118526	0	20160	8	5
118780	1	5040	7	6
118781	0	5040	8	6
120319	1	10080	9	5
120511	1	5040	9	4
120559	1	10080	9	4
120574	1	10080	9	4
120575	0	10080	9	5
120829	1	2520	9	5
120830	0	2520	9	5
121279	1	10080	9	4
121327	1	20160	9	4
121339	1	20160	9	4
121342	1	20160	9	4
121343	0	20160	9	5
121519	1	20160	9	3
121534	1	10080	9	3
121535	0	10080	9	4
121582	1	10080	9	3
121583	0	10080	9	4
121594	1	10080	9	3
121595	0	10080	9	4
121597	1	20160	9	4
121598	0	20160	9	4
121852	1	5040	8	5
121853	0	5040	9	5
122335	1	3360	9	5
122347	1	10080	9	4
122350	1	10080	9	4
122351	0	10080	9	5
122359	1	3360	9	5
122362	1	10080	9	4
122363	0	10080	9	5
122365	1	10080	9	5
122366	0	10080	9	5
122539	1	5040	9	3
122542	1	20160	9	3
122543	0	20160	9	4
122557	1	10080	9	4
122558	0	10080	9	4
122605	1	10080	9	4
122606	0	10080	9	4
122617	1	10080	9	4
122618	0	10080	9	4
122620	1	20160	8	5
122621	0	20160	9	5
122876	0	5040	8	6
125611	1	840	9	2
125614	1	5040	9	2
125615	0	5040	9	3
125629	1	2520	9	3
125630	0	2520	9	3
125677	1	10080	9	3
125678	0	10080	9	3
125692	1	10080	8	4
125693	0	10080	9	4
125948	0	2520	8	5
126700	1	3360	8	4
126701	0	3360	9	4
126712	1	3360	8	4
126713	0	3360	9	4
126716	0	10080	8	5
164863	1	1260	7	5
165631	1	10080	8	4
165886	1	2520	8	4
165887	0	2520	8	5
166399	1	10080	8	4
166591	1	5040	8	3
