counts_18_to_24	M	red_mask	orbit_size	kind	payload
0,0,1,42,0,0,0	220	0	1	primal	{"values":[[0,22],[1,20]]}
0,0,2,40,1,0,0	220	3	2	primal	{"values":[[0,13],[3,6],[5,8],[6,9],[7,4]]}
0,0,2,40,1,0,0	220	7	1	primal	{"values":[[0,8],[1,6],[2,6],[5,8],[6,8],[7,4]]}
0,0,3,40,0,0,0	219	3	3	primal	{"values":[[1,8],[2,9],[3,4],[4,13],[7,6]]}
0,0,3,40,0,0,0	219	7	1	primal	{"values":[[1,13],[2,9],[4,5],[5,4],[6,8],[7,1]]}
0,0,3,38,2,0,0	220	15	3	primal	{"values":[[2,2],[3,1],[4,2],[6,2],[9,2],[10,2],[12,6],[17,2],[18,5],[20,1],[22,2],[27,5],[29,6]]}
0,0,3,38,2,0,0	220	31	3	primal	{"values":[[2,1],[5,1],[6,1],[7,1],[9,1],[10,7],[12,3],[13,2],[17,3],[18,5],[20,5],[27,3],[29,5]]}
0,0,3,38,2,0,0	220	41	6	primal	{"values":[[0,1],[3,2],[4,7],[9,3],[10,2],[12,1],[15,1],[17,4],[18,3],[27,3],[29,4],[30,6],[31,1]]}
0,0,3,38,2,0,0	220	43	12	primal	{"values":[[2,3],[6,1],[9,3],[11,4],[12,5],[14,1],[17,4],[18,1],[20,7],[21,1],[27,4],[30,3],[31,1]]}
0,0,3,38,2,0,0	220	47	12	primal	{"values":[[0,1],[2,3],[10,4],[12,3],[13,5],[15,1],[17,5],[18,3],[20,4],[21,2],[27,3],[30,4]]}
0,0,3,38,2,0,0	220	58	6	primal	{"values":[[0,2],[1,1],[2,1],[4,2],[9,6],[12,2],[14,3],[18,2],[20,4],[21,3],[22,2],[27,8],[30,2]]}
0,0,3,38,2,0,0	220	59	6	primal	{"values":[[0,1],[1,3],[4,1],[9,1],[11,4],[12,7],[17,4],[18,4],[20,2],[21,2],[27,3],[30,6]]}
0,0,3,38,2,0,0	220	63	12	primal	{"values":[[3,1],[9,5],[10,3],[12,3],[14,5],[17,5],[18,3],[20,8],[23,1],[27,3],[31,1]]}
0,0,3,38,2,0,0	220	127	3	primal	{"values":[[3,1],[4,1],[9,5],[10,3],[12,3],[14,5],[17,5],[18,3],[20,7],[23,1],[27,3],[29,1]]}
0,0,3,38,2,0,0	220	171	6	primal	{"values":[[0,1],[1,3],[4,3],[10,1],[11,1],[12,5],[14,3],[17,2],[18,6],[20,2],[21,1],[27,6],[29,3],[31,1]]}
0,0,3,38,2,0,0	220	175	6	primal	{"values":[[0,1],[2,1],[4,3],[9,2],[10,2],[12,5],[14,2],[15,1],[17,5],[18,6],[20,1],[23,2],[27,3],[29,3],[30,1]]}
0,0,3,38,2,0,0	220	185	12	primal	{"values":[[0,6],[1,1],[4,2],[11,4],[12,4],[18,5],[21,4],[27,4],[29,4],[30,3],[31,1]]}
0,0,3,38,2,0,0	220	187	6	primal	{"values":[[0,4],[5,1],[9,4],[10,4],[12,4],[17,1],[18,1],[19,3],[20,7],[23,1],[27,4],[30,1],[31,3]]}
0,0,3,38,2,0,0	220	191	6	primal	{"values":[[1,4],[9,3],[10,5],[12,5],[18,6],[20,3],[21,6],[27,3],[30,3]]}
0,0,3,38,2,0,0	220	207	6	primal	{"values":[[0,3],[3,3],[5,2],[9,4],[10,2],[11,1],[12,3],[17,1],[18,3],[20,6],[27,3],[29,1],[30,5],[31,1]]}
0,0,3,38,2,0,0	220	223	6	primal	{"values":[[0,5],[9,4],[10,1],[12,1],[14,6],[15,1],[17,4],[18,4],[20,4],[23,1],[27,3],[29,3],[30,1]]}
0,0,3,38,2,0,0	220	255	6	primal	{"values":[[0,2],[6,4],[9,5],[10,3],[12,2],[13,2],[17,5],[18,3],[20,5],[27,3],[29,1],[30,3]]}
0,0,3,38,2,0,0	220	511	1	primal	{"values":[[1,2],[9,5],[10,5],[12,2],[13,3],[14,2],[17,2],[18,7],[20,5],[21,3],[27,1],[30,1]]}
0,0,3,38,2,0,0	220	639	3	primal	{"values":[[0,2],[3,2],[9,3],[10,5],[12,2],[13,2],[15,3],[17,5],[18,3],[20,7],[29,1],[30,3]]}
0,0,3,38,2,0,0	220	719	6	primal	{"values":[[4,6],[9,3],[10,2],[11,2],[12,4],[14,2],[17,5],[18,6],[19,2],[29,2],[30,2],[31,2]]}
0,0,3,38,2,0,0	220	735	6	primal	{"values":[[0,3],[3,1],[9,3],[10,5],[12,4],[13,3],[17,1],[18,5],[20,3],[21,4],[22,2],[27,3],[31,1]]}
0,0,3,38,2,0,0	220	767	6	primal	{"values":[[2,1],[4,2],[7,2],[9,3],[10,3],[11,2],[12,5],[13,1],[17,6],[18,6],[20,3],[29,2],[30,2]]}
0,0,4,38,1,0,0	219	93	12	primal	{"values":[[1,2],[2,2],[4,4],[5,1],[7,3],[8,1],[9,5],[19,2],[22,4],[23,1],[25,2],[26,4],[27,1],[28,6]]}
0,0,4,38,1,0,0	219	95	24	primal	{"values":[[1,1],[2,3],[4,3],[7,2],[8,5],[9,2],[10,1],[15,1],[19,2],[21,2],[22,6],[25,6],[28,2],[30,2]]}
0,0,4,38,1,0,0	219	126	6	primal	{"values":[[3,3],[4,8],[8,4],[13,1],[14,2],[19,3],[21,3],[22,2],[23,1],[25,5],[26,5],[31,1]]}
0,0,4,38,1,0,0	219	127	6	primal	{"values":[[1,1],[2,3],[4,1],[5,3],[6,2],[8,3],[9,2],[10,3],[19,2],[21,2],[22,6],[25,6],[28,4]]}
0,0,4,38,1,0,0	219	219	12	primal	{"values":[[1,5],[2,2],[4,6],[10,3],[12,2],[21,2],[22,1],[23,3],[25,3],[26,7],[27,1],[29,3]]}
0,0,4,38,1,0,0	219	221	12	primal	{"values":[[1,3],[3,4],[4,3],[6,3],[9,1],[10,3],[12,1],[19,3],[21,4],[25,2],[26,4],[28,7]]}
0,0,4,38,1,0,0	219	223	24	primal	{"values":[[1,3],[2,5],[5,1],[8,1],[11,1],[12,7],[19,3],[21,4],[22,4],[25,4],[26,4],[28,1]]}
0,0,4,38,1,0,0	219	254	6	primal	{"values":[[1,1],[2,2],[3,2],[4,5],[8,3],[9,5],[19,2],[21,4],[22,5],[26,3],[27,3],[28,3]]}
0,0,4,38,1,0,0	219	255	6	primal	{"values":[[1,7],[2,6],[12,3],[13,1],[14,1],[21,7],[22,1],[26,7],[27,1],[28,4]]}
0,0,4,38,1,0,0	219	351	12	primal	{"values":[[2,3],[3,3],[4,6],[9,7],[19,2],[21,2],[22,3],[26,5],[27,1],[28,5],[29,1]]}
0,0,4,38,1,0,0	219	382	12	primal	{"values":[[1,5],[4,4],[6,4],[8,3],[11,3],[19,3],[21,3],[22,1],[25,2],[26,5],[28,4],[31,1]]}
0,0,4,38,1,0,0	219	383	12	primal	{"values":[[1,4],[2,4],[4,1],[6,4],[8,3],[13,3],[19,2],[21,2],[22,3],[25,5],[26,3],[28,4]]}
0,0,4,38,1,0,0	219	495	12	primal	{"values":[[1,4],[2,5],[4,3],[5,1],[8,2],[9,3],[12,1],[21,3],[22,5],[25,1],[26,3],[27,3],[28,3],[31,1]]}
0,0,4,38,1,0,0	219	511	4	primal	{"values":[[1,7],[2,3],[4,1],[7,1],[8,4],[14,3],[19,3],[21,3],[22,3],[25,2],[26,3],[28,5]]}
0,0,4,38,1,0,0	219	894	3	primal	{"values":[[1,2],[2,7],[5,5],[8,3],[11,2],[12,1],[19,1],[21,3],[22,3],[25,3],[26,3],[28,4],[31,1]]}
0,0,4,38,1,0,0	219	895	6	primal	{"values":[[1,3],[2,1],[3,4],[5,2],[6,4],[8,6],[19,1],[21,3],[22,3],[25,3],[26,3],[28,5]]}
0,0,4,37,1,1,0	220	2367	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	2431	24	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	2559	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	2911	12	dual	{"lambda":[0,0,0,0,-1,1,2],"roots":[[9,22,1],[16,40,1],[34,1,1],[35,0,2],[36,0,1],[37,2,1]]}
0,0,4,37,1,1,0	220	2943	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	3071	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	4095	4	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	6455	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	6463	12	dual	{"lambda":[0,0,0,0,-1,1,1],"roots":[[16,40,1],[35,0,1],[37,0,1],[38,0,1]]}
0,0,4,37,1,1,0	220	6518	12	dual	{"lambda":[0,0,0,0,-1,1,2],"roots":[[16,40,1],[33,0,1],[34,4,1],[36,19,1],[37,0,1],[38,0,1],[38,1,1]]}
