counts_18_to_24	M	input_cores	orbits	primal_cores	dual_cores	split_cores	removed_splits
0,0,1,42,0,0,0	220	1	1	1	0	0	0
0,0,2,40,1,0,0	220	3	2	3	0	0	0
0,0,3,40,0,0,0	219	4	2	4	0	0	0
0,0,3,38,2,0,0	220	139	22	139	0	0	0
0,0,4,38,1,0,0	219	169	16	169	0	0	0
0,0,4,37,1,1,0	220	242	20	0	242	0	4
0,0,5,38,0,0,0	218	252	10	252	0	0	0
0,0,5,37,0,1,0	219	150	5	0	150	0	2
0,1,2,39,1,0,0	219	2	2	0	2	0	3
0,1,2,37,3,0,0	220	357	50	90	267	0	0
0,1,3,39,0,0,0	218	7	3	1	6	0	0
0,1,3,37,2,0,0	219	590	75	411	179	0	0
0,1,4,37,1,0,0	218	1052	79	864	184	4	0
0,1,5,37,0,0,0	217	1777	34	1687	90	0	0
0,2,1,38,2,0,0	219	8	3	0	8	0	3
0,2,2,38,1,0,0	218	10	3	0	10	0	3
0,2,3,38,0,0,0	217	37	5	6	31	0	0
