orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1000,680,680,0,0,1405245,1405233,1404565,12,9315,2499035
1001,268,268,0,0,709127,709111,708859,16,7063,2087104
1002,388,388,0,0,1012468,1012445,1012080,23,7834,2236861
1003,336,336,0,0,977141,977124,976805,17,7212,2305340
1004,141,141,0,0,390481,390475,390340,6,6077,1812780
1005,434,434,0,0,905071,905064,904637,7,8448,2321864
1006,595,595,0,0,1107319,1107302,1106724,17,10428,2461009
1007,493,493,0,0,954236,954225,953743,11,6653,2422664
1008,937,937,0,0,1806388,1806358,1805451,30,9729,2827006
1009,246,246,0,0,861337,861322,861091,15,11441,2000271
1010,465,465,0,0,871900,871888,871435,12,7479,2301575
1011,785,785,0,0,1620649,1620612,1619864,37,10005,2639147
1012,414,414,0,0,838115,838101,837701,14,6242,2293894
1013,639,639,0,0,1120371,1120363,1119732,8,8074,2487029
1014,210,210,0,0,535410,535402,535200,8,6677,1912355
1015,245,245,0,0,700689,700673,700444,16,10197,1980758
1016,657,657,0,0,1281978,1281957,1281321,21,8679,2463206
1017,222,222,0,0,763055,763029,762833,26,10081,1947674
1018,455,455,0,0,1018166,1018149,1017711,17,7332,2367241
1019,401,401,0,0,870297,870286,869896,11,7277,2242974
1020,310,310,0,0,802174,802165,801864,9,7771,2245845
1021,350,350,0,0,737946,737936,737596,10,6924,2086262
1022,713,713,0,0,1128774,1128763,1128061,11,6463,2634062
1023,270,270,0,0,743913,743896,743643,17,7762,2144837
1024,402,402,0,0,1055120,1055094,1054718,26,9419,2274946
1025,559,559,0,0,1043231,1043220,1042672,11,6186,2516517
1026,296,296,0,0,554184,554180,553888,4,7067,2284085
1027,442,442,0,0,1466194,1466157,1465752,37,16863,2334308
1028,424,424,0,0,924582,924562,924158,20,8102,2312405
1029,764,764,0,0,1347384,1347371,1346620,13,6764,2628103
1030,470,470,0,0,1235804,1235780,1235334,24,9171,2317793
1031,669,669,0,0,1646148,1646114,1645479,34,10160,2537499
1032,948,948,0,0,1904047,1904018,1903099,29,9369,2853851
1033,398,398,0,0,809147,809134,808749,13,6138,2365456
1034,411,411,0,0,1187052,1187027,1186641,25,8808,2222019
1035,169,169,0,0,396458,396455,396289,3,6170,1933700
1036,449,449,0,0,1183179,1183143,1182730,36,9669,2263856
1037,427,427,0,0,874911,874905,874484,6,7579,2323951
1038,741,741,0,0,1237228,1237204,1236487,24,6649,2596671
1039,769,769,0,0,1351024,1351004,1350255,20,7351,2627231
1040,419,419,0,0,770608,770599,770189,9,6340,2323061
1041,330,330,0,0,801465,801448,801135,17,7269,2181840
1042,427,427,0,0,769663,769654,769236,9,8203,2393454
1043,300,300,0,0,774115,774106,773815,9,8844,2327731
1044,432,432,0,0,900732,900718,900300,14,9467,2410818
1045,557,557,0,0,935462,935454,934905,8,8293,2575826
1046,273,273,0,0,923941,923922,923668,19,11083,2137360
1047,551,551,0,0,1013971,1013960,1013420,11,5983,2555303
1048,151,151,0,0,415289,415285,415138,4,5677,2027297
1049,462,462,0,0,1083731,1083715,1083269,16,8986,2280871
1050,324,324,0,0,824567,824560,824243,7,8655,2133347
1051,340,340,0,0,659489,659486,659149,3,6926,2335532
1052,361,361,0,0,763774,763765,763413,9,7057,2243806
1053,718,718,0,0,1500129,1500100,1499411,29,10047,2678852
1054,705,705,0,0,1327711,1327689,1327006,22,9729,2577447
1055,829,829,0,0,1616652,1616624,1615823,28,8918,2768018
1056,399,399,0,0,671015,671006,670616,9,6066,2281309
1057,585,585,0,0,918342,918332,917757,10,6242,2567844
1058,356,356,0,0,760528,760517,760172,11,6404,2255240
1059,254,254,0,0,654079,654074,653825,5,8299,2110543
1060,371,371,0,0,986409,986381,986038,28,9246,2176602
1061,228,228,0,0,507894,507891,507666,3,5327,2026528
1062,428,428,0,0,1237306,1237276,1236878,30,10018,2273119
1063,480,480,0,0,1307341,1307308,1306861,33,11937,2216010
1064,153,153,0,0,407279,407274,407126,5,7407,1844129
1065,378,378,0,0,841058,841050,840680,8,8147,2240162
1066,773,773,0,0,1292747,1292726,1291974,21,8148,2700607
1067,868,868,0,0,1599315,1599292,1598447,23,8688,2800168
1068,424,424,0,0,1000401,1000389,999977,12,7874,2356566
1069,404,404,0,0,1155982,1155955,1155578,27,9780,2276653
1070,430,430,0,0,644620,644613,644190,7,5684,2409882
1071,426,426,0,0,1148181,1148157,1147755,24,9241,2323362
1072,554,554,0,0,1177279,1177260,1176725,19,8014,2322043
1073,359,359,0,0,966542,966520,966183,22,8930,2128901
1074,279,279,0,0,752291,752276,752012,15,8064,2171895
1075,196,196,0,0,548581,548573,548385,8,7619,1924191
1076,380,380,0,0,818430,818414,818050,16,7989,2242278
1077,287,287,0,0,487073,487068,486786,5,5168,2258261
1078,527,527,0,0,703358,703354,702831,4,5276,2481957
1079,566,566,0,0,1115707,1115696,1115141,11,7946,2472855
1080,184,184,0,0,430511,430507,430327,4,5905,1888727
1081,394,394,0,0,681385,681379,680991,6,6738,2305173
1082,267,267,0,0,773170,773160,772903,10,8747,2169640
