orbit,packings,calls,queries,options,leaves,found
0,12072,5296536,5288761,5284464,7775,0
1,11246,3440601,3436948,3429355,3653,0
2,14949,4207172,4202098,4192223,5074,0
3,17554,4682881,4676383,4665327,6498,0
4,17066,2400259,2398740,2383193,1519,0
5,14501,4495354,4489516,4480853,5838,0
6,13873,4497204,4491674,4483331,5530,0
7,44056,3862934,3860986,3818878,1948,0
8,17115,3685709,3682406,3668594,3303,0
9,30056,3138765,3137270,3108709,1495,0
10,18920,3496068,3493894,3477148,2174,0
11,36215,3419953,3418212,3383738,1741,0
12,41567,4204655,4202449,4163088,2206,0
13,44599,3925427,3923343,3880828,2084,0
14,47763,4490919,4488415,4443156,2504,0
15,15799,3661971,3658076,3646172,3895,0
16,25382,3508479,3506452,3483097,2027,0
17,10230,1578322,1577532,1568092,790,0
18,30273,3273915,3272339,3243642,1576,0
19,25987,3201807,3200123,3175820,1684,0
20,14748,2162465,2161089,2147717,1376,0
21,13181,1699208,1698427,1686027,781,0
22,27474,2881735,2880322,2854261,1413,0
23,20224,2545922,2544627,2525698,1295,0
24,24632,2145715,2144737,2121083,978,0
25,20735,2798688,2797272,2777953,1416,0
26,21870,2167110,2165891,2145240,1219,0
27,25215,2567992,2566935,2542777,1057,0
28,23570,2335404,2334416,2311834,988,0
29,3871,662777,662527,658906,250,0
30,28431,2038838,2038099,2010407,739,0
31,13049,1502477,1501839,1489428,638,0
32,25771,2033207,2032262,2007436,945,0
33,5254,680694,680402,675440,292,0
34,15527,1899422,1898519,1883895,903,0
35,24653,2040823,2040194,2016170,629,0
36,11680,1229433,1228853,1217753,580,0
37,28743,1897456,1896818,1868713,638,0
38,10253,863223,862998,852970,225,0
39,20819,1537178,1536814,1516359,364,0
40,12098,1266975,1266554,1254877,421,0
41,28635,1629200,1628667,1600565,533,0
42,13437,1232794,1232342,1219357,452,0
43,16956,1195604,1195233,1178648,371,0
44,16592,1040069,1039769,1023477,300,0
45,13453,1021195,1020962,1007742,233,0
46,8410,541883,541781,533473,102,0
47,3224,396275,396123,393051,152,0
48,26794,1429820,1429442,1403026,378,0
49,7738,550124,549999,542386,125,0
50,15127,962258,961994,947131,264,0
51,7063,473983,473872,466920,111,0
52,7901,541067,540943,533166,124,0
53,3233,388276,388150,385043,126,0
54,9633,734120,733970,724487,150,0
55,14411,953034,952774,938623,260,0
56,8154,649404,649218,641250,186,0
57,12884,628181,628056,615297,125,0
58,12426,998387,998060,985961,327,0
59,2244,315404,315289,313160,115,0
60,7646,596826,596688,589180,138,0
61,3167,290055,289983,286888,72,0
62,17644,980282,980074,962638,208,0
63,21916,1105563,1105284,1083647,279,0
64,14697,831887,831737,817190,150,0
65,12439,578020,577928,565581,92,0
66,11414,613618,613519,602204,99,0
67,3560,392670,392552,389110,118,0
68,11980,635929,635800,623949,129,0
69,9372,447478,447429,438106,49,0
70,14077,778031,777896,763954,135,0
71,7738,430371,430300,422633,71,0
72,5674,426210,426109,420536,101,0
73,26207,1012415,1012207,986208,208,0
74,19053,679081,679003,660028,78,0
