orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
0,25561,20,42455,117499,25561,0,20,42455,117499,0
1,19866,10,25484,83175,19866,0,10,25484,83175,0
2,22438,20,39124,111975,22438,0,20,39124,111975,0
3,20663,13,20497,74107,20663,0,13,20497,74107,0
4,28730,15,29869,103306,28730,0,15,29869,103306,0
5,29272,12,28543,96903,29272,0,12,28543,96903,0
6,55466,13,23374,119655,55466,0,13,23374,119655,0
7,109034,21,32001,178462,109034,0,21,32001,178462,0
8,40436,17,31748,130918,40436,0,17,31748,130918,0
9,30282,5,14549,71483,30282,0,5,14549,71483,0
10,30099,14,31778,111830,30099,0,14,31778,111830,0
11,130550,13,29102,193922,130550,0,13,29102,193922,0
12,32033,11,20798,88253,32033,0,11,20798,88253,0
13,31480,13,33767,112727,31480,0,13,33767,112727,0
14,90103,12,28631,166867,90103,0,12,28631,166867,0
15,53659,10,26427,137051,53659,0,10,26427,137051,0
16,90227,12,25969,158250,90227,0,12,25969,158250,0
17,35907,5,22257,100695,35907,0,5,22257,100695,0
18,120126,10,31261,190898,120126,0,10,31261,190898,0
19,27996,3,8348,55302,27996,0,3,8348,55302,0
20,31895,5,13274,74832,31895,0,5,13274,74832,0
21,38412,10,19284,95160,38412,0,10,19284,95160,0
22,50510,7,21614,108758,50510,0,7,21614,108758,0
23,56071,3,9749,74743,56071,0,3,9749,74743,0
24,65578,4,12020,87546,65578,0,4,12020,87546,0
25,17967,3,7313,44258,17967,0,3,7313,44258,0
26,114946,13,30338,189977,114946,0,13,30338,189977,0
27,55456,5,17409,107254,55456,0,5,17409,107254,0
28,58206,5,18044,117087,58206,0,5,18044,117087,0
29,51628,5,12705,81161,51628,0,5,12705,81161,0
30,20638,3,8191,49650,20638,0,3,8191,49650,0
31,64760,4,18904,122657,64760,0,4,18904,122657,0
32,50467,1,9437,66589,50467,0,1,9437,66589,0
33,68819,8,18397,127039,68819,0,8,18397,127039,0
34,6538,1,3500,19497,6538,0,1,3500,19497,0
35,69761,10,16341,117512,69761,0,10,16341,117512,0
36,5436,1,3234,17381,5436,0,1,3234,17381,0
37,30814,7,12161,67869,30814,0,7,12161,67869,0
38,41070,3,12232,83132,41070,0,3,12232,83132,0
39,66434,1,11516,96286,66434,0,1,11516,96286,0
40,50334,4,9928,80264,50334,0,4,9928,80264,0
41,59076,1,8261,71442,59076,0,1,8261,71442,0
42,27602,5,7194,51011,27602,0,5,7194,51011,0
43,24132,1,7509,48790,24132,0,1,7509,48790,0
44,9458,0,3426,22821,9458,0,0,3426,22821,0
45,58579,2,7728,67864,58579,0,2,7728,67864,0
46,19057,1,3894,31595,19057,0,1,3894,31595,0
47,15701,0,3785,29463,15701,0,0,3785,29463,0
48,43851,2,9133,71922,43851,0,2,9133,71922,0
49,17892,0,3930,29923,17892,0,0,3930,29923,0
50,10101,0,2636,19898,10101,0,0,2636,19898,0
51,12315,0,2096,18847,12315,0,0,2096,18847,0
52,10773,0,1964,17121,10773,0,0,1964,17121,0
53,11934,1,1716,16781,11934,0,1,1716,16781,0
54,4899,1,1261,10338,4899,0,1,1261,10338,0
55,16009,0,2262,22604,16009,0,0,2262,22604,0
56,1669,0,812,5293,1669,0,0,812,5293,0
57,9637,0,1576,14147,9637,0,0,1576,14147,0
58,26027,1,4283,39551,26027,0,1,4283,39551,0
59,3172,0,1071,7685,3172,0,0,1071,7685,0
60,19166,0,1980,22122,19166,0,0,1980,22122,0
61,21039,1,3417,30329,21039,0,1,3417,30329,0
62,24687,0,3569,32474,24687,0,0,3569,32474,0
63,1735,0,885,5205,1735,0,0,885,5205,0
64,32578,0,3438,36880,32578,0,0,3438,36880,0
65,17074,0,2499,24121,17074,0,0,2499,24121,0
66,34105,1,3536,39477,34105,0,1,3536,39477,0
67,3006,0,974,7092,3006,0,0,974,7092,0
68,12584,0,1424,15288,12584,0,0,1424,15288,0
69,15923,0,2310,23300,15923,0,0,2310,23300,0
70,3999,1,879,7622,3999,0,1,879,7622,0
71,48837,0,4389,48855,48837,0,0,4389,48855,0
72,4641,0,792,7859,4641,0,0,792,7859,0
73,13575,0,2463,23292,13575,0,0,2463,23292,0
74,18185,0,1529,19968,18185,0,0,1529,19968,0
75,21518,0,2571,27131,21518,0,0,2571,27131,0
76,16824,0,2909,25034,16824,0,0,2909,25034,0
77,17542,0,2047,21149,17542,0,0,2047,21149,0
78,16033,0,2390,22925,16033,0,0,2390,22925,0
79,18215,0,1630,20677,18215,0,0,1630,20677,0
80,40164,0,3104,36579,40164,0,0,3104,36579,0
81,25119,0,2563,28855,25119,0,0,2563,28855,0
82,11095,0,2059,18767,11095,0,0,2059,18767,0
83,11027,0,1054,12988,11027,0,0,1054,12988,0
84,22290,1,1530,21169,22290,0,1,1530,21169,0
85,15671,0,1356,16354,15671,0,0,1356,16354,0
86,14028,1,1422,16879,14028,0,1,1422,16879,0
87,10076,0,1096,12887,10076,0,0,1096,12887,0
