orbit,packings
0,77388
1,65913
2,62011
3,77938
4,103339
5,97989
6,132126
7,205990
8,99106
9,77466
10,94362
11,237826
12,94961
13,94203
14,196327
15,130882
16,184218
17,95730
18,233602
19,76763
20,79697
21,91601
22,104213
23,117138
24,149016
25,47497
26,230331
27,132841
28,142105
29,113060
30,48416
31,139050
32,126750
33,151949
34,31583
35,139346
36,25089
37,90554
38,91721
39,120218
40,147491
41,159058
42,80124
43,84795
44,45078
45,161358
46,67421
47,71129
48,138128
49,78313
50,38863
51,59499
52,40834
53,39671
54,26887
55,46818
56,17657
57,47267
58,100819
59,22582
60,66725
61,91343
62,95779
63,18830
64,104618
65,58970
66,90631
67,28235
68,50828
69,47199
70,20570
71,158058
72,26784
73,63465
74,55320
75,72258
76,69626
77,86310
78,58518
79,66194
80,148546
81,91374
82,46386
83,38946
84,68022
85,63252
86,63024
87,44633
88,49322
89,21127
90,25602
91,68611
92,55985
93,39444
94,13231
95,94061
96,29155
97,89554
98,122721
99,45965
100,101466
101,51344
102,90004
103,94881
104,73973
105,18210
106,63722
107,130563
108,58706
109,142760
110,98124
111,80656
112,39930
113,41187
114,76363
115,49602
116,19330
117,75888
118,38746
119,79879
120,61135
121,52565
122,146351
123,33010
124,69048
125,102988
126,54475
127,27806
128,84050
129,63219
130,95835
131,30733
132,37891
133,146309
134,65248
135,49351
136,113063
137,59365
138,58147
139,30407
140,48330
141,46433
142,18755
143,43907
144,78774
145,153899
146,53036
147,66662
148,74568
149,64949
150,18362
151,124765
152,82593
153,58601
154,90892
155,84663
156,138443
157,166173
158,129034
159,109614
160,32084
161,70069
162,20807
163,50422
164,87404
165,132935
166,45837
167,54733
168,57087
169,40740
170,45346
171,103470
172,88454
173,104635
174,15673
175,70883
176,145554
177,78445
178,64751
179,79158
180,25170
181,76504
182,61663
183,23283
184,27011
185,92184
186,24912
187,88464
188,94598
189,92581
190,72547
191,94196
192,118010
193,74167
194,125578
195,53982
196,139528
197,39460
198,57934
199,142787
200,115416
201,110510
202,109326
203,62249
204,112413
205,130115
206,91465
207,144025
208,76375
209,41880
210,43697
211,118008
212,110707
213,130979
214,59066
215,84874
216,66788
217,99211
218,88906
219,32238
220,23556
221,38612
222,15898
223,69317
224,52756
225,114893
226,31118
227,133129
228,45517
229,49242
230,48429
231,72041
232,78715
233,141113
234,121792
235,75360
236,30621
237,43194
238,49679
239,122963
240,36455
241,66748
242,30816
243,61276
244,24092
245,149006
246,33164
247,85433
248,26034
249,17575
250,113982
251,69718
252,107632
253,107797
254,79716
255,61977
256,20897
257,39154
258,47217
259,85396
260,73536
261,64726
262,29807
263,19602
264,44533
265,67792
266,72642
267,73232
268,42388
269,64311
270,62039
271,30446
272,58933
273,154308
274,71304
275,83219
276,24687
277,43978
278,99251
279,106395
280,72070
281,84035
282,65113
283,45255
284,40713
285,105083
286,34949
287,22599
288,105033
289,43372
290,81035
291,22847
292,35247
293,66454
294,119707
295,113994
296,42315
297,22474
298,19244
299,45070
300,32531
301,37823
302,27807
303,116793
304,74395
305,101082
306,28842
307,34679
308,78342
309,19377
310,69131
311,113931
312,85025
313,23988
314,125971
315,66256
316,115991
317,52161
318,7933
319,24757
320,136517
321,34628
322,71746
323,98693
324,21806
325,10031
326,14816
327,75023
328,128593
329,39995
330,62174
331,114277
332,44162
333,98148
334,42428
335,29729
336,3884
337,65574
338,40676
339,72880
340,61027
341,77604
342,7290
343,23697
344,82068
345,22250
346,135565
347,116636
348,75368
349,30012
350,22524
351,49905
352,118302
353,141304
354,29898
355,18041
356,83363
357,34423
358,29083
359,40442
360,34754
361,65169
362,17423
363,41730
364,37081
365,110654
366,79705
367,11503
368,44825
369,55123
370,121292
371,57646
372,78317
373,65380
374,34603
375,91306
376,53155
377,66973
378,128228
379,47917
380,56434
381,99291
382,41940
383,95726
384,68046
385,78770
386,35167
387,70776
388,36432
389,30576
390,44181
391,35264
392,32576
393,49670
394,49719
395,26850
396,26054
397,58108
398,54890
399,35671
400,62883
401,71219
402,40472
403,49426
404,102819
405,24014
406,115635
407,82296
408,25951
409,38176
410,37846
411,60811
412,16737
413,43517
414,50526
415,25861
416,36205
417,58397
418,40744
419,31803
420,86393
421,38678
422,60959
423,87429
424,52894
425,35979
426,35664
427,74820
428,28799
429,43876
430,35579
431,29365
432,82215
433,37270
434,56721
435,21906
436,41577
437,30490
438,28062
439,43632
440,114137
441,12294
442,67008
443,31079
444,43714
445,63975
446,25853
447,97960
448,26143
449,14881
450,15410
451,27266
452,21919
453,29604
454,14419
455,36858
456,40156
457,29794
458,43717
459,12326
460,9561
461,30218
462,52594
463,22052
464,24065
465,46870
466,49098
467,72767
468,52492
469,19548
470,34375
471,45176
472,8682
473,35052
474,32315
475,37912
476,40039
477,9915
478,53933
479,11783
480,54576
481,26017
482,31168
483,17468
484,42791
485,53750
486,49284
487,9797
488,27113
489,24462
490,75819
491,40960
492,59398
493,85038
494,22381
495,11009
496,52563
497,21866
498,24452
499,16078
500,16930
501,8991
502,30762
503,15350
504,11101
505,10756
506,50715
507,12825
508,33555
509,47841
510,27121
511,49511
512,60869
513,8442
514,60960
515,14276
516,56294
517,48231
518,74374
519,13746
520,11234
521,52095
522,41418
523,35711
524,56284
525,23140
526,16786
527,34010
528,68681
529,32880
530,45843
531,46481
532,3230
533,14581
534,39605
535,80479
536,27004
537,30488
538,36233
539,100116
540,16415
541,73095
542,27502
543,12573
544,10237
545,14471
546,29735
547,16101
548,24895
549,32434
550,55269
551,7083
