orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
0,360242,0,290,34915,360242,0,0,290,34915,0
1,243245,0,205,29030,243245,0,0,205,29030,0
2,307471,1,326,32340,307471,0,1,326,32340,0
3,276390,0,167,31243,276390,0,0,167,31243,0
4,514092,0,178,48705,514092,0,0,178,48705,0
5,260154,0,367,31711,260154,0,0,367,31711,0
6,305417,0,185,33298,305417,0,0,185,33298,0
7,663378,0,158,46644,663378,0,0,158,46644,0
8,826995,0,223,63862,826995,0,0,223,63862,0
9,414154,0,165,32609,414154,0,0,165,32609,0
10,360012,0,221,37208,360012,0,0,221,37208,0
11,351188,0,252,38906,351188,0,0,252,38906,0
12,330636,0,89,23117,330636,0,0,89,23117,0
13,427032,0,134,29871,427032,0,0,134,29871,0
14,850562,0,142,60873,850562,0,0,142,60873,0
15,543269,0,163,39034,543269,0,0,163,39034,0
16,250361,0,63,16539,250361,0,0,63,16539,0
17,442966,0,151,36773,442966,0,0,151,36773,0
18,523245,0,143,34189,523245,0,0,143,34189,0
19,399306,0,223,38598,399306,0,0,223,38598,0
20,370341,0,214,32932,370341,0,0,214,32932,0
21,939604,0,148,62458,939604,0,0,148,62458,0
22,311738,0,137,28138,311738,0,0,137,28138,0
23,440191,1,164,44789,440191,0,1,164,44789,0
24,833594,0,127,53570,833594,0,0,127,53570,0
25,576825,0,122,39633,576825,0,0,122,39633,0
26,653093,0,156,48494,653093,0,0,156,48494,0
27,359718,0,181,33897,359718,0,0,181,33897,0
28,45238,0,41,5210,45238,0,0,41,5210,0
29,100455,0,35,7821,100455,0,0,35,7821,0
30,870264,0,148,60017,870264,0,0,148,60017,0
31,217910,0,70,15164,217910,0,0,70,15164,0
32,630588,0,146,48858,630588,0,0,146,48858,0
33,253471,0,53,15664,253471,0,0,53,15664,0
34,301463,0,72,21645,301463,0,0,72,21645,0
35,443390,0,138,31161,443390,0,0,138,31161,0
36,375287,0,106,29677,375287,0,0,106,29677,0
37,594296,0,169,48484,594296,0,0,169,48484,0
38,162367,0,48,10825,162367,0,0,48,10825,0
39,325334,0,56,23112,325334,0,0,56,23112,0
40,433221,0,132,38748,433221,0,0,132,38748,0
41,480277,0,126,43027,480277,0,0,126,43027,0
42,476890,0,92,25356,476890,0,0,92,25356,0
43,402543,0,111,38031,402543,0,0,111,38031,0
44,576974,0,172,47153,576974,0,0,172,47153,0
45,472113,0,141,37857,472113,0,0,141,37857,0
46,124412,0,22,8230,124412,0,0,22,8230,0
47,402872,0,144,40170,402872,0,0,144,40170,0
48,287789,0,66,21604,287789,0,0,66,21604,0
49,317655,0,85,26685,317655,0,0,85,26685,0
50,81600,0,32,6935,81600,0,0,32,6935,0
51,458487,0,103,35584,458487,0,0,103,35584,0
52,138650,0,27,8247,138650,0,0,27,8247,0
53,445484,0,60,22268,445484,0,0,60,22268,0
54,171369,0,32,13901,171369,0,0,32,13901,0
55,197094,0,46,15088,197094,0,0,46,15088,0
56,119540,0,49,11479,119540,0,0,49,11479,0
57,130794,0,28,8713,130794,0,0,28,8713,0
58,231526,0,56,20351,231526,0,0,56,20351,0
59,194769,0,56,16412,194769,0,0,56,16412,0
60,215699,0,52,15419,215699,0,0,52,15419,0
61,201754,0,34,13882,201754,0,0,34,13882,0
62,79983,0,20,6634,79983,0,0,20,6634,0
