orbit,weight,global_packings,anchored_packings,both_orientations,reflection_fixed,status
0,1999990,720484,360242,0,0,unresolved
1,1999989,486490,243245,0,0,unresolved
2,1999989,613874,307471,1068,14,unresolved
3,1999989,552780,276390,0,0,unresolved
4,1999988,1028184,514092,0,0,unresolved
5,1999988,519373,260154,935,13,unresolved
6,1999988,610834,305417,0,0,unresolved
7,1999987,1326756,663378,0,0,unresolved
8,1999987,1653990,826995,0,0,unresolved
9,1999987,826254,414154,2054,24,unresolved
10,1999987,717727,360012,2297,35,unresolved
11,1999987,700039,351188,2337,27,unresolved
12,1999987,661272,330636,0,0,unresolved
13,1999986,850891,427032,3173,25,unresolved
14,1999986,1701124,850562,0,0,unresolved
15,1999986,1086538,543269,0,0,unresolved
16,1999571,500722,250361,0,0,unresolved
17,1999350,883008,442966,2924,20,unresolved
18,1999335,1046490,523245,0,0,unresolved
19,1999090,795967,399306,2645,25,unresolved
20,1999090,740682,370341,0,0,unresolved
21,1999066,1879208,939604,0,0,unresolved
22,1998950,623476,311738,0,0,unresolved
23,1998666,880382,440191,0,0,unresolved
24,1997804,1667188,833594,0,0,unresolved
25,1997664,1150000,576825,3650,32,unresolved
26,1997501,1306186,653093,0,0,unresolved
27,1997442,717597,359718,1839,29,unresolved
28,1997306,90476,45238,0,0,unresolved
29,1997295,200910,100455,0,0,unresolved
30,1996885,1740528,870264,0,0,unresolved
31,1996283,435308,217910,512,10,unresolved
32,1996180,1261176,630588,0,0,unresolved
33,1995909,506942,253471,0,0,unresolved
34,1995646,600959,301463,1967,23,unresolved
35,1995640,886780,443390,0,0,unresolved
36,1995638,750574,375287,0,0,unresolved
37,1995385,1188592,594296,0,0,unresolved
38,1995249,324734,162367,0,0,unresolved
39,1995097,649157,325334,1511,25,unresolved
40,1994925,866442,433221,0,0,unresolved
41,1994915,955665,480277,4889,37,unresolved
42,1994757,949023,476890,4757,39,unresolved
43,1994708,802865,402543,2221,21,unresolved
44,1994390,1149205,576974,4743,43,unresolved
45,1994336,940431,472113,3795,29,unresolved
46,1993334,248824,124412,0,0,unresolved
47,1992921,805744,402872,0,0,unresolved
48,1992517,575578,287789,0,0,unresolved
49,1991174,635310,317655,0,0,unresolved
50,1991019,163200,81600,0,0,unresolved
51,1990971,916974,458487,0,0,unresolved
52,1989223,277300,138650,0,0,unresolved
53,1987477,890968,445484,0,0,unresolved
54,1987056,341927,171369,811,11,unresolved
55,1985753,394188,197094,0,0,unresolved
56,1984582,238823,119540,257,11,unresolved
57,1984468,261588,130794,0,0,unresolved
58,1984109,463052,231526,0,0,unresolved
59,1983839,389538,194769,0,0,unresolved
60,1983234,431398,215699,0,0,unresolved
61,1982796,403508,201754,0,0,unresolved
62,1982434,159930,79983,36,6,unresolved
63,1982105,310458,155443,428,8,unresolved
64,1981793,846320,423160,0,0,unresolved
65,1981771,259950,129975,0,0,unresolved
66,1981437,345137,173207,1277,21,unresolved
67,1981365,730178,365089,0,0,unresolved
68,1981326,99884,49994,104,8,unresolved
69,1981262,627742,313871,0,0,unresolved
70,1981253,266488,133244,0,0,unresolved
71,1980776,448811,224886,961,15,unresolved
72,1980041,178928,89464,0,0,unresolved
73,1980022,111422,55750,78,4,unresolved
74,1979922,206489,103568,647,9,unresolved
75,1979509,262231,131467,703,15,unresolved
76,1979361,126566,63283,0,0,unresolved
77,1979198,210917,105597,277,9,unresolved
78,1978664,482736,241368,0,0,unresolved
79,1978524,391050,195950,850,10,unresolved
80,1978379,588046,294023,0,0,unresolved
81,1978205,70192,35096,0,0,unresolved
82,1977947,293120,146857,594,14,unresolved
83,1977649,103145,51605,65,1,unresolved
84,1977570,80100,40050,0,0,unresolved
85,1977470,386018,193786,1554,22,unresolved
86,1977421,335903,168399,895,15,unresolved
87,1976939,509151,255494,1837,25,unresolved
88,1976883,298726,149363,0,0,unresolved
89,1976880,62882,31452,22,4,unresolved
90,1976452,435658,217829,0,0,unresolved
91,1976315,201062,100740,418,12,unresolved
92,1975774,259818,129909,0,0,unresolved
93,1975686,317164,158582,0,0,unresolved
94,1975240,296576,148288,0,0,unresolved
95,1975082,348518,174899,1280,22,unresolved
96,1974956,355385,178206,1027,13,unresolved
97,1974870,103092,51546,0,0,unresolved
98,1974725,260464,130232,0,0,unresolved
99,1974584,369560,184780,0,0,unresolved
100,1974220,319508,160328,1148,20,unresolved
101,1974204,241769,121060,351,7,unresolved
102,1974168,324476,162238,0,0,unresolved
103,1974099,107172,53586,0,0,unresolved
104,1973728,282374,141187,0,0,unresolved
105,1973722,336646,168323,0,0,unresolved
106,1973568,345580,172790,0,0,unresolved
107,1973461,235274,117637,0,0,unresolved
108,1973203,255528,127764,0,0,unresolved
109,1973019,410432,205216,0,0,unresolved
110,1972860,451542,225771,0,0,unresolved
111,1972659,100318,50159,0,0,unresolved
112,1972642,207992,103996,0,0,unresolved
113,1972641,74975,37500,25,3,unresolved
114,1972623,270000,135000,0,0,unresolved
115,1972423,73084,36542,0,0,unresolved
116,1972417,273770,137434,1098,18,unresolved
117,1972403,77478,38739,0,0,unresolved
118,1972400,262201,131324,447,7,unresolved
119,1972073,206596,103298,0,0,unresolved
120,1971885,184681,92564,447,5,unresolved
121,1971854,191516,95758,0,0,unresolved
122,1971847,366592,183296,0,0,unresolved
123,1971773,256126,128063,0,0,unresolved
124,1971532,390066,195033,0,0,unresolved
125,1971446,277400,138700,0,0,unresolved
126,1971410,146852,73426,0,0,unresolved
127,1971338,445314,222657,0,0,unresolved
128,1971065,249076,124538,0,0,unresolved
129,1970964,228804,114402,0,0,unresolved
130,1970535,222169,111313,457,13,unresolved
131,1970498,380904,190452,0,0,unresolved
132,1970497,220976,110488,0,0,unresolved
133,1970373,322416,161208,0,0,unresolved
134,1970309,210645,105588,531,7,unresolved
135,1970277,148208,74104,0,0,unresolved
136,1970118,182904,91624,344,10,unresolved
137,1970110,124328,62164,0,0,unresolved
138,1969953,59238,29619,0,0,unresolved
139,1969809,551894,275947,0,0,unresolved
140,1969795,400901,201628,2355,19,unresolved
141,1969349,533732,266866,0,0,unresolved
142,1969326,159151,79764,377,9,unresolved
143,1969288,348706,174353,0,0,unresolved
144,1969287,93248,46624,0,0,unresolved
145,1969281,208284,104142,0,0,unresolved
146,1969237,233150,116575,0,0,unresolved
147,1969049,309516,154758,0,0,unresolved
148,1969029,496298,248149,0,0,unresolved
149,1968998,378692,190034,1376,18,unresolved
150,1968781,374568,187284,0,0,unresolved
151,1968760,82346,41173,0,0,unresolved
152,1968700,124484,62242,0,0,unresolved
153,1968634,131714,65966,218,6,unresolved
154,1968414,117050,58525,0,0,unresolved
155,1968369,189898,94949,0,0,unresolved
156,1968301,371356,186910,2464,20,unresolved
157,1967887,362168,181084,0,0,unresolved
158,1967752,231196,115978,760,12,unresolved
159,1967688,84402,42201,0,0,unresolved
160,1967688,58476,29238,0,0,unresolved
161,1967677,289600,144800,0,0,unresolved
162,1967668,354550,177845,1140,18,unresolved
163,1967534,312439,156638,837,19,unresolved
164,1967499,94688,47344,0,0,unresolved
165,1967467,108100,54050,0,0,unresolved
166,1967378,383006,191503,0,0,unresolved
167,1967377,134562,67281,0,0,unresolved
168,1967287,216212,108106,0,0,unresolved
169,1966955,214387,107500,613,7,unresolved
170,1966952,102737,51464,191,5,unresolved
171,1966925,68158,34079,0,0,unresolved
172,1966872,456447,228999,1551,19,unresolved
173,1966760,425306,212653,0,0,unresolved
174,1966585,258734,129367,0,0,unresolved
175,1966544,181860,90930,0,0,unresolved
176,1966491,142474,71340,206,8,unresolved
177,1966475,215058,107529,0,0,unresolved
178,1966473,267908,133954,0,0,unresolved
179,1966410,65648,32824,0,0,unresolved
180,1966288,234400,117200,0,0,unresolved
181,1966024,473044,236522,0,0,unresolved
182,1965863,336444,168222,0,0,unresolved
183,1965862,199116,99558,0,0,unresolved
184,1965832,292392,146196,0,0,unresolved
185,1965771,87074,43537,0,0,unresolved
186,1965764,210574,105287,0,0,unresolved
187,1965763,69728,34864,0,0,unresolved
188,1965634,285210,142605,0,0,unresolved
189,1965632,170464,85232,0,0,unresolved
190,1965494,150768,75384,0,0,unresolved
191,1965473,401276,200638,0,0,unresolved
192,1965450,244128,122064,0,0,unresolved
193,1965419,90685,45390,95,7,unresolved
194,1965233,181158,90807,456,12,unresolved
195,1965187,276026,138013,0,0,unresolved
196,1965159,308636,154318,0,0,unresolved
197,1965133,258604,129302,0,0,unresolved
198,1965130,126780,63461,142,4,unresolved
199,1965121,229106,114553,0,0,unresolved
200,1965109,174344,87172,0,0,unresolved
201,1965099,180982,90491,0,0,unresolved
202,1965091,49894,24947,0,0,unresolved
203,1965076,265144,132572,0,0,unresolved
204,1964824,137650,68825,0,0,unresolved
205,1964812,235764,117882,0,0,unresolved
206,1964762,243340,121670,0,0,unresolved
207,1964759,146052,73026,0,0,unresolved
208,1964680,204398,102199,0,0,unresolved
209,1964604,256959,129022,1085,19,unresolved
210,1964448,284050,142670,1290,14,unresolved
211,1964429,233148,116938,728,18,unresolved
212,1964381,179658,90037,416,8,unresolved
213,1964302,357686,178843,0,0,unresolved
214,1964218,230067,115665,1263,17,unresolved
215,1964160,306860,153430,0,0,unresolved
216,1964144,399812,199906,0,0,unresolved
217,1964051,218763,109779,795,11,unresolved
218,1963989,186076,93038,0,0,unresolved
219,1963900,325553,163992,2431,25,unresolved
220,1963837,170970,85485,0,0,unresolved
221,1963601,265909,133532,1155,11,unresolved
222,1963501,201310,100655,0,0,unresolved
223,1963482,100798,50481,164,6,unresolved
224,1963404,236260,118130,0,0,unresolved
225,1963402,364052,182026,0,0,unresolved
226,1963328,130599,65490,381,11,unresolved
227,1963302,198120,99060,0,0,unresolved
228,1963215,7732,3866,0,0,unresolved
229,1963006,238740,119370,0,0,unresolved
